==== This output can be found in Systems/dx1010/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Tue Jul  7 13:15:03 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 2195  193    0 2090 3758   77    1 1357 100 143513 25 67  1  7 0.33  9.1 3719
  1    0    0    0 1700    0    0    0    0   -    0  0 35  0 65 0.11  2.9 1575
  2    0    0    0 1525    0    0    0    0   -    0  0 33  0 67 0.10  2.7 1412
  3    0    0    0 1403    0    0    0    0   -    0  0 30  0 70 0.10  2.7 1306
  4 2033  264    0 1964 3423   64    1 1222 100 83692 29 62  1  8 0.31  8.4 3626
  5    0    0    0 1648    0    0    0    0 100    9  0 36  0 64 0.10  2.8 1522
  6    0    0    0 1515    0    0    0    0   -    0  0 32  0 68 0.10  2.6 1405
  7    0    0    0 1403    0    0    0    0   -    0  0 30  0 70 0.09  2.5 1308
  8 1802  219    4 1929 3843   75    1 1326 100 114259 24 67  1  8 0.31  8.5 3865
  9    0    0    0 1693    0    0    0    0   -    0  0 34  0 66 0.10  2.8 1576
 10    0    0    0 1504    0    0    0    0   -    0  0 32  0 68 0.10  2.6 1396
 11    0    0    0 1394    0    0    0    0   -    0  0 30  0 70 0.10  2.6 1294
 12 2414  192    0 1938 3714   82    1 1346 100 151455 29 63  1  8 0.32  8.7 3724
 13    0    0    0 1627    0    0    0    0 100   88  0 36  1 63 0.11  2.9 1507
 14    0    0    0 1503    0    0    0    0   -    0  0 32  0 68 0.10  2.6 1394
 15    0    0    0 1402    0    0    0    0   -    0  0 30  0 70 0.10  2.6 1296
 16 2278  237    4 1951 3289   67    1 1249 100 142497 28 65  1  7 0.33  9.0 3408
 17    2    0    0 1729    0    0    0    0 100    2  0 35  0 65 0.11  2.9 1590
 18    0    0    0 1514    0    0    0    0   -    0  0 31  0 69 0.10  2.6 1402
 19    0    0    0 1416    0    0    0    0   -    0  0 29  0 71 0.10  2.6 1310
 20 2201  237    0 1939 3321   84    2 1198 100 107210 29 62  1  8 0.31  8.5 3517
 21    0    0    0 1658    0    0    0    0   -    3  0 36  0 64 0.10  2.8 1526
 22    0    0    0 1526    0    0    0    0   -    0  0 32  0 68 0.10  2.6 1410
 23    0    0    0 1405    0    0    0    0   -    0  0 30  0 70 0.09  2.5 1302
ALL 12925 1342    8 39376 21348  449    7 7698 100 742728 14 49  0 36 3.70 185.0 47390
--------------------------------------------------------------------------------

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 1704   13    0 2183 3509   34    1  620 100 172766 25 65  0 10 0.28  9.1 3898
  1    0    0    0 1724    0    0    0    2 100    0  0 37  0 63 0.10  3.2 1592
  2    0    0    0 1602    0    0    0    2 100    0  0 34  0 66 0.09  3.0 1467
  3    0    0    0 1487    0    0    0    2 100    0  0 31  0 69 0.09  2.9 1378
  4 1751    3    0 2033 3649   33    0  654 100 145416 25 63  0 13 0.24  8.0 4090
  5    0    0    0 1734    0    0    0    2 100    0  0 37  0 63 0.09  3.0 1604
  6    0    0    0 1575    0    0    0    2 100    0  0 35  0 65 0.09  2.8 1453
  7    0    0    0 1461    0    0    0    2 100    0  0 32  0 68 0.08  2.7 1352
  8 1806   12    0 2009 3828   31    0  672 100 146436 25 64  0 11 0.26  8.6 4189
  9    0    0    0 1721    0    0    0    2 100    0  0 36  0 64 0.10  3.1 1588
 10    0    0    0 1575    0    0    0    2 100    0  0 33  0 67 0.09  2.9 1449
 11    0    0    0 1448    0    0    0    2 100    0  0 30  0 70 0.09  2.8 1337
 12 1803    4    0 2005 3328   27    1  578 100 154954 26 62  0 12 0.25  8.0 3820
 13    0    0    0 1729    0    0    0    2 100    0  0 39  0 61 0.10  3.1 1596
 14    0    0    0 1593    0    0    0    2 100    0  0 35  0 65 0.09  2.8 1461
 15    0    0    0 1473    0    0    0    2 100    0  0 31  0 69 0.08  2.7 1366
 16 2037    8    0 1989 4035   33    1  689 100 112034 21 66  0 13 0.24  8.0 4396
 17    0    0    0 1722    0    0    0    2 100    0  0 38  0 62 0.09  3.1 1594
 18    0    0    0 1585    0    0    0    2 100    0  0 35  0 65 0.09  2.8 1453
 19    0    0    0 1456    0    0    0    2 100    0  0 30  0 70 0.08  2.7 1344
 20 1588    1    0 2006 4203   35    0  746 100 74674 17 67  0 16 0.21  6.9 4589
 21    1    0    0 1732    0    0    0    2 100    0  0 38  0 62 0.09  2.8 1599
 22    0    0    0 1584    0    0    0    2 100    0  0 36  0 64 0.08  2.7 1453
 23    0    0    0 1455    0    0    0    2 100    0  0 33  0 67 0.08  2.6 1345
ALL 10690   41    0 40881 22552  193    3 3995 100 806280 11 49  0 40 3.08 153.9 51413
==== EXITED with rc 0 ====
==== END mpstat 5 2 Tue Jul  7 13:15:13 CDT 2015 ====
