==== This output can be found in Systems/dx1010/perf/sar-^P_ALL_5_3.txt ====
==== START sar -P ALL 5 3 Tue Jul  7 13:15:38 CDT 2015 ====

AIX DX1010 1 6 00F92EEC4C00    07/07/15

System configuration: lcpu=24 ent=2.00 mode=Uncapped 

13:15:38 cpu    %usr    %sys    %wio   %idle   physc   %entc
13:15:43  0       26      65       0       9    0.29    14.4
          1        0      36       0      64    0.10     4.9
          2        0      32       0      68    0.09     4.5
          3        0      28       0      72    0.09     4.3
          4       27      62       0      11    0.28    14.0
          5        0      35       0      65    0.10     4.9
          6        0      32       0      68    0.09     4.5
          7        0      29       0      71    0.09     4.4
          8       15      71       0      14    0.23    11.5
          9        0      39       0      61    0.09     4.6
          10        0      34       0      66    0.08     4.1
          11        0      31       0      69    0.08     4.0
          12       18      68       0      13    0.24    11.8
          13        0      37       0      63    0.09     4.6
          14        0      35       0      65    0.08     4.2
          15        0      31       0      69    0.08     4.0
          16       38      54       0       8    0.32    16.0
          17        0      33       0      67    0.10     5.1
          18        0      29       0      71    0.09     4.7
          19        0      28       0      72    0.09     4.6
          20       23      64       0      12    0.25    12.6
          21        0      36       0      64    0.09     4.6
          22        0      33       0      67    0.09     4.3
          23        0      29       0      71    0.08     4.1
          -       13      48       0      39    3.21   160.7
13:15:48  0       14      73       0      13    0.24    12.2
          1        0      38       0      62    0.09     4.6
          2        0      37       0      63    0.09     4.3
          3        0      31       0      69    0.08     4.1
          4       20      66       0      14    0.23    11.5
          5        0      38       0      62    0.09     4.6
          6        0      34       0      66    0.08     4.1
          7        0      33       0      67    0.08     4.1
          8       18      67       0      15    0.22    11.1
          9        0      38       0      62    0.09     4.5
          10        0      35       0      65    0.08     4.1
          11        0      32       0      68    0.08     4.0
          12       31      59       0      10    0.27    13.7
          13        0      35       0      65    0.10     4.8
          14        0      33       0      67    0.09     4.4
          15        0      30       0      70    0.09     4.3
          16       32      58       0      10    0.27    13.6
          17        0      36       0      64    0.10     4.8
          18        0      33       0      67    0.09     4.4
          19        0      29       0      71    0.09     4.3
          20       22      64       0      14    0.23    11.4
          21        0      38       0      62    0.09     4.6
          22        0      36       0      64    0.08     4.2
          23        0      33       0      67    0.08     4.1
          -       11      49       0      40    3.04   152.0
13:15:53  0       16      73       0      11    0.24    12.0
          1        0      37       0      63    0.09     4.4
          2        0      33       0      67    0.08     4.0
          3        0      32       0      68    0.08     4.0
          4       24      64       0      12    0.23    11.5
          5        0      43       0      56    0.09     4.6
          6        0      33       0      67    0.08     4.0
          7        0      31       0      69    0.08     3.8
          8       26      63       0      11    0.23    11.7
          9        0      37       0      63    0.09     4.3
          10        0      33       0      67    0.08     3.9
          11        0      30       0      70    0.08     3.8
          12       21      70       0       9    0.30    15.2
          13        0      49       0      51    0.12     6.2
          14        0      31       0      69    0.09     4.6
          15        0      27       0      73    0.09     4.5
          16       15      70       0      16    0.19     9.4
          17        8      42       0      50    0.09     4.7
          18        0      37       0      63    0.07     3.7
          19        0      34       0      66    0.07     3.6
          20       26      64       0      11    0.26    13.1
          21        0      46       0      54    0.10     5.0
          22        0      30       0      70    0.08     4.2
          23        0      29       0      71    0.08     4.2
          -       11      51       0      38    3.01   150.6

Average   0       19      70       0      11    0.26    12.9
          1        0      37       0      63    0.09     4.6
          2        0      34       0      66    0.09     4.3
          3        0      30       0      70    0.08     4.1
          4       24      64       0      12    0.25    12.3
          5        0      39       0      61    0.09     4.7
          6        0      33       0      67    0.08     4.2
          7        0      31       0      69    0.08     4.1
          8       20      67       0      13    0.23    11.4
          9        0      38       0      62    0.09     4.5
          10        0      34       0      66    0.08     4.1
          11        0      31       0      69    0.08     4.0
          12       23      66       0      11    0.27    13.6
          13        0      41       0      59    0.10     5.2
          14        0      33       0      67    0.09     4.4
          15        0      29       0      71    0.09     4.3
          16       30      59       0      10    0.26    13.0
          17        3      37       0      60    0.10     4.9
          18        0      32       0      68    0.09     4.3
          19        0      30       0      70    0.08     4.2
          20       24      64       0      12    0.25    12.4
          21        0      40       0      60    0.10     4.8
          22        0      33       0      67    0.08     4.2
          23        0      30       0      70    0.08     4.1
          -       12      49       0      39    3.09   154.4
==== EXITED with rc 0 ====
==== END sar -P ALL 5 3 Tue Jul  7 13:15:53 CDT 2015 ====
