==== This output can be found in Systems/dx1011/perf/mpstat-a.txt ====
==== START mpstat -a Tue Jul  7 13:39:59 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu    min    maj   mpcs   mpcr    dev   soft    dec     ph     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   sysc    us    sy    wa    id    pc   %ec   ilcs   vlcs S3hrd S4hrd S5hrd
  0 266432134  28594  24183  18309 1313486473 974767094 1035845780 28646147 1502670325 5051065      0      0      0      0      0  99.2   0.0   0.0   0.8   0.0   0.0 708058564   1.9  78.8   0.0  19.3  0.03   1.4      0 3374807218 100.0   0.0   0.0
  1 177283    148     32   2494 1285771241 431364443 71553960 6965341 840074 716919      0      0      0      0      0  14.4  85.4   0.0   0.2   0.0   0.0 371897   0.0  32.3   0.0  67.7  0.01   0.6 2094140 1351511176 100.0   0.0   0.0
  2  85356      3     35   2486 1242939431 417445355 100523052 7260638 715093 712878      0      0      0      0      0   0.5  99.5   0.0   0.1   0.0   0.0  36456   0.0  31.8   0.0  68.2  0.01   0.6 1800094 1338276066 100.0   0.0   0.0
  3  77424      0     38   2486 1211253464 407091716 71261352 6591704 715277 712962      0      0      0      0      0   0.5  99.4   0.0   0.1   0.0   0.0  30575   0.0  30.5   0.0  69.5  0.01   0.6 1575178 1278492433 100.0   0.0   0.0
  4 228895865  18863  15823  17779 1313993340 439891760 316669316 16456323 1359695329 5547389      1      1      0      0      0  99.1   0.0   0.0   0.9   0.0   0.0 617234953   2.6  67.1   0.0  30.4  0.02   0.9      0 2754196576 100.0   0.0   0.0
  5 198358    700     27   2486 1285116306 431707390 71568896 6877968 865041 716424      0      0      0      0      0  17.1  82.8   0.0   0.1   0.0   0.0 179520   0.0  38.5   0.0  61.5  0.01   0.5 2128769 1350999820 100.0   0.0   0.0
  6  89519      1     34   2486 1241812558 417249924 71258674 7037409 715248 712835      0      0      0      0      0   0.5  99.5   0.0   0.1   0.0   0.0  35243   0.0  37.5   0.0  62.5  0.01   0.5 1807248 1308641505 100.0   0.0   0.0
  7  74236      0     32   2486 1211988691 407360951 71236357 6497244 714639 712797      0      0      0      0      0   0.4  99.5   0.0   0.1   0.0   0.0  29109   0.0  36.4   0.0  63.6  0.01   0.5 1612951 1279226597 100.0   0.0   0.0
  8 228290823  20870  30289  17713 1313672192 440240626 317263606 16481319 1351063748 5511148      0      0      0      0      0  99.1   0.0   0.0   0.9   0.0   0.0 611074512   2.6  67.4   0.0  30.0  0.02   0.9      0 2747995828 100.0   0.0   0.0
  9 171362    468     40   2486 1284635248 431358236 71569300 6832331 864171 715803      0      0      0      0      0  17.0  82.9   0.0   0.0   0.0   0.0 231862   0.0  38.2   0.0  61.8  0.01   0.5 2116905 1350568976 100.0   0.0   0.0
