==== This output can be found in Systems/dx1011/perf/mpstat-d.txt ====
==== START mpstat -d Tue Jul  7 13:39:59 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
  0 1502670363 5051072      0      0      0      0      0  99.2   0.0   0.0   0.8   0.0   0.0      0 3374807266 100.0   0.0   0.0
  1 840074 716919      0      0      0      0      0  14.4  85.4   0.0   0.2   0.0   0.0 2094141 1351511196 100.0   0.0   0.0
  2 715093 712878      0      0      0      0      0   0.5  99.5   0.0   0.1   0.0   0.0 1800095 1338276086 100.0   0.0   0.0
  3 715277 712962      0      0      0      0      0   0.5  99.4   0.0   0.1   0.0   0.0 1575178 1278492453 100.0   0.0   0.0
  4 1359695336 5547390      0      0      0      0      0  99.1   0.0   0.0   0.9   0.0   0.0      0 2754196599 100.0   0.0   0.0
  5 865041 716424      0      0      0      0      0  17.1  82.8   0.0   0.1   0.0   0.0 2128769 1350999840 100.0   0.0   0.0
  6 715248 712835      0      0      0      0      0   0.5  99.5   0.0   0.1   0.0   0.0 1807248 1308641525 100.0   0.0   0.0
  7 714639 712797      0      0      0      0      0   0.4  99.5   0.0   0.1   0.0   0.0 1612951 1279226617 100.0   0.0   0.0
  8 1351063825 5511160      1      1      0      0      0  99.1   0.0   0.0   0.9   0.0   0.0      0 2747995902 100.0   0.0   0.0
  9 864171 715803      0      0      0      0      0  17.0  82.9   0.0   0.0   0.0   0.0 2116905 1350568998 100.0   0.0   0.0
 10 714709 712868      0      0      0      0      0   0.4  99.5   0.0   0.1   0.0   0.0 1803848 1308455991 100.0   0.0   0.0
 11 714946 712781      0      0      0      0      0   0.5  99.5   0.0   0.1   0.0   0.0 1607883 1278439879 100.0   0.0   0.0
 12 1348742058 5581238      1      1      0      0      0  99.1   0.0   0.0   0.9   0.0   0.0      0 2747881100 100.0   0.0   0.0
 13 867801 716874      0      0      0      0      0  17.3  82.6   0.0   0.1   0.0   0.0 2119960 1351736372 100.0   0.0   0.0
 14 716960 715039      0      0      0      0      0   0.7  99.2   0.0   0.1   0.0   0.0 1808383 1309953174 100.0   0.0   0.0
 15 714996 713327      0      0      0      0      0   0.5  99.5   0.0   0.1   0.0   0.0 1612958 1280758642 100.0   0.0   0.0
 16 1355109125 5579044      0      0      0      0      0  99.1   0.0   0.0   0.9   0.0   0.0      0 2752073340 100.0   0.0   0.0
 17 874391 716533      0      0      0      0      0  18.0  82.0   0.0   0.1   0.0   0.0 2110376 1351289640 100.0   0.0   0.0
 18 714596 712992      0      0      0      0      0   0.4  99.5   0.0   0.0   0.0   0.0 1793048 1308669259 100.0   0.0   0.0
 19 714517 712887      0      0      0      0      0   0.4  99.5   0.0   0.1   0.0   0.0 1597324 1278433411 100.0   0.0   0.0
 20 1376196834 5632182      1      1      0      0      0  99.1   0.0   0.0   0.9   0.0   0.0      0 2776902020 100.0   0.0   0.0
 21 884243 718500      0      0      0      0      0  18.8  81.2   0.0   0.1   0.0   0.0 2120168 1351435514 100.0   0.0   0.0
 22 714970 712867      0      0      0      0      0   0.5  99.5   0.0   0.1   0.0   0.0 1817489 1308423418 100.0   0.0   0.0
 23 715513 712921      0      0      0      0      0   0.5  99.4   0.0   0.1   0.0   0.0 1614443 1279139089 100.0   0.0   0.0
ALL 8307254726 45760293      3      3      0      0      0  99.0   0.2   0.0   0.9   0.0   0.0 33141167 40818307331 100.0   0.0   0.0
==== EXITED with rc 0 ====
==== END mpstat -d Tue Jul  7 13:39:59 CDT 2015 ====
