==== This output can be found in Systems/dx1011/storage/for_i_in_lspv_awk_print_1_do_echo_i,_Disk_size_get.txt ====
==== START for i in $(lspv | awk '{print $1}') ;do echo "$i, Disk size: $(getconf DISK_SIZE /dev/$i), Disk partition: $(getconf DISK_PARTITION /dev/$i), Disk location: $(getconf DISK_DEVNAME $i)"; done Tue Jul  7 13:40:41 CDT 2015 ====
hdisk0, Disk size: 369984, Disk partition: 512, Disk location: 02-00-00
hdisk1, Disk size: 369984, Disk partition: 512, Disk location: 02-00-00
hdisk2, Disk size: 369984, Disk partition: 512, Disk location: 02-00-00
hdisk312, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdisk13, Disk size: 1048590, Disk partition: 2048, Disk location: 09-00-02
hdisk14, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk53, Disk size: 1048590, Disk partition: 2048, Disk location: 09-00-02
hdisk54, Disk size: 1048582, Disk partition: 2048, Disk location: 09-00-02
hdisk229, Disk size: 512000, Disk partition: 512, Disk location: 08-00-02
hdisk283, Disk size: 153600, Disk partition: 256, Disk location: 0C-00-02
hdisk284, Disk size: 153600, Disk partition: 256, Disk location: 0C-00-02
hdisk285, Disk size: 1048576, Disk partition: 2048, Disk location: 0C-00-02
hdisk286, Disk size: 1048576, Disk partition: 2048, Disk location: 0C-00-02
hdisk287, Disk size: 1048576, Disk partition: 2048, Disk location: 0C-00-02
hdisk288, Disk size: 1048576, Disk partition: 2048, Disk location: 0C-00-02
hdisk289, Disk size: 1048576, Disk partition: 2048, Disk location: 0C-00-02
hdisk290, Disk size: 1048576, Disk partition: 2048, Disk location: 0C-00-02
hdisk291, Disk size: 1048576, Disk partition: 2048, Disk location: 0C-00-02
hdisk292, Disk size: 1048576, Disk partition: 2048, Disk location: 0C-01-02
hdisk293, Disk size: 1048576, Disk partition: 2048, Disk location: 0C-01-02
hdisk294, Disk size: 1048576, Disk partition: 2048, Disk location: 08-00-02
hdisk295, Disk size: 512000, Disk partition: 512, Disk location: 08-00-02
hdisk296, Disk size: 512000, Disk partition: 512, Disk location: 08-00-02
hdisk297, Disk size: 1048576, Disk partition: 2048, Disk location: 08-00-02
hdisk298, Disk size: 1048576, Disk partition: 2048, Disk location: 08-00-02
hdisk299, Disk size: 512000, Disk partition: 512, Disk location: 08-00-02
hdisk301, Disk size: 1048576, Disk partition: 2048, Disk location: 08-00-02
hdisk302, Disk size: 1048576, Disk partition: 2048, Disk location: 08-00-02
hdisk303, Disk size: 5120, Disk partition: 8, Disk location: 08-00-02
hdisk304, Disk size: 5120, Disk partition: 8, Disk location: 08-00-02
hdisk305, Disk size: 5120, Disk partition: 8, Disk location: 08-00-02
hdisk351, Disk size: 102400, Disk partition: 128, Disk location: 08-01-02
hdisk352, Disk size: 102400, Disk partition: 128, Disk location: 08-01-02
hdisk353, Disk size: 102400, Disk partition: 128, Disk location: 08-01-02
hdisk354, Disk size: 102400, Disk partition: 128, Disk location: 08-01-02
hdisk355, Disk size: 102400, Disk partition: 128, Disk location: 08-01-02
hdisk356, Disk size: 102400, Disk partition: 128, Disk location: 08-01-02
hdisk357, Disk size: 102400, Disk partition: 128, Disk location: 08-01-02
hdisk358, Disk size: 307200, Disk partition: 512, Disk location: 08-01-02
hdisk359, Disk size: 307200, Disk partition: 512, Disk location: 08-01-02
hdisk565, Disk size: 512000, Disk partition: 512, Disk location: 08-00-02
hdisk566, Disk size: 512000, Disk partition: 512, Disk location: 08-00-02
hdisk360, Disk size: 307200, Disk partition: 512, Disk location: 08-01-02
hdisk361, Disk size: 307200, Disk partition: 512, Disk location: 08-01-02
hdisk567, Disk size: 512000, Disk partition: 512, Disk location: 08-00-02
hdisk306, Disk size: 20480, Disk partition: 32, Disk location: 08-00-02
hdisk620, Disk size: 307200, Disk partition: 512, Disk location: 08-01-02
hdisk621, Disk size: 307200, Disk partition: 512, Disk location: 08-01-02
hdisk622, Disk size: 307200, Disk partition: 512, Disk location: 08-01-02
hdisk623, Disk size: 307200, Disk partition: 512, Disk location: 08-01-02
hdisk307, Disk size: 20480, Disk partition: 32, Disk location: 08-00-02
hdisk308, Disk size: 51200, Disk partition: 64, Disk location: 08-00-02
hdisk309, Disk size: 51200, Disk partition: 64, Disk location: 08-00-02
hdisk310, Disk size: 102400, Disk partition: 128, Disk location: 08-00-02
hdisk311, Disk size: 204800, Disk partition: 256, Disk location: 08-00-02
hdisk313, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdiskpower40, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdiskpower41, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdiskpower42, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdiskpower43, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdiskpower44, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdiskpower45, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdiskpower46, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdiskpower47, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdiskpower48, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdiskpower49, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
hdiskpower50, Disk size: 2097180, Disk partition: 4096, Disk location: 09-00-02
