==== This output can be found in Systems/dx1011/storage/lspath-^H.txt ====
==== START lspath -H Tue Jul  7 13:42:40 CDT 2015 ====
status    name     parent

Available ses1     sas1
Available ses2     sas1
Available pdisk0   sas1
Enabled   hdisk0   sas1
Available pdisk1   sas1
Available pdisk2   sas1
Enabled   hdisk1   sas1
Enabled   hdisk2   sas1
Enabled   hdisk570 fscsi4
Enabled   hdisk571 fscsi4
Enabled   hdisk572 fscsi4
Enabled   hdisk573 fscsi4
Enabled   hdisk574 fscsi4
Enabled   hdisk575 fscsi4
Enabled   hdisk576 fscsi4
Enabled   hdisk577 fscsi4
Enabled   hdisk578 fscsi4
Enabled   hdisk579 fscsi4
Enabled   hdisk580 fscsi4
Enabled   hdisk581 fscsi4
Enabled   hdisk582 fscsi4
Enabled   hdisk583 fscsi4
Enabled   hdisk584 fscsi4
Enabled   hdisk585 fscsi4
Enabled   hdisk586 fscsi4
Enabled   hdisk587 fscsi4
Enabled   hdisk588 fscsi4
Enabled   hdisk589 fscsi4
Enabled   hdisk590 fscsi4
Enabled   hdisk591 fscsi4
Enabled   hdisk592 fscsi4
Enabled   hdisk593 fscsi4
Enabled   hdisk594 fscsi4
Enabled   hdisk595 fscsi4
Enabled   hdisk596 fscsi4
Enabled   hdisk597 fscsi4
Enabled   hdisk598 fscsi4
Enabled   hdisk599 fscsi4
Enabled   hdisk600 fscsi4
Enabled   hdisk601 fscsi4
Enabled   hdisk602 fscsi4
Enabled   hdisk603 fscsi4
Enabled   hdisk604 fscsi4
Enabled   hdisk605 fscsi4
Enabled   hdisk606 fscsi4
Enabled   hdisk607 fscsi4
Enabled   hdisk608 fscsi4
Enabled   hdisk609 fscsi4
Enabled   hdisk610 fscsi4
Enabled   hdisk611 fscsi4
Enabled   hdisk612 fscsi4
Enabled   hdisk613 fscsi4
Enabled   hdisk614 fscsi4
Enabled   hdisk615 fscsi4
Enabled   hdisk616 fscsi4
Enabled   hdisk617 fscsi4
Enabled   hdisk618 fscsi4
Enabled   hdisk619 fscsi4
Enabled   hdisk351 fscsi4
Enabled   hdisk352 fscsi4
Enabled   hdisk353 fscsi4
Enabled   hdisk354 fscsi4
Enabled   hdisk355 fscsi4
Enabled   hdisk356 fscsi4
Enabled   hdisk357 fscsi4
Enabled   hdisk358 fscsi4
Enabled   hdisk359 fscsi4
Enabled   hdisk360 fscsi4
Enabled   hdisk361 fscsi4
Enabled   hdisk620 fscsi4
Enabled   hdisk621 fscsi4
Enabled   hdisk622 fscsi4
Enabled   hdisk623 fscsi4
Enabled   hdisk570 fscsi4
Enabled   hdisk571 fscsi4
Enabled   hdisk572 fscsi4
Enabled   hdisk573 fscsi4
Enabled   hdisk574 fscsi4
Enabled   hdisk575 fscsi4
Enabled   hdisk576 fscsi4
Enabled   hdisk577 fscsi4
Enabled   hdisk578 fscsi4
Enabled   hdisk579 fscsi4
Enabled   hdisk580 fscsi4
Enabled   hdisk581 fscsi4
Enabled   hdisk582 fscsi4
Enabled   hdisk583 fscsi4
Enabled   hdisk584 fscsi4
Enabled   hdisk585 fscsi4
Enabled   hdisk586 fscsi4
Enabled   hdisk587 fscsi4
Enabled   hdisk588 fscsi4
Enabled   hdisk589 fscsi4
Enabled   hdisk590 fscsi4
Enabled   hdisk591 fscsi4
Enabled   hdisk592 fscsi4
Enabled   hdisk593 fscsi4
Enabled   hdisk594 fscsi4
Enabled   hdisk595 fscsi4
Enabled   hdisk596 fscsi4
Enabled   hdisk597 fscsi4
Enabled   hdisk598 fscsi4
Enabled   hdisk599 fscsi4
Enabled   hdisk600 fscsi4
Enabled   hdisk601 fscsi4
Enabled   hdisk602 fscsi4
Enabled   hdisk603 fscsi4
Enabled   hdisk604 fscsi4
Enabled   hdisk605 fscsi4
Enabled   hdisk606 fscsi4
Enabled   hdisk607 fscsi4
Enabled   hdisk608 fscsi4
Enabled   hdisk609 fscsi4
Enabled   hdisk610 fscsi4
Enabled   hdisk611 fscsi4
Enabled   hdisk612 fscsi4
Enabled   hdisk613 fscsi4
Enabled   hdisk614 fscsi4
Enabled   hdisk615 fscsi4
Enabled   hdisk616 fscsi4
Enabled   hdisk617 fscsi4
Enabled   hdisk618 fscsi4
Enabled   hdisk619 fscsi4
Enabled   hdisk351 fscsi4
Enabled   hdisk352 fscsi4
Enabled   hdisk353 fscsi4
Enabled   hdisk354 fscsi4
Enabled   hdisk355 fscsi4
Enabled   hdisk356 fscsi4
Enabled   hdisk357 fscsi4
Enabled   hdisk358 fscsi4
Enabled   hdisk359 fscsi4
Enabled   hdisk360 fscsi4
Enabled   hdisk361 fscsi4
Enabled   hdisk620 fscsi4
Enabled   hdisk621 fscsi4
Enabled   hdisk622 fscsi4
Enabled   hdisk623 fscsi4
Enabled   hdisk570 fscsi4
Enabled   hdisk571 fscsi4
Enabled   hdisk572 fscsi4
Enabled   hdisk573 fscsi4
Enabled   hdisk574 fscsi4
Enabled   hdisk575 fscsi4
Enabled   hdisk576 fscsi4
Enabled   hdisk577 fscsi4
Enabled   hdisk578 fscsi4
Enabled   hdisk579 fscsi4
Enabled   hdisk580 fscsi4
Enabled   hdisk581 fscsi4
Enabled   hdisk582 fscsi4
Enabled   hdisk583 fscsi4
Enabled   hdisk584 fscsi4
Enabled   hdisk585 fscsi4
Enabled   hdisk586 fscsi4
Enabled   hdisk587 fscsi4
Enabled   hdisk588 fscsi4
Enabled   hdisk589 fscsi4
Enabled   hdisk590 fscsi4
Enabled   hdisk591 fscsi4
Enabled   hdisk592 fscsi4
Enabled   hdisk593 fscsi4
Enabled   hdisk594 fscsi4
Enabled   hdisk595 fscsi4
Enabled   hdisk596 fscsi4
Enabled   hdisk597 fscsi4
Enabled   hdisk598 fscsi4
Enabled   hdisk599 fscsi4
Enabled   hdisk600 fscsi4
Enabled   hdisk601 fscsi4
Enabled   hdisk602 fscsi4
Enabled   hdisk603 fscsi4
Enabled   hdisk604 fscsi4
Enabled   hdisk605 fscsi4
