==== This output can be found in Systems/dx975/os/lscfg.txt ====
==== START lscfg Tue Jul  7 12:46:25 CDT 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                           System Object
+ sysplanar0                                                                     System Planar
* vio0                                                                           Virtual I/O Bus
* vhost43          U9179.MHD.21ADA1V-V1-C26                                      Virtual SCSI Server Adapter
* vtscsi111        U9179.MHD.21ADA1V-V1-C26-L56                                  Virtual Target Device - Disk
* vtscsi109        U9179.MHD.21ADA1V-V1-C26-L39                                  Virtual Target Device - Disk
* vtscsi108        U9179.MHD.21ADA1V-V1-C26-L38                                  Virtual Target Device - Disk
* vtscsi107        U9179.MHD.21ADA1V-V1-C26-L37                                  Virtual Target Device - Disk
* vtscsi106        U9179.MHD.21ADA1V-V1-C26-L36                                  Virtual Target Device - Disk
* vtscsi105        U9179.MHD.21ADA1V-V1-C26-L35                                  Virtual Target Device - Disk
* vtscsi104        U9179.MHD.21ADA1V-V1-C26-L34                                  Virtual Target Device - Disk
* vtscsi103        U9179.MHD.21ADA1V-V1-C26-L33                                  Virtual Target Device - Disk
* vtscsi102        U9179.MHD.21ADA1V-V1-C26-L32                                  Virtual Target Device - Disk
* vtscsi101        U9179.MHD.21ADA1V-V1-C26-L31                                  Virtual Target Device - Disk
* vtscsi100        U9179.MHD.21ADA1V-V1-C26-L30                                  Virtual Target Device - Disk
* vtscsi99         U9179.MHD.21ADA1V-V1-C26-L29                                  Virtual Target Device - Disk
* vtscsi98         U9179.MHD.21ADA1V-V1-C26-L28                                  Virtual Target Device - Disk
* vtscsi97         U9179.MHD.21ADA1V-V1-C26-L27                                  Virtual Target Device - Disk
* vtscsi96         U9179.MHD.21ADA1V-V1-C26-L26                                  Virtual Target Device - Disk
* vtscsi95         U9179.MHD.21ADA1V-V1-C26-L25                                  Virtual Target Device - Disk
* vtscsi94         U9179.MHD.21ADA1V-V1-C26-L24                                  Virtual Target Device - Disk
* vtscsi93         U9179.MHD.21ADA1V-V1-C26-L23                                  Virtual Target Device - Disk
