==== This output can be found in Systems/dx975/perf/mpstat-d.txt ====
==== START mpstat -d Tue Jul  7 12:47:02 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
  0 11334724684 10220902      0      0      0      0      0  99.3   0.0   0.0   0.7   0.0   0.0      0 14876156955 100.0   0.0   0.0
  1 2218163 913348      0      0      0      0      0  58.2  41.6   0.0   0.2   0.0   0.0      0 3819622368 100.0   0.0   0.0
  2 923028 899801      0      0      0      0      0   3.1  96.7   0.0   0.2   0.0   0.0      0 3600241992 100.0   0.0   0.0
  3 922292 899079      0      0      0      0      0   3.1  96.8   0.0   0.2   0.0   0.0      0 3443918524 100.0   0.0   0.0
  4 11109814912 9279158      1      1      5      0      0  99.3   0.0   0.0   0.7   0.0   0.0      0 14114069064 100.0   0.0   0.0
  5 2133389 907189      0      0      0      0      0  57.0  43.0   0.0   0.1   0.0   0.0      0 3819462020 100.0   0.0   0.0
  6 922115 898812      0      0      0      0      0   3.0  96.8   0.0   0.2   0.0   0.0      0 3600599072 100.0   0.0   0.0
  7 925671 901267      0      0      0      0      0   3.4  96.4   0.0   0.2   0.0   0.0      0 3443676056 100.0   0.0   0.0
  8 11062096207 9424825      0      0      0      0      0  99.3   0.0   0.0   0.7   0.0   0.0      0 14035737813 100.0   0.0   0.0
  9 2222023 908996      0      0      0      0      0  58.6  41.3   0.0   0.1   0.0   0.0      0 3815882912 100.0   0.0   0.0
 10 923117 899019      0      0      0      0      0   3.1  96.7   0.0   0.2   0.0   0.0      0 3593729275 100.0   0.0   0.0
 11 920481 897469      0      0      0      0      0   2.9  97.0   0.0   0.2   0.0   0.0      0 3433980265 100.0   0.0   0.0
 12 11061163816 9544469      0      0      0      0      0  99.3   0.0   0.0   0.7   0.0   0.0      0 14037942627 100.0   0.0   0.0
 13 2256748 908199      0      0      0      0      0  59.2  40.7   0.0   0.1   0.0   0.0      0 3822603157 100.0   0.0   0.0
 14 920528 899557      0      0      0      0      0   2.9  96.9   0.0   0.2   0.0   0.0      0 3603540848 100.0   0.0   0.0
 15 917343 898567      0      0      0      0      0   2.5  97.3   0.0   0.2   0.0   0.0      0 3444044059 100.0   0.0   0.0
 16 11072130502 9477858      1      1      0      0      0  99.3   0.0   0.0   0.7   0.0   0.0      0 14049967055 100.0   0.0   0.0
 17 2240387 908056      0      0      0      0      0  58.9  41.0   0.0   0.1   0.0   0.0      0 3812906375 100.0   0.0   0.0
 18 920292 898753      0      0      0      0      0   2.9  97.0   0.0   0.2   0.0   0.0      0 3588608691 100.0   0.0   0.0
 19 920839 899294      0      0      0      0      0   2.9  96.9   0.0   0.2   0.0   0.0      0 3433705168 100.0   0.0   0.0
 20 11004806054 9688933      1      1      0      0      0  99.3   0.0   0.0   0.7   0.0   0.0      0 13987308273 100.0   0.0   0.0
 21 2271530 909732      0      0      0      0      0  59.4  40.6   0.0   0.1   0.0   0.0      0 3818813780 100.0   0.0   0.0
 22 923436 899656      0      0      0      0      0   3.2  96.7   0.0   0.2   0.0   0.0      0 3596929509 100.0   0.0   0.0
 23 916464 899259      0      0      0      0      0   2.5  97.4   0.0   0.1   0.0   0.0      0 3435585172 100.0   0.0   0.0
ALL 66669134021 73882198      3      3      5      0      0  99.3   0.0   0.0   0.7   0.0   0.0      0 150229031030 100.0   0.0   0.0
==== EXITED with rc 0 ====
==== END mpstat -d Tue Jul  7 12:47:02 CDT 2015 ====
