==== This output can be found in Systems/dx975/perf/mpstat-i.txt ====
==== START mpstat -i Tue Jul  7 12:47:12 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu   mpcs   mpcr    dev   soft    dec     ph
  0 341524 118452 3921260318 756160460 1493643674 12727999
  1     83 115596 3746582754 252196559 91048101 5258896
  2     53 115586 3524189038 234558168 89426969 4872469
  3     43 115587 3366097958 219923505 89360165 4208927
  4 819435  97718 3919775516 438466709 627648084 12368710
  5     47 115601 3746475588 251347664 90810323 5234517
  6     40 115586 3522116430 233951260 91919397 4812553
  7     40 115586 3364069812 219629164 91076031 4124623
  8 220733 123946 3919518673 260748075 589492694 12259347
  9     42 115585 3742620821 250645883 90937097 5252544
 10     33 115587 3517697014 233305173 89390267 4838066
 11     40 115587 3355968440 219225499 89377997 4168002
 12 331457 118807 3920755957 261042820 590885522 12247365
 13     55 115593 3749390051 251140590 90977137 5238317
 14     40 115586 3527551300 233776481 89377144 4841275
 15     36 115586 3366120766 219368979 89381937 4147277
 16 353104 117762 3919187838 260924175 596013549 12254530
 17     49 115593 3739808600 250665950 90991974 5220734
 18     40 115587 3512577354 233284669 89383553 4818936
 19     35 115585 3355779582 219372507 89366544 4150915
 20 692632 102403 3922150859 261009635 607511536 12078724
 21     31 115590 3745541713 251132852 91042561 5232033
 22     50 115584 3520870435 233244093 89379241 4834927
 23     44 115586 3357442395 218754932 89442760 4117267
ALL 2759686 2759679 87283549212 6463875802 6127884257 159308953
==== EXITED with rc 0 ====
==== END mpstat -i Tue Jul  7 12:47:12 CDT 2015 ====
