==== This output can be found in Systems/dx975/perf/sar-^P_ALL_5_3.txt ====
==== START sar -P ALL 5 3 Tue Jul  7 12:47:28 CDT 2015 ====

AIX DX975 1 6 00F9ADA14C00    07/07/15

System configuration: lcpu=24 ent=2.00 mode=Uncapped 

12:47:28 cpu    %usr    %sys    %wio   %idle   physc   %entc
12:47:33  0       42      49       0       9    0.17     8.3
          1        0      13       0      87    0.04     2.2
          2        0      12       0      88    0.04     2.2
          3        0      11       0      89    0.04     2.1
          4       49      43       0       8    0.18     9.1
          5        0      13       0      87    0.05     2.4
          6        0      11       0      89    0.05     2.3
          7        0      11       0      89    0.05     2.3
          8       45      46       0       9    0.18     8.8
          9        0      13       0      87    0.05     2.3
          10        0      12       0      88    0.05     2.3
          11        0      10       0      90    0.05     2.3
          12       42      49       0      10    0.16     7.9
          13        0      14       0      86    0.04     2.2
          14        0      12       0      88    0.04     2.1
          15        0      11       0      89    0.04     2.1
          16       35      51       0      14    0.12     6.1
          17        0      16       0      84    0.04     1.9
          18        0      14       0      86    0.04     1.8
          19        0      13       0      87    0.04     1.8
          20       30      54       0      16    0.11     5.6
          21        0      17       0      83    0.04     1.8
          22        0      14       0      86    0.04     1.8
          23        0      14       0      86    0.04     1.8
          U        -       -       0      17    0.33    16.4
          -       19      27       0      54    1.67    83.6
12:47:38  0       30      56       0      14    0.12     6.0
          1        0      15       0      85    0.04     1.9
          2        0      14       0      86    0.04     1.8
          3        0      12       0      88    0.04     1.8
          4       54      41       0       4    0.25    12.7
          5        0       9       0      91    0.06     2.9
          6        0       8       0      92    0.06     2.8
          7        0       7       0      93    0.06     2.8
          8       47      45       0       8    0.18     9.2
          9        0      12       0      88    0.05     2.4
          10        0      10       0      90    0.04     2.2
          11        0      10       0      90    0.05     2.3
          12       34      51       0      14    0.12     5.8
          13        0      15       0      85    0.04     1.8
          14        0      14       0      86    0.04     1.8
          15        0      13       0      87    0.03     1.7
          16       29      54       0      17    0.10     5.0
          17        0      17       0      83    0.03     1.7
          18        0      15       0      85    0.03     1.6
          19        0      14       0      86    0.03     1.6
          20       38      50       0      12    0.13     6.6
          21        0      14       0      86    0.04     1.9
          22        0      13       0      87    0.04     1.9
          23        0      12       0      88    0.04     1.9
          U        -       -       0      18    0.36    18.0
          -       19      26       0      55    1.64    82.0
12:47:43  0       13      70       0      17    0.10     5.1
          1        0      23       0      77    0.04     1.8
          2        0      21       0      79    0.03     1.7
          3        0      17       0      83    0.03     1.7
          4       46      49       0       5    0.26    12.8
          5        0      12       0      88    0.06     3.0
          6        0      10       0      90    0.06     2.9
          7        0       9       0      91    0.06     2.9
          8       24      68       0       9    0.18     9.2
          9        0      16       0      84    0.05     2.4
          10        0      13       0      87    0.05     2.3
          11        0      14       0      86    0.05     2.3
          12       58      34       0       7    0.19     9.7
          13        0      13       0      87    0.05     2.5
          14        0      12       0      88    0.05     2.4
          15        0      13       0      87    0.05     2.4
          16       33      56       0      11    0.15     7.6
          17        0      16       0      84    0.04     2.2
          18        0      14       0      86    0.04     2.1
          19        0      14       0      86    0.04     2.1
          20       30      56       0      14    0.12     6.1
          21        0      18       0      82    0.04     1.9
          22        0      16       0      84    0.04     1.9
          23        0      18       0      82    0.04     1.8
          U        -       -       0       9    0.18     9.1
          -       19      33       0      48    1.82    90.9

Average   0       31      57       0      13    0.13     6.5
          1        0      17       0      83    0.04     2.0
          2        0      15       0      85    0.04     1.9
          3        0      13       0      87    0.04     1.9
          4       50      45       0       5    0.23    11.5
          5        0      11       0      89    0.06     2.8
          6        0      10       0      90    0.05     2.7
          7        0       9       0      91    0.05     2.7
          8       38      53       0       8    0.18     9.1
          9        0      14       0      86    0.05     2.4
          10        0      11       0      89    0.05     2.3
          11        0      11       0      89    0.05     2.3
          12       46      43       0      10    0.16     7.8
          13        0      14       0      86    0.04     2.2
          14        0      12       0      88    0.04     2.1
          15        0      12       0      88    0.04     2.1
          16       33      54       0      13    0.12     6.2
          17        0      16       0      84    0.04     1.9
          18        0      14       0      86    0.04     1.8
          19        0      14       0      86    0.04     1.8
          20       33      53       0      14    0.12     6.1
          21        0      16       0      84    0.04     1.9
          22        0      14       0      86    0.04     1.8
          23        0      14       0      86    0.04     1.8
          U        -       -       0      15    0.29    14.5
          -       19      29       0      53    1.71    85.5
==== EXITED with rc 0 ====
==== END sar -P ALL 5 3 Tue Jul  7 12:47:43 CDT 2015 ====
