==== This output can be found in Systems/dx975/vio/VIOCLI_lsdev-virtual.txt ====
==== START $VIOCLI lsdev -virtual Tue Jul  7 12:51:26 CDT 2015 ====
name             status      description
ent8             Available   Virtual I/O Ethernet Adapter (l-lan)
ent9             Available   Virtual I/O Ethernet Adapter (l-lan)
ent10            Available   Virtual I/O Ethernet Adapter (l-lan)
ent11            Available   Virtual I/O Ethernet Adapter (l-lan)
ent12            Available   Virtual I/O Ethernet Adapter (l-lan)
ent13            Available   Virtual I/O Ethernet Adapter (l-lan)
ent14            Available   Virtual I/O Ethernet Adapter (l-lan)
ent17            Available   Virtual I/O Ethernet Adapter (l-lan)
vasi0            Available   Virtual Asynchronous Services Interface (VASI)
vbsd0            Available   Virtual Block Storage Device (VBSD)
vfchost0         Available   Virtual FC Server Adapter
vfchost1         Available   Virtual FC Server Adapter
vfchost2         Available   Virtual FC Server Adapter
vfchost3         Available   Virtual FC Server Adapter
vfchost4         Available   Virtual FC Server Adapter
vfchost5         Available   Virtual FC Server Adapter
vfchost6         Available   Virtual FC Server Adapter
vfchost7         Available   Virtual FC Server Adapter
vfchost8         Available   Virtual FC Server Adapter
vfchost9         Available   Virtual FC Server Adapter
vfchost10        Available   Virtual FC Server Adapter
vfchost11        Available   Virtual FC Server Adapter
vfchost20        Available   Virtual FC Server Adapter
vfchost21        Available   Virtual FC Server Adapter
vfchost22        Available   Virtual FC Server Adapter
vfchost23        Available   Virtual FC Server Adapter
vfchost24        Available   Virtual FC Server Adapter
vfchost25        Available   Virtual FC Server Adapter
vfchost26        Available   Virtual FC Server Adapter
vfchost27        Available   Virtual FC Server Adapter
vfchost28        Available   Virtual FC Server Adapter
vfchost29        Available   Virtual FC Server Adapter
vfchost30        Available   Virtual FC Server Adapter
vfchost31        Available   Virtual FC Server Adapter
vhost0           Available   Virtual SCSI Server Adapter
vhost1           Available   Virtual SCSI Server Adapter
vhost2           Available   Virtual SCSI Server Adapter
vhost3           Available   Virtual SCSI Server Adapter
vhost4           Available   Virtual SCSI Server Adapter
vhost5           Available   Virtual SCSI Server Adapter
vhost6           Available   Virtual SCSI Server Adapter
vhost7           Available   Virtual SCSI Server Adapter
vhost8           Available   Virtual SCSI Server Adapter
vhost9           Available   Virtual SCSI Server Adapter
vhost10          Available   Virtual SCSI Server Adapter
vhost11          Available   Virtual SCSI Server Adapter
vhost12          Available   Virtual SCSI Server Adapter
vhost13          Available   Virtual SCSI Server Adapter
vhost14          Available   Virtual SCSI Server Adapter
vhost25          Available   Virtual SCSI Server Adapter
vhost26          Available   Virtual SCSI Server Adapter
vhost27          Available   Virtual SCSI Server Adapter
vhost28          Available   Virtual SCSI Server Adapter
vhost29          Available   Virtual SCSI Server Adapter
vhost30          Available   Virtual SCSI Server Adapter
vhost31          Available   Virtual SCSI Server Adapter
vhost32          Available   Virtual SCSI Server Adapter
vhost33          Available   Virtual SCSI Server Adapter
vhost34          Available   Virtual SCSI Server Adapter
vhost35          Available   Virtual SCSI Server Adapter
vhost36          Available   Virtual SCSI Server Adapter
vhost37          Available   Virtual SCSI Server Adapter
vhost38          Available   Virtual SCSI Server Adapter
vhost39          Available   Virtual SCSI Server Adapter
vhost42          Available   Virtual SCSI Server Adapter
vhost43          Available   Virtual SCSI Server Adapter
vsa0             Available   LPAR Virtual Serial Adapter
vtscsi0          Available   Virtual Target Device - Disk
vtscsi1          Available   Virtual Target Device - Disk
vtscsi2          Available   Virtual Target Device - Disk
vtscsi3          Available   Virtual Target Device - Disk
vtscsi4          Available   Virtual Target Device - Disk
