==== This output can be found in Systems/dx976/os/errpt-d_H-^T_PERM.txt ====
==== START errpt -d H -T PERM Tue Jul  7 13:04:01 CDT 2015 ====
IDENTIFIER TIMESTAMP  T C RESOURCE_NAME  DESCRIPTION
F4EBEEC2   0603000915 P H ent0           Hardware error
F4EBEEC2   0603000915 P H ent0           Hardware error
F4EBEEC2   0603000915 P H ent1           Hardware error
F4EBEEC2   0524091515 P H ent4           Hardware error
F4EBEEC2   0524091515 P H ent5           Hardware error
F4EBEEC2   0524091515 P H ent4           Hardware error
516A2BC4   0508014515 P H hdisk47        CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk43        CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk45        CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk46        CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk48        CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk44        CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk49        CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk40        CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk39        CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk42        CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk41        CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk38        CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk155       CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk160       CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk156       CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk158       CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk157       CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk159       CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk162       CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk161       CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk153       CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk154       CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk152       CONNECTION FAILURE
516A2BC4   0508014515 P H hdisk151       CONNECTION FAILURE
