==== This output can be found in Systems/dx976/os/errpt.txt ====
==== START errpt Tue Jul  7 13:04:01 CDT 2015 ====
IDENTIFIER TIMESTAMP  T C RESOURCE_NAME  DESCRIPTION
29FA8C20   0701020215 I O fcs11          Additional FC Adapter Information
7BFEEA1F   0701020215 T H fcs11          LINK ERROR
29FA8C20   0701020215 I O fcs10          Additional FC Adapter Information
7BFEEA1F   0701020215 T H fcs10          LINK ERROR
29FA8C20   0701020215 I O fcs1           Additional FC Adapter Information
7BFEEA1F   0701020215 T H fcs1           LINK ERROR
29FA8C20   0701020215 I O fcs0           Additional FC Adapter Information
7BFEEA1F   0701020215 T H fcs0           LINK ERROR
101FFEEE   0605103715 T H fcnet8         SOFTWARE OPERATION NOT STARTED
101FFEEE   0605103715 T H fcnet7         SOFTWARE OPERATION NOT STARTED
101FFEEE   0605103715 T H fcnet8         SOFTWARE OPERATION NOT STARTED
101FFEEE   0605103715 T H fcnet7         SOFTWARE OPERATION NOT STARTED
DD2E9242   0605103715 T H ent3           Physical link down
DD2E9242   0605103715 T H ent6           Physical link down
DD2E9242   0605103715 T H ent7           Physical link down
DD2E9242   0605103715 T H ent2           Physical link down
101FFEEE   0605103615 T H fcnet8         SOFTWARE OPERATION NOT STARTED
101FFEEE   0605103615 T H fcnet7         SOFTWARE OPERATION NOT STARTED
DD2E9242   0605103615 T H ent3           Physical link down
DD2E9242   0605103615 T H ent6           Physical link down
DD2E9242   0605103615 T H ent7           Physical link down
DD2E9242   0605103515 T H ent2           Physical link down
101FFEEE   0605103415 T H fcnet8         SOFTWARE OPERATION NOT STARTED
101FFEEE   0605103415 T H fcnet7         SOFTWARE OPERATION NOT STARTED
DD2E9242   0605103415 T H ent3           Physical link down
DD2E9242   0605103415 T H ent6           Physical link down
DD2E9242   0605103315 T H ent7           Physical link down
DD2E9242   0605103315 T H ent2           Physical link down
DD2E9242   0605103215 T H ent3           Physical link down
DD2E9242   0605103215 T H ent6           Physical link down
DD2E9242   0605103215 T H ent7           Physical link down
DD2E9242   0605103215 T H ent2           Physical link down
7BFEEA1F   0605103215 T H fcs11          LINK ERROR
7BFEEA1F   0605103215 T H fcs10          LINK ERROR
7BFEEA1F   0605103215 T H fcs1           LINK ERROR
7BFEEA1F   0605103215 T H fcs0           LINK ERROR
101FFEEE   0605103015 T H fcnet8         SOFTWARE OPERATION NOT STARTED
101FFEEE   0605103015 T H fcnet7         SOFTWARE OPERATION NOT STARTED
DD2E9242   0605103015 T H ent3           Physical link down
DD2E9242   0605103015 T H ent6           Physical link down
DD2E9242   0605103015 T H ent7           Physical link down
DD2E9242   0605103015 T H ent2           Physical link down
DD2E9242   0605103015 T H ent3           Physical link down
DD2E9242   0605103015 T H ent6           Physical link down
DD2E9242   0605103015 T H ent7           Physical link down
DD2E9242   0605103015 T H ent2           Physical link down
7BFEEA1F   0605102915 T H fcs11          LINK ERROR
7BFEEA1F   0605102915 T H fcs10          LINK ERROR
7BFEEA1F   0605102915 T H fcs1           LINK ERROR
7BFEEA1F   0605102915 T H fcs0           LINK ERROR
101FFEEE   0604073415 T H fcnet8         SOFTWARE OPERATION NOT STARTED
101FFEEE   0604073415 T H fcnet7         SOFTWARE OPERATION NOT STARTED
101FFEEE   0604073415 T H fcnet8         SOFTWARE OPERATION NOT STARTED
101FFEEE   0604073415 T H fcnet7         SOFTWARE OPERATION NOT STARTED
DD2E9242   0604073415 T H ent3           Physical link down
DD2E9242   0604073415 T H ent6           Physical link down
DD2E9242   0604073415 T H ent7           Physical link down
DD2E9242   0604073415 T H ent2           Physical link down
101FFEEE   0604073315 T H fcnet8         SOFTWARE OPERATION NOT STARTED
101FFEEE   0604073315 T H fcnet7         SOFTWARE OPERATION NOT STARTED
DD2E9242   0604073315 T H ent3           Physical link down
DD2E9242   0604073315 T H ent6           Physical link down
DD2E9242   0604073315 T H ent7           Physical link down
DD2E9242   0604073315 T H ent2           Physical link down
101FFEEE   0604073115 T H fcnet8         SOFTWARE OPERATION NOT STARTED
101FFEEE   0604073115 T H fcnet7         SOFTWARE OPERATION NOT STARTED
DD2E9242   0604073115 T H ent3           Physical link down
DD2E9242   0604073115 T H ent6           Physical link down
DD2E9242   0604073115 T H ent7           Physical link down
DD2E9242   0604073115 T H ent2           Physical link down
DD2E9242   0604073015 T H ent3           Physical link down
DD2E9242   0604073015 T H ent6           Physical link down
DD2E9242   0604073015 T H ent7           Physical link down
DD2E9242   0604073015 T H ent2           Physical link down
7BFEEA1F   0604073015 T H fcs11          LINK ERROR
7BFEEA1F   0604073015 T H fcs10          LINK ERROR
7BFEEA1F   0604072915 T H fcs1           LINK ERROR
7BFEEA1F   0604072915 T H fcs0           LINK ERROR
101FFEEE   0604072815 T H fcnet8         SOFTWARE OPERATION NOT STARTED
