==== This output can be found in Systems/dx976/perf/mpstat-d_5_2.txt ====
==== START mpstat -d 5 2 Tue Jul  7 13:04:55 CDT 2015 ====

System configuration: lcpu=24 ent=2.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
  0    705     32      1      1      0      0      0  94.2   0.0   0.0   5.8   0.0   0.0     64   1122 100.0   0.0   0.0
  1     33      3      1      1      0      0      0  95.7   4.3   0.0   0.0   0.0   0.0      4    556 100.0   0.0   0.0
  2      0      0      0      0      0      0      0     -     -     -     -     -     -      2    507     -     -     -
  3      0      0      0      0      0      0      0     -     -     -     -     -     -      2    500     -     -     -
  4   1343     58      1      2      0      0      0  95.6   0.0   0.0   4.4   0.0   0.0     57   1696 100.0   0.0   0.0
  5      2      2      0      0      0      0      0  99.4   0.6   0.0   0.0   0.0   0.0      3    597 100.0   0.0   0.0
  6      0      0      0      0      0      0      0     -     -     -     -     -     -      1    500     -     -     -
  7      0      0      0      0      0      0      0     -     -     -     -     -     -      3    489     -     -     -
  8    825     37      1      1      0      0      0  95.4   0.0   0.0   4.6   0.0   0.0     67   1183 100.0   0.0   0.0
  9     25     18      0      0      0      0      0  98.2   1.8   0.0   0.0   0.0   0.0     23    545 100.0   0.0   0.0
 10      0      0      0      0      0      0      0     -     -     -     -     -     -      4    500     -     -     -
 11      0      0      0      0      0      0      0     -     -     -     -     -     -      2    497     -     -     -
 12    613     38      1      1      0      0      0  94.3   0.0   0.0   5.7   0.0   0.0     83    808 100.0   0.0   0.0
 13     15      5      1      1      0      0      0  89.4  10.6   0.0   0.0   0.0   0.0     18    517 100.0   0.0   0.0
 14      0      0      0      0      0      0      0     -     -     -     -     -     -      4    510     -     -     -
 15      0      0      0      0      0      0      0     -     -     -     -     -     -      3    498     -     -     -
 16    788     54      1      1      0      0      0  94.1   0.0   0.0   5.8   0.0   0.0     59   1230 100.0   0.0   0.0
 17     13      0      1      1      0      0      0  89.5  10.5   0.0   0.0   0.0   0.0      3    538 100.0   0.0   0.0
 18      0      0      0      0      0      0      0     -     -     -     -     -     -      2    497     -     -     -
 19      0      0      0      0      0      0      0     -     -     -     -     -     -      2    488     -     -     -
 20     98     96      1      1      0      0      0  98.1   0.0   0.0   1.9   0.0   0.0      5   9446 100.0   0.0   0.0
 21      0      0      0      0      0      0      0     -     -     -     -     -     -      1    257     -     -     -
 22      0      0      0      0      0      0      0     -     -     -     -     -     -      0    229     -     -     -
