==== This output can be found in Systems/dx977/os/errpt-d_H-^T_PERM.txt ====
==== START errpt -d H -T PERM Tue Jul  7 00:10:21 GST 2015 ====
IDENTIFIER TIMESTAMP  T C RESOURCE_NAME  DESCRIPTION
516A2BC4   0508104515 P H hdisk616       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk615       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk611       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk609       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk610       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk608       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk614       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk617       CONNECTION FAILURE
C62E1EB7   0508104515 P H hdisk608       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk614       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk614       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk611       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk617       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk614       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk611       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk614       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk617       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk610       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk614       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk608       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk611       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk609       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk609       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk609       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk611       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk608       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk610       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk608       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk617       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk608       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk616       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk615       DISK OPERATION ERROR
516A2BC4   0508045115 P H hdisk618       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk613       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk595       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk607       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk594       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk606       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk612       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk619       CONNECTION FAILURE
C62E1EB7   0508045115 P H hdisk607       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk612       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk607       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk612       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk607       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk607       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk594       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk612       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk618       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk595       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk618       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk594       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk618       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk613       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk619       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk606       DISK OPERATION ERROR
516A2BC4   0508035115 P H hdisk214       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk197       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk204       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk191       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk716       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk754       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk591       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk649       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk198       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk712       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk710       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk714       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk188       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk187       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk203       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk208       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk193       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk715       CONNECTION FAILURE
