==== This output can be found in Systems/dx977/os/errpt.txt ====
==== START errpt Tue Jul  7 00:10:21 GST 2015 ====
IDENTIFIER TIMESTAMP  T C RESOURCE_NAME  DESCRIPTION
2F3E09A4   0517091415 I H fscsi7         REPAIR ACTION
2F3E09A4   0517091415 I H fscsi2         REPAIR ACTION
2F3E09A4   0517091415 I H fscsi3         REPAIR ACTION
2F3E09A4   0517091415 I H fscsi6         REPAIR ACTION
C6E26F3B   0508114615 I H hdisk616       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk615       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk611       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk609       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk610       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk608       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk614       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk617       BACK-UP PATH STATUS CHANGE
3767AAFF   0508104515 I H hdisk616       BACK-UP PATH INOPERATIVE
516A2BC4   0508104515 P H hdisk616       CONNECTION FAILURE
3767AAFF   0508104515 I H hdisk615       BACK-UP PATH INOPERATIVE
516A2BC4   0508104515 P H hdisk615       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk611       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk609       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk610       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk608       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk614       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk617       CONNECTION FAILURE
C62E1EB7   0508104515 P H hdisk608       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk614       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk614       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk611       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk617       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk614       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk611       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk614       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk617       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk610       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk614       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk608       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk611       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk609       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk609       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk609       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk611       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk608       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk610       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk608       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk617       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk608       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk616       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk615       DISK OPERATION ERROR
D5676F6F   0508104515 T H fscsi6         ATTACHED SCSI TARGET DEVICE ERROR
D5676F6F   0508104515 T H fscsi3         ATTACHED SCSI TARGET DEVICE ERROR
C6E26F3B   0508055215 I H hdisk618       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055215 I H hdisk613       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055215 I H hdisk595       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055215 I H hdisk607       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055215 I H hdisk594       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055215 I H hdisk606       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055215 I H hdisk612       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055215 I H hdisk619       BACK-UP PATH STATUS CHANGE
3767AAFF   0508045115 I H hdisk618       BACK-UP PATH INOPERATIVE
516A2BC4   0508045115 P H hdisk618       CONNECTION FAILURE
3767AAFF   0508045115 I H hdisk613       BACK-UP PATH INOPERATIVE
516A2BC4   0508045115 P H hdisk613       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk595       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk607       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk594       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk606       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk612       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk619       CONNECTION FAILURE
C62E1EB7   0508045115 P H hdisk607       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk612       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk607       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk612       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk607       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk607       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk594       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk612       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk618       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk595       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk618       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk594       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk618       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk613       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk619       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk606       DISK OPERATION ERROR
D5676F6F   0508045115 T H fscsi2         ATTACHED SCSI TARGET DEVICE ERROR
D5676F6F   0508045115 T H fscsi7         ATTACHED SCSI TARGET DEVICE ERROR
C6E26F3B   0508044715 I H hdisk5         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk693       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk195       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk118       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk185       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk698       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk589       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk696       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk212       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk133       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk186       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk124       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk209       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk134       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk215       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk697       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk189       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk123       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk718       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk122       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk192       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk129       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk214       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk197       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk204       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk191       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk716       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk754       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk591       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk649       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk198       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk712       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk710       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk714       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk188       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk187       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk203       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk208       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk193       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk715       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk746       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk646       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk713       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk717       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk711       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk194       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk199       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk719       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk196       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk206       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk205       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk210       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk216       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk211       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk648       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk207       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk647       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk202       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk190       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk200       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk201       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk170       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk14        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk154       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk2         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk580       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk590       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk213       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk146       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk115       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk182       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk117       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk179       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk183       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk113       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk180       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk114       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk116       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk181       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk184       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk112       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk102       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk171       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk90        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk176       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk172       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk83        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk110       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk95        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk87        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk165       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk158       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk100       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk168       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk91        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk152       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk157       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk175       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk96        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk156       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk94        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk155       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk173       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk164       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk109       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk111       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk103       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk177       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk107       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk106       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk101       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk174       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk108       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk162       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk85        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk105       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk161       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk159       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk92        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk151       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk86        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk169       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk84        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk98        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk153       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk104       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk88        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk97        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk178       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk89        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk163       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk167       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk150       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk160       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk635       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk645       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk99        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk166       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk93        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk0         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk3         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk136       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk125       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk690       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk120       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk139       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk143       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk138       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk128       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk752       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk135       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk140       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk121       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk137       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk744       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk13        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk581       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk637       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk148       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk147       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk145       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk141       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk639       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk149       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk144       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk692       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk638       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk132       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk127       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk699       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk691       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk142       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk130       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk126       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk636       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk579       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk131       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk694       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk119       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk695       BACK-UP PATH STATUS CHANGE
3767AAFF   0508035115 I H hdisk214       BACK-UP PATH INOPERATIVE
516A2BC4   0508035115 P H hdisk214       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk197       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk204       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk191       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk716       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk754       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk591       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk649       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk198       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk712       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk710       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk714       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk188       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk187       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk203       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk208       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk193       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk715       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk746       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk646       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk713       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk717       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk711       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk194       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk199       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk719       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk196       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk206       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk205       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk210       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk216       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk211       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk648       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk207       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk647       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk202       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk190       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk200       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk201       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk170       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk14        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk154       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk2         CONNECTION FAILURE
3767AAFF   0508035115 I H hdisk580       BACK-UP PATH INOPERATIVE
516A2BC4   0508035115 P H hdisk580       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk590       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk213       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk146       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk115       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk182       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk117       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk179       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk183       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk113       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk180       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk114       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk116       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk181       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk184       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk112       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk102       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk171       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk90        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk176       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk172       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk83        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk110       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk95        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk87        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk165       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk158       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk100       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk168       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk91        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk152       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk157       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk175       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk96        CONNECTION FAILURE
