==== This output can be found in Systems/dx977/os/ps_auxw.txt ====
==== START ps auxw Tue Jul  7 00:09:50 GST 2015 ====
USER          PID %CPU %MEM   SZ  RSS    TTY STAT    STIME  TIME COMMAND
oracle   19792294  0.5  0.0 200764 172104      - A    00:09:34  0:04 oracleGSM (LOCAL=NO) 
oracle    5636534  0.4  0.0 392060 363400      - A    22:00:02 26:26 ora_j001_GSM 
oracle   44761574  0.4  0.0 198140 169480      - A    23:42:10  4:44 oracleGSM (LOCAL=NO) 
oracle   25167502  0.3  0.0 198204 169544      - A    23:42:18  3:26 oracleGSM (LOCAL=NO) 
oracle   17302148  0.3  0.0 202492 173832      - A    23:42:16  3:23 oracleGSM (LOCAL=NO) 
oracle   10682906  0.2  0.0 198076 169416      - A    23:42:20  2:29 oracleGSM (LOCAL=NO) 
oracle   48562862  0.2  0.0 198140 169480      - A    23:42:19  2:28 oracleGSM (LOCAL=NO) 
oracle    6816310  0.2  0.0 198012 169352      - A    23:42:21  2:26 oracleGSM (LOCAL=NO) 
oracle    8193652  0.2  0.0 198076 169416      - A    23:41:56  2:24 oracleGSM (LOCAL=NO) 
oracle   30605448  0.2  0.0 227580 198920      - A    22:00:02 10:56 ora_j000_GSM 
oracle   64094220  0.2  0.0 198140 169480      - A    23:42:12  2:06 oracleGSM (LOCAL=NO) 
oracle   21037748  0.1  0.0 198076 169416      - A    23:42:04  1:57 oracleGSM (LOCAL=NO) 
root      1179692  0.1  0.0  448  448      - A      Apr 01 8944:16 wait
root      1114154  0.1  0.0  448  448      - A      Apr 01 8931:20 wait
oracle   32178900  0.1  0.0 197372 168712      - A    23:42:24  1:43 oracleGSM (LOCAL=NO) 
root      1048616  0.1  0.0  448  448      - A      Apr 01 8621:41 wait
oracle   11731266  0.1  0.0 197244 168584      - A    23:42:23  1:39 oracleGSM (LOCAL=NO) 
oracle   16581296  0.1  0.0 196284 167624      - A    21:18:13 10:14 oracleGSM (LOCAL=NO) 
root      1441844  0.1  0.0  448  448      - A      Apr 01 7282:27 wait
root      1376306  0.1  0.0  448  448      - A      Apr 01 7268:02 wait
oracle    8782370  0.1  0.0 485180 600540      - A    00:00:01  0:30 oracleGSM (DESCRIPTION=(LOCAL=YES)(ADDRESS=(PROTOCOL=beq))) 
root      1703996  0.1  0.0  448  448      - A      Apr 01 6946:14 wait
root      1638458  0.1  0.0  448  448      - A      Apr 01 6930:52 wait
root      1310768  0.1  0.0  448  448      - A      Apr 01 6867:29 wait
root      1572920  0.1  0.0  448  448      - A      Apr 01 6546:42 wait
root       786464  0.1  0.0 2624 2624      - A      Apr 01 5821:55 vtiol
root      3538956  0.1  0.0 6592 6592      - A      Apr 01 5580:14 kbiod
root       590164  0.1  0.0  448  448      - A      Apr 01 5345:15 wait
root       524626  0.1  0.0  448  448      - A      Apr 01 5325:43 wait
root       459088  0.1  0.0  448  448      - A      Apr 01 4695:24 wait
root       328004  0.1  0.0  448  448      - A      Apr 01 4550:53 wait
root       262466  0.1  0.0  448  448      - A      Apr 01 4542:50 wait
root       196928  0.1  0.0  448  448      - A      Apr 01 4212:30 wait
root       328284  0.1  0.0  448  448      - A      Apr 01 4122:29 wait
root       262746  0.1  0.0  448  448      - A      Apr 01 4100:21 wait
root       197208  0.1  0.0  448  448      - A      Apr 01 3708:14 wait
root      1966156  0.1  0.0  448  448      - A      Apr 01 3486:04 wait
root      1900618  0.1  0.0  448  448      - A      Apr 01 3478:03 wait
root      1835080  0.0  0.0  448  448      - A      Apr 01 3143:05 wait
oracle    5834418  0.0  0.0 197756 169096      - A    23:42:05  0:36 oracleGSM (LOCAL=NO) 
root       590452  0.0  0.0  448  448      - A      Apr 01 2766:52 wait
root       524914  0.0  0.0  448  448      - A      Apr 01 2751:42 wait
root      2228324  0.0  0.0  448  448      - A      Apr 01 2743:49 wait
root      2162786  0.0  0.0  448  448      - A      Apr 01 2729:39 wait
root      2097248  0.0  0.0  448  448      - A      Apr 01 2535:54 wait
oracle   56033896  0.0  0.0 200316 171656      - A    23:41:54  0:29 oracleGSM (LOCAL=NO) 
oracle   26411192  0.0  0.0 198268 169608      - A    23:41:54  0:28 oracleGSM (LOCAL=NO) 
root       459376  0.0  0.0  448  448      - A      Apr 01 2250:12 wait
oracle    8978804  0.0  0.0 220796 189832      - A      Apr 02 2203:19 ora_dia0_GSM 
root       852332  0.0  0.0  448  448      - A      Apr 01 2188:40 wait
root       786794  0.0  0.0  448  448      - A      Apr 01 2181:40 wait
root      2490492  0.0  0.0  448  448      - A      Apr 01 1931:08 wait
root      2424954  0.0  0.0  448  448      - A      Apr 01 1924:29 wait
oracle   20316986  0.0  0.0 198140 169480      - A    23:42:06  0:23 oracleGSM (LOCAL=NO) 
root       721256  0.0  0.0  448  448      - A      Apr 01 1898:12 wait
oracle   25429168  0.0  0.0 197436 168776      - A    23:42:37  0:22 oracleGSM (LOCAL=NO) 
root      1114500  0.0  0.0  448  448      - A      Apr 01 1771:27 wait
root      1048962  0.0  0.0  448  448      - A      Apr 01 1765:51 wait
root      2359416  0.0  0.0  448  448      - A      Apr 01 1681:18 wait
root       983424  0.0  0.0  448  448      - A      Apr 01 1599:51 wait
oracle   32179962  0.0  0.0 197948 169288      - A    23:42:41  0:17 oracleGSM (LOCAL=NO) 
root       589850  0.0  0.0  640  640      - A      Apr 01 1376:22 reaffin
oracle   27132646  0.0  0.0 207292 178632      - A      Jun 30 76:55 oracleGSM (LOCAL=NO) 
root      3539276  0.0  0.0 1352 1532      - A      Apr 01 1143:39 /usr/sbin/snmpd 
root       393550  0.0  0.0  448  448      - A      Apr 01 1113:23 wait
oracle   41879292  0.0  0.0 195772 167112      - A    23:42:09  0:12 oracleGSM (LOCAL=NO) 
oracle   41550128  0.0  0.0 195388 166728      - A    23:48:59  0:09 oracleGSM (LOCAL=NO) 
oracle   66912532  0.0  0.0 195388 166728      - A    23:48:58  0:09 oracleGSM (LOCAL=NO) 
oracle   12649986  0.0  0.0 196220 167560      - A    23:41:59  0:12 oracleGSM (LOCAL=NO) 
oracle   46924140  0.0  0.0 195452 166792      - A    23:48:56  0:09 oracleGSM (LOCAL=NO) 
oracle   16057384  0.0  0.0 195388 166728      - A    23:48:55  0:09 oracleGSM (LOCAL=NO) 
oracle   65405504  0.0  0.0 195388 166728      - A    23:48:52  0:09 oracleGSM (LOCAL=NO) 
oracle   24314988  0.0  0.0 195388 166728      - A    23:48:51  0:09 oracleGSM (LOCAL=NO) 
oracle   20644914  0.0  0.0 195388 166728      - A    23:49:03  0:08 oracleGSM (LOCAL=NO) 
root      3342758  0.0  0.0 54544 54644      - A      Apr 01 859:08 perfd 
oracle   35324446  0.0  0.0 198396 169736      - A    23:42:25  0:10 oracleGSM (LOCAL=NO) 
root      1245230  0.0  0.0  448  448      - A      Apr 01 788:45 wait
root      1507382  0.0  0.0  448  448      - A      Apr 01 775:18 wait
root       131076  0.0  0.0  448  448      - A      Apr 01 743:15 wait
root       393838  0.0  0.0  448  448      - A      Apr 01 735:39 wait
root       131670  0.0  0.0  448  448      - A      Apr 01 735:15 wait
oracle    6553606  0.0  0.0 212284 167944      - A      Apr 02 705:21 ora_lgwr_GSM 
root      3998146  0.0  0.0 45772 45936      - A      Apr 01 690:41 /usr/lpp/perf/bin/scopeux 
oracle   35259978  0.0  0.0 198332 169672      - A    23:42:31  0:08 oracleGSM (LOCAL=NO) 
oracle   13502152  0.0  0.0 198524 169864      - A    23:42:28  0:08 oracleGSM (LOCAL=NO) 
oracle    1508658  0.0  0.0 201852 173192      - A    13:56:18  2:59 oracleGSM (LOCAL=NO) 
