==== This output can be found in Systems/dx977/perf/lparstat-em.txt ====
==== START lparstat -em  Tue Jul  7 00:15:26 GST 2015 ====

System configuration: lcpu=48 mem=393215MB mpsz=0.00GB iome=393215.94MB iomp=40 ent=6.00 

physb   hpi  hpit  pmem  iomin   iomu   iomf  iohwm iomaf %entc  vcsw 
----- ----- ----- ----- ------ ------ ------ ------ ----- ----- ----- 
169.05 79602 716399 384.00 1300.6   -     -     -       0  42.7 42601312036 

              iompn: iomin  iodes   iomu  iores  iohwm  iomaf
         ent3.txpool  2.12  16.00   2.00   2.12   2.00      0
      ent3.rxpool__4  4.00  16.00   3.50   4.00   3.50      0
      ent3.rxpool__3  4.00  32.00   2.00  32.00   2.70      0
      ent3.rxpool__2  2.50  20.00   2.00  20.00   2.08      0
      ent3.rxpool__1  0.84   4.50   0.75   0.84   0.75      0
      ent3.rxpool__0  1.59   8.50   1.50   1.59   1.50      0
        ent3.phypmem  0.14   0.14   0.13   0.14   0.13      0
         ent1.txpool  2.12  16.00   2.00   2.12   2.00      0
      ent1.rxpool__4  4.00  16.00   3.50   4.00   3.50      0
      ent1.rxpool__3  4.00  32.00   2.00  32.00   5.75      0
      ent1.rxpool__2  2.50  20.00   2.00  20.00   2.31      0
      ent1.rxpool__1  0.84   4.50   0.75   4.50   1.25      0
      ent1.rxpool__0  1.59   8.50   1.50   1.59   1.50      0
        ent1.phypmem  0.14   0.14   0.13   0.14   0.13      0
         ent0.txpool  2.12  16.00   2.00   2.12   2.00      0
      ent0.rxpool__4  4.00  16.00   3.50   4.00   3.50      0
      ent0.rxpool__3  4.00  32.00   3.71  32.00  16.00      0
      ent0.rxpool__2  2.50  20.00   2.00  20.00  16.00      0
      ent0.rxpool__1  0.84   4.50   0.75   4.50   1.22      0
      ent0.rxpool__0  1.59   8.50   1.50   8.50   1.81      0
        ent0.phypmem  0.14   0.14   0.13   0.14   0.13      0
              vscsi9 16.50  16.50   0.13  16.50   0.13      0
              vscsi8 16.50  16.50   0.13  16.50   0.13      0
              vscsi7 16.50  16.50   0.13  16.50   0.13      0
              vscsi6 16.50  16.50   0.13  16.50   0.13      0
              vscsi5 16.50  16.50   0.13  16.50   0.13      0
              vscsi4 16.50  16.50   0.13  16.50   0.13      0
              vscsi3 16.50  16.50   0.13  16.50   0.13      0
              vscsi2 16.50  16.50   0.13  16.50   0.13      0
              vscsi1 16.50  16.50   0.13  16.50   0.13      0
              vscsi0 16.50  16.50   0.13  16.50   0.13      0
                fcs6 136.25  136.25   1.00  136.25  15.18      0
                fcs7 136.25  136.25   1.03  136.25  15.31      0
                fcs5 136.25  136.25   0.22  136.25   0.22      0
                fcs3 136.25  136.25   0.50  136.25  15.13      0
                fcs4 136.25  136.25   0.22  136.25   0.22      0
                fcs2 136.25  136.25   0.50  136.25  15.18      0
                fcs1 136.25  136.25   0.22  136.25   0.22      0
                fcs0 136.25  136.25   0.22  136.25   0.22      0
                sys0  0.00   0.00   0.00   0.00   0.00      0

==== EXITED with rc 0 ====
==== END lparstat -em  Tue Jul  7 00:15:26 GST 2015 ====
