==== This output can be found in Systems/dx978/os/errpt-d_H-^T_PERM.txt ====
==== START errpt -d H -T PERM Mon Jul  6 23:29:55 GST 2015 ====
IDENTIFIER TIMESTAMP  T C RESOURCE_NAME  DESCRIPTION
516A2BC4   0508104515 P H hdisk364       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk547       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk365       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk548       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk366       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk549       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk363       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk546       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk4         CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk552       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk6         CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk553       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk0         CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk550       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk2         CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk551       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk3         CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk5         CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk11        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk14        CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk303       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk543       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk304       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk491       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk482       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk305       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk299       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk492       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk306       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk493       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk360       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk544       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk307       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk494       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk308       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk495       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk361       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk496       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk464       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk278       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk309       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk497       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk310       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk499       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk311       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk501       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk312       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk502       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk313       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk503       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk314       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk504       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk315       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk505       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk316       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk506       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk317       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk507       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk318       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk508       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk319       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk509       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk320       CONNECTION FAILURE
516A2BC4   0508035115 P H hdisk460       CONNECTION FAILURE
