==== This output can be found in Systems/dx978/os/errpt-d_H.txt ====
==== START errpt -d H Mon Jul  6 23:29:55 GST 2015 ====
IDENTIFIER TIMESTAMP  T C RESOURCE_NAME  DESCRIPTION
2F3E09A4   0517091415 I H fscsi10        REPAIR ACTION
2F3E09A4   0517091415 I H fscsi15        REPAIR ACTION
2F3E09A4   0517091415 I H fscsi11        REPAIR ACTION
2F3E09A4   0517091415 I H fscsi14        REPAIR ACTION
C6E26F3B   0508114615 I H hdisk364       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk547       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk365       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk548       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk366       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk549       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk363       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk546       BACK-UP PATH STATUS CHANGE
3767AAFF   0508104515 I H hdisk364       BACK-UP PATH INOPERATIVE
516A2BC4   0508104515 P H hdisk364       CONNECTION FAILURE
3767AAFF   0508104515 I H hdisk547       BACK-UP PATH INOPERATIVE
516A2BC4   0508104515 P H hdisk547       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk365       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk548       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk366       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk549       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk363       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk546       CONNECTION FAILURE
D5676F6F   0508104515 T H fscsi14        ATTACHED SCSI TARGET DEVICE ERROR
D5676F6F   0508104515 T H fscsi11        ATTACHED SCSI TARGET DEVICE ERROR
C6E26F3B   0508055215 I H hdisk4         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055215 I H hdisk552       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055215 I H hdisk6         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055215 I H hdisk553       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055215 I H hdisk0         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055215 I H hdisk550       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055215 I H hdisk2         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055215 I H hdisk551       BACK-UP PATH STATUS CHANGE
3767AAFF   0508045115 I H hdisk4         BACK-UP PATH INOPERATIVE
516A2BC4   0508045115 P H hdisk4         CONNECTION FAILURE
3767AAFF   0508045115 I H hdisk552       BACK-UP PATH INOPERATIVE
516A2BC4   0508045115 P H hdisk552       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk6         CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk553       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk0         CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk550       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk2         CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk551       CONNECTION FAILURE
D5676F6F   0508045115 T H fscsi10        ATTACHED SCSI TARGET DEVICE ERROR
D5676F6F   0508045115 T H fscsi15        ATTACHED SCSI TARGET DEVICE ERROR
C6E26F3B   0508044715 I H hdisk293       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk480       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk294       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk481       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk282       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk468       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk358       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk542       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk295       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk484       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk283       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk485       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk297       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk486       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk298       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk487       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk301       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk488       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk359       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk489       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk302       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk490       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk3         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk5         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk11        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk14        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk303       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk543       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk304       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk491       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk482       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk305       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk299       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk492       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk306       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk493       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk360       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk544       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk307       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk494       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk308       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk495       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk361       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk496       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk464       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk278       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk309       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk497       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk310       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk499       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk311       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk501       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk312       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk502       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk313       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk503       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk314       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk504       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk315       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk505       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk316       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk506       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk317       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk507       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk318       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk508       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk319       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk509       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk320       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk460       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk275       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk479       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk510       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk321       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk511       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk322       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk323       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk512       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk324       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk513       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk523       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk273       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk325       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk514       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk326       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk515       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk296       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk516       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk327       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk517       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk328       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk518       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk329       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk519       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk331       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk520       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk332       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk521       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk333       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk522       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk334       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk525       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk335       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk526       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk336       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk527       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk337       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk471       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk338       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk528       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk340       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk483       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk279       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk458       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk341       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk545       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk731       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk524       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk531       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk300       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk362       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk532       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk529       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk342       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk457       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk272       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk343       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk533       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk330       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk534       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk339       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk535       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk346       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk536       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk347       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk537       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk348       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk459       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk349       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk461       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk350       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk538       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk351       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk465       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk280       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk462       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk463       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk274       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk466       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk276       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk467       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk277       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk469       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk281       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk470       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk344       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk472       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk285       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk473       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk287       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk530       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk345       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk539       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044715 I H hdisk352       BACK-UP PATH STATUS CHANGE
