==== This output can be found in Systems/dx978/os/fileprint_var_adm_sulog.txt ====
==== START fileprint /var/adm/sulog Mon Jul  6 23:29:56 GST 2015 ====
==== BEGIN Contents of /var/adm/sulog ====
SU 03/02 06:07 + tty?? root-pconsole
SU 03/02 06:26 + tty?? root-pconsole
SU 03/03 01:59 + tty?? root-pconsole
SU 03/03 02:04 + tty?? root-pconsole
SU 03/03 02:16 + tty?? root-pconsole
SU 03/03 02:25 + tty?? root-pconsole
SU 03/03 02:30 + tty?? root-pconsole
SU 03/04 02:08 + tty?? root-pconsole
SU 03/04 06:04 + tty?? root-pconsole
SU 03/05 10:33 + tty?? root-pconsole
SU 03/05 10:38 + tty?? root-pconsole
SU 03/05 12:21 + tty?? root-pconsole
SU 03/05 12:26 + tty?? root-pconsole
SU 03/05 13:29 + tty?? root-pconsole
SU 03/05 13:41 + tty?? root-pconsole
SU 03/05 14:18 + tty?? root-pconsole
SU 03/05 14:57 + tty?? root-pconsole
SU 03/05 21:05 + tty?? root-pconsole
SU 03/05 21:28 + tty?? root-pconsole
SU 03/05 22:24 + tty?? root-pconsole
SU 03/05 22:57 + tty?? root-pconsole
SU 03/05 23:05 + tty?? root-pconsole
SU 03/06 23:51 + pts/1 root-oracle
SU 03/07 00:04 + pts/1 root-oracle
SU 03/07 10:41 + pts/1 root-oracle
SU 03/07 10:53 + pts/1 root-oracle
SU 03/07 11:45 + pts/2 root-oracle
SU 03/07 12:11 + pts/0 root-oracle
SU 03/07 12:24 + pts/0 root-oracle
SU 03/07 12:24 + pts/2 root-oracle
SU 03/07 12:45 + pts/1 root-oracle
SU 03/07 12:54 + pts/1 root-oracle
SU 03/07 13:13 + pts/1 root-oracle
SU 03/07 13:24 + pts/1 root-oracle
SU 03/07 13:45 + pts/0 root-oracle
SU 03/07 13:53 + pts/0 root-oracle
SU 03/07 13:54 + tty?? root-pconsole
SU 03/07 16:45 + tty?? root-pconsole
SU 03/07 17:09 + tty?? root-pconsole
SU 03/07 17:17 + tty?? root-pconsole
SU 03/07 17:20 + tty?? root-pconsole
SU 03/07 17:41 + tty?? root-pconsole
SU 03/07 19:52 + tty?? root-pconsole
SU 03/07 20:01 + tty?? root-pconsole
SU 03/07 21:04 + tty?? root-pconsole
