==== This output can be found in Systems/dx978/os/lscfg.txt ====
==== START lscfg Mon Jul  6 23:30:06 GST 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                              System Object
+ sysplanar0                                                                        System Planar
* vio0                                                                              Virtual I/O Bus
* vscsi19          U9179.MHD.21ADA1V-V34-C120-T1                                    Virtual SCSI Client Adapter
* vscsi18          U9179.MHD.21ADA1V-V34-C119-T1                                    Virtual SCSI Client Adapter
* vscsi17          U9179.MHD.21ADA1V-V34-C118-T1                                    Virtual SCSI Client Adapter
* vscsi16          U9179.MHD.21ADA1V-V34-C117-T1                                    Virtual SCSI Client Adapter
* vscsi15          U9179.MHD.21ADA1V-V34-C116-T1                                    Virtual SCSI Client Adapter
* vscsi14          U9179.MHD.21ADA1V-V34-C115-T1                                    Virtual SCSI Client Adapter
* vscsi13          U9179.MHD.21ADA1V-V34-C114-T1                                    Virtual SCSI Client Adapter
* vscsi12          U9179.MHD.21ADA1V-V34-C113-T1                                    Virtual SCSI Client Adapter
* vscsi11          U9179.MHD.21ADA1V-V34-C112-T1                                    Virtual SCSI Client Adapter
* vscsi10          U9179.MHD.21ADA1V-V34-C111-T1                                    Virtual SCSI Client Adapter
* ent3             U9179.MHD.21ADA1V-V34-C7-T1                                      Virtual I/O Ethernet Adapter (l-lan)
* ent2             U9179.MHD.21ADA1V-V34-C6-T1                                      Virtual I/O Ethernet Adapter (l-lan)
* ent1             U9179.MHD.21ADA1V-V34-C5-T1                                      Virtual I/O Ethernet Adapter (l-lan)
* ent0             U9179.MHD.21ADA1V-V34-C4-T1                                      Virtual I/O Ethernet Adapter (l-lan)
* vsa0             U9179.MHD.21ADA1V-V34-C0                                         LPAR Virtual Serial Adapter
* vty0             U9179.MHD.21ADA1V-V34-C0-L0                                      Asynchronous Terminal
+ fcs8             U9179.MHD.21ADA1V-V34-C311-T1                                    Virtual Fibre Channel Client Adapter
+ fscsi8           U9179.MHD.21ADA1V-V34-C311-T1                                    FC SCSI I/O Controller Protocol Device
+ fcs9             U9179.MHD.21ADA1V-V34-C312-T1                                    Virtual Fibre Channel Client Adapter
+ fscsi9           U9179.MHD.21ADA1V-V34-C312-T1                                    FC SCSI I/O Controller Protocol Device
+ fcs10            U9179.MHD.21ADA1V-V34-C313-T1                                    Virtual Fibre Channel Client Adapter
+ fscsi10          U9179.MHD.21ADA1V-V34-C313-T1                                    FC SCSI I/O Controller Protocol Device
* hdisk21          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-LC000000000000   EMC Symmetrix FCP VRAID
* hdisk22          U9179.MHD.21ADA1V-V34-C313-T1-W500009740834D530-LD000000000000   EMC Symmetrix FCP VRAID
