==== This output can be found in Systems/dx978/perf/lparstat-em.txt ====
==== START lparstat -em  Mon Jul  6 23:32:54 GST 2015 ====

System configuration: lcpu=48 mem=233472MB mpsz=0.00GB iome=233472.00MB iomp=40 ent=6.00 

physb   hpi  hpit  pmem  iomin   iomu   iomf  iohwm iomaf %entc  vcsw 
----- ----- ----- ----- ------ ------ ------ ------ ----- ----- ----- 
 3.25     0     0 228.00 1300.6   -     -     -       0   0.9 2668937589 

              iompn: iomin  iodes   iomu  iores  iohwm  iomaf
         ent3.txpool  2.12  16.00   2.00   2.12   2.00      0
      ent3.rxpool__4  4.00  16.00   3.50   4.00   3.50      0
      ent3.rxpool__3  4.00  32.00   2.00   4.00   2.00      0
      ent3.rxpool__2  2.50  20.00   2.00  20.00   2.39      0
      ent3.rxpool__1  0.84   4.50   0.75   0.84   0.75      0
      ent3.rxpool__0  1.59   8.50   1.50   1.59   1.50      0
        ent3.phypmem  0.14   0.14   0.13   0.14   0.13      0
         ent1.txpool  2.12  16.00   2.00   2.12   2.00      0
      ent1.rxpool__4  4.00  16.00   3.50   4.00   3.50      0
      ent1.rxpool__3  4.00  32.00   2.00  32.00   2.04      0
      ent1.rxpool__2  2.50  20.00   2.00  20.00   2.55      0
      ent1.rxpool__1  0.84   4.50   0.75   4.50   1.03      0
      ent1.rxpool__0  1.59   8.50   1.50   1.59   1.50      0
        ent1.phypmem  0.14   0.14   0.13   0.14   0.13      0
         ent0.txpool  2.12  16.00   2.00   2.12   2.00      0
      ent0.rxpool__4  4.00  16.00   3.50   4.00   3.50      0
      ent0.rxpool__3  4.00  32.00   2.00  32.00   2.23      0
      ent0.rxpool__2  2.50  20.00   2.00  20.00   2.53      0
      ent0.rxpool__1  0.84   4.50   0.75   4.50   1.06      0
      ent0.rxpool__0  1.59   8.50   1.50   1.59   1.50      0
        ent0.phypmem  0.14   0.14   0.13   0.14   0.13      0
             vscsi19 16.50  16.50   0.13  16.50   0.13      0
             vscsi18 16.50  16.50   0.13  16.50   0.13      0
             vscsi17 16.50  16.50   0.13  16.50   0.13      0
             vscsi16 16.50  16.50   0.13  16.50   0.13      0
             vscsi15 16.50  16.50   0.13  16.50   0.13      0
             vscsi14 16.50  16.50   0.13  16.50   0.13      0
             vscsi13 16.50  16.50   0.13  16.50   0.13      0
             vscsi12 16.50  16.50   0.13  16.50   0.13      0
             vscsi11 16.50  16.50   0.13  16.50   0.13      0
             vscsi10 16.50  16.50   0.13  16.50   0.13      0
               fcs15 136.25  136.25   0.50  136.25   9.54      0
               fcs11 136.25  136.25   0.50  136.25   9.04      0
               fcs14 136.25  136.25   0.50  136.25   9.54      0
               fcs13 136.25  136.25   0.22  136.25   0.22      0
               fcs12 136.25  136.25   0.22  136.25   0.22      0
               fcs10 136.25  136.25   0.50  136.25   9.29      0
                fcs8 136.25  136.25   0.22  136.25   0.22      0
                fcs9 136.25  136.25   0.22  136.25   0.22      0
                sys0  0.00   0.00   0.00   0.00   0.00      0

==== EXITED with rc 0 ====
==== END lparstat -em  Mon Jul  6 23:32:54 GST 2015 ====
