==== This output can be found in Systems/dx978/perf/mpstat-a.txt ====
==== START mpstat -a Mon Jul  6 23:33:05 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu    min    maj   mpcs   mpcr    dev   soft    dec     ph     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   sysc    us    sy    wa    id    pc   %ec   ilcs   vlcs S3hrd S4hrd S5hrd
cpu    min    maj   mpcs   mpcr    dev   soft    dec     ph     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   sysc    us    sy    wa    id    pc   %ec   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0 1493562489  49992 132645 830505 22287890 350246819 1581814020 29237257 11577947262 218125839      1     95     17 2362948 34218620  99.6   0.1   0.0   0.0   0.0   0.3 54427094912  13.3  84.6   0.0   2.0  0.03   0.0 3689915 1602488278  39.5  60.5   0.0     0
  1 14651825    457  89573   2928 20141012 196955 65811761 223144 41170479 1982432      0      0      0    166     50  76.1  23.9   0.0   0.0   0.0   0.0 191446992   0.6   1.7   0.0  97.6  0.01   0.0 563681 95081865  34.0  66.0   0.0     0
  2 374509     18  89264   2926 19527319 165124 62675621  96214 3241529 685078      0      0      0      1    136  51.2  48.8   0.0   0.0   0.0   0.0 10521519   0.0   0.6   0.0  99.4  0.01   0.0 432639 82601471  47.8  52.2   0.0     0
  3 285392     29  88407   2926 19103654 156594 62637207  86685 3167779 675971      0      0      0      1     34  52.0  48.0   0.0   0.0   0.0   0.0 4467491   0.0   0.5   0.0  99.4  0.01   0.0 430815 82118963  48.2  51.8   0.0     0
  4 24855374   4179   3748   2924  72710  11454 14673437  85809 4034558 787337      0      0      0  90261  37362  76.1   0.0   0.0  21.0   0.0   2.9 59660806  51.2  34.6   0.0  14.2  0.00   0.0 7135945 1770119  82.1  17.9   0.0     0
  5 252273     86   2104   2926  51331    248 14304283  23925 661056 656208      0      0      0     84     12   2.2  97.8   0.0   0.0   0.0   0.0 917909   3.9  18.5   0.0  77.5  0.00   0.0 7121650 152936  99.8   0.2   0.0     0
  6   4635      3   2121   2926  49228     68 3969750  14550 647815 647401      0      0      0      0      8   0.1  99.8   0.0   0.0   0.0   0.0   2820   0.1  10.6   0.0  89.3  0.00   0.0 1955255 121239 100.0   0.0   0.0     0
  7   3567      5   1958   2926  48281     75 3969052  12963 647829 647377      0      0      0      0      5   0.1  99.8   0.0   0.0   0.0   0.0   3182   0.0  10.4   0.0  89.6  0.00   0.0 1955186 119579 100.0   0.0   0.0     0
  8 12639268   2791 115023   2928 22384840 232090 112714950 183926 1772511 697110      0      0      0  36268  10484  57.0   0.0   0.0  40.7   0.0   2.4 28394488  14.5  53.4   0.0  32.1  0.00   0.0  26002 136205456  84.3  15.7   0.0     0
  9 201259     81    734   2926  24346    222 14284097  12555 668081 665065      0      0      0     85     11   3.2  96.7   0.0   0.0   0.0   0.0 1317697   0.6   3.1   0.0  96.3  0.00   0.0 7123411  86930  99.9   0.1   0.0     0
