==== This output can be found in Systems/dx978/perf/mpstat-d_5_2.txt ====
==== START mpstat -d 5 2 Mon Jul  6 23:33:05 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0   6580    155      1      1      0   1563     51  95.3   0.0   0.0   0.0   0.0   4.7      0    260  43.1  56.9   0.0     0
  1      0      0      0      0      0      0      0     -     -     -     -     -     -      0     13     -     -     -     0
  2      0      0      0      0      0      0      0     -     -     -     -     -     -      0     13     -     -     -     0
  3      0      0      0      0      0      0      0     -     -     -     -     -     -      0     13     -     -     -     0
  4      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
  5      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
  6      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
  7      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
  8      0      0      0      0      0      0      0     -     -     -     -     -     -      0     21     -     -     -     0
  9      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 10      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 11      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 12      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 13      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 14      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 15      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 16   1330    176      1      1      0      0   1569  77.2   0.0   0.0   0.0   0.0  22.8      1    227  70.9  29.1   0.0     0
 17      0      0      0      0      0      0      0     -     -     -     -     -     -      0     13     -     -     -     0
 18      0      0      0      0      0      0      0     -     -     -     -     -     -      0     13     -     -     -     0
 19      0      0      0      0      0      0      0     -     -     -     -     -     -      0     13     -     -     -     0
 20      0      0      0      0      0      0      0     -     -     -     -     -     -      0     24     -     -     -     0
 21      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 22      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 23      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 24      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 25      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 26      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 27      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 28      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 29      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 30      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 31      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 32      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 33      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 34      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 35      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 36      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 37      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 38      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 39      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 40      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 41      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 42      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 43      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 44      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 45      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 46      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 47      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
ALL   7910    331      2      2      0   1563   1620  92.2   0.0   0.0   0.0   0.0   7.8     18    610  47.9  52.1   0.0     0
------------------------------------------------------------------------------------------------------------

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0   7184    145      1      1      0   1378     51  96.2   0.0   0.0   0.0   0.0   3.8      1    301  42.8  57.2   0.0     0
  1      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     13 100.0   0.0   0.0     0
  2      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     13 100.0   0.0   0.0     0
  3      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     13 100.0   0.0   0.0     0
  4      0      0      0      0      0      0      0   0.0   0.0   0.0 100.0   0.0   0.0      1      0 100.0   0.0   0.0     0
  5      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0 100.0   0.0   0.0     0
  6      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
  7      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
  8      0      0      0      0      0      0      0   0.0   0.0   0.0 100.0   0.0   0.0      0     21 100.0   0.0   0.0     0
  9      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0 100.0   0.0   0.0     0
 10      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 11      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 12      0      0      0      0      0      0      0   0.0   0.0   0.0 100.0   0.0   0.0      1      0 100.0   0.0   0.0     0
 13      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0 100.0   0.0   0.0     0
 14      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 15      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 16   1340    218      1      1      0      1   1406  79.9   0.0   0.0   0.0   0.0  20.1      1    203  69.8  30.2   0.0     0
 17      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     13   0.0 100.0   0.0     0
 18      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     13   0.0 100.0   0.0     0
 19      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     13   0.0 100.0   0.0     0
 20      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      0     24   0.0 100.0   0.0     0
 21      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 22      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 23      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 24      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      1      0 100.0   0.0   0.0     0
 25      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0 100.0   0.0   0.0     0
 26      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0 100.0   0.0   0.0     0
 27      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 28      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      1      0   0.0 100.0   0.0     0
 29      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0   0.0 100.0   0.0     0
 30      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 31      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0   0.0 100.0   0.0     0
 32      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      1      0   0.0 100.0   0.0     0
 33      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 34      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 35      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 36      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      1      0 100.0   0.0   0.0     0
 37      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0 100.0   0.0   0.0     0
 38      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 39      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 40      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      1      0   0.0 100.0   0.0     0
 41      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      1      0   0.0 100.0   0.0     0
 42      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 43      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 44      0      0      0      0      0      0      0   0.0   0.0   0.0   0.0   0.0 100.0      1      0   0.0 100.0   0.0     0
 45      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 46      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
 47      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0   0.0 100.0   0.0     0
ALL   8524    363      2      2      0   1379   1457  93.5   0.1   0.0   0.0   0.0   6.4     19    627  47.1  52.9   0.0     0
==== EXITED with rc 0 ====
==== END mpstat -d 5 2 Mon Jul  6 23:33:15 GST 2015 ====
