==== This output can be found in Systems/dx978/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Mon Jul  6 23:32:54 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 5803    0    0  151 5920  115    1 1383  96 176511 46 52  0  1 0.19  0.0  519
  1    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.04  0.0   12
  2    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.04  0.0   12
  3    0    0    0   11    0    0    0    0   -    0  0  0  0 100 0.04  0.0   12
  4  334    0    0   22   28    0    0   44  97 1668 26 72  0  2 0.01  0.0   29
  5    0    0    0    3    0    0    0    0   -    0  0  0  0 100 0.00  0.0    3
  6    0    0    0    2    0    0    0    0   -    0  0  0  0 100 0.00  0.0    2
  7    0    0    0    2    0    0    0    0   -    0  0  0  0 100 0.00  0.0    2
  8    0    0    0   20    0    0    0    0   -    0  0 53  0 47 0.00  0.0   20
  9    0    0    0    2    0    0    0    0   -    0  0  2  0 98 0.00  0.0    1
 10    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 11    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 12    0    0    0    2    0    0    0    0   -    0  0 24  0 76 0.00  0.0    1
 13    0    0    0    2    0    0    0    0   -    0  0 30  0 70 0.00  0.0    1
 14    0    0    0    0    0    0    0    0   -    0  0  8  0 92 0.00  0.0    0
 15    0    0    0    0    0    0    0    0   -    0  0  8  0 92 0.00  0.0    0
 16 6723    0    0  307 1134  135    1 1283  80 649889 62 38  0  0 0.39  0.0  295
 17    0    0    0  102    0    0    0    0 100    1  0  0  0 100 0.07  0.0  102
 18    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.07  0.0   12
 19    0    0    0   12    0    0    0    0   -    0  0  0  0 100 0.07  0.0   12
 20 1176    0    0  122 1003   14    0  356  94 36226 52 45  0  4 0.03  0.0  397
 21    0    0    0    4    0    0    0    0   -    0  0  0  0 100 0.02  0.0    4
