==== This output can be found in Systems/dx978/storage/for_i_in_lspv_awk_print_1_do_echo_i,_Disk_size_get.txt ====
==== START for i in $(lspv | awk '{print $1}') ;do echo "$i, Disk size: $(getconf DISK_SIZE /dev/$i), Disk partition: $(getconf DISK_PARTITION /dev/$i), Disk location: $(getconf DISK_DEVNAME $i)"; done Mon Jul  6 23:33:36 GST 2015 ====
hdisk0, Disk size: 16387, Disk partition: 32, Disk location: 13-T1-01
hdisk1, Disk size: 5120, Disk partition: 8, Disk location: 13-T1-01
hdisk728, Disk size: 5120, Disk partition: 8, Disk location: 13-T1-01
hdisk2, Disk size: 16387, Disk partition: 32, Disk location: 13-T1-01
hdisk8, Disk size: 155655, Disk partition: 256, Disk location: 13-T1-01
hdisk4, Disk size: 16387, Disk partition: 32, Disk location: 13-T1-01
hdisk6, Disk size: 16387, Disk partition: 32, Disk location: 13-T1-01
hdisk7, Disk size: 102405, Disk partition: 128, Disk location: 13-T1-01
hdisk9, Disk size: 212992, Disk partition: 256, Disk location: 13-T1-01
hdisk10, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk12, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk284, Disk size: 155655, Disk partition: 256, Disk location: 13-T1-01
hdisk13, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk15, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk16, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk18, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk19, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk729, Disk size: 5120, Disk partition: 8, Disk location: 13-T1-01
hdisk730, Disk size: 5120, Disk partition: 8, Disk location: 14-T1-01
hdisk20, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk731, Disk size: 5120, Disk partition: 8, Disk location: 14-T1-01
hdisk732, Disk size: 5120, Disk partition: 8, Disk location: 17-T1-01
hdisk733, Disk size: 5120, Disk partition: 8, Disk location: 17-T1-01
hdisk21, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk22, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk23, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk24, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk25, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk26, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk27, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk28, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk29, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk30, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk31, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk32, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk33, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk34, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk35, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk36, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk37, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk38, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk39, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk40, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk41, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk42, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk43, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk44, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk45, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk46, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk47, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk48, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk49, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk50, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk51, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk52, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk53, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk54, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk55, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk56, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk57, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk58, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk59, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk60, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk61, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk62, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk63, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk64, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk65, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk66, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk67, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk68, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk69, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk70, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk71, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk72, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk73, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk74, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk75, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk76, Disk size: 204802, Disk partition: 256, Disk location: 13-T1-01
hdisk77, Disk size: 245760, Disk partition: 256, Disk location: 13-T1-01
hdisk78, Disk size: 245760, Disk partition: 256, Disk location: 13-T1-01
hdisk79, Disk size: 245760, Disk partition: 256, Disk location: 13-T1-01
hdisk80, Disk size: 10240, Disk partition: 16, Disk location: 13-T1-01
hdisk81, Disk size: 10240, Disk partition: 16, Disk location: 13-T1-01
hdisk82, Disk size: 10240, Disk partition: 16, Disk location: 13-T1-01
hdisk83, Disk size: 204802, Disk partition: 256, Disk location: 13-T1-01
hdisk84, Disk size: 102401, Disk partition: 128, Disk location: 13-T1-01
hdisk85, Disk size: 102401, Disk partition: 128, Disk location: 13-T1-01
hdisk86, Disk size: 25600, Disk partition: 32, Disk location: 13-T1-01
hdisk87, Disk size: 25600, Disk partition: 32, Disk location: 13-T1-01
hdisk88, Disk size: 1048582, Disk partition: 2048, Disk location: 13-T1-01
hdisk89, Disk size: 1048582, Disk partition: 2048, Disk location: 13-T1-01
hdisk90, Disk size: 1048582, Disk partition: 2048, Disk location: 13-T1-01
hdisk91, Disk size: 1048582, Disk partition: 2048, Disk location: 13-T1-01
hdisk92, Disk size: 1048582, Disk partition: 2048, Disk location: 13-T1-01
hdisk93, Disk size: 1048582, Disk partition: 2048, Disk location: 13-T1-01
hdisk94, Disk size: 1048582, Disk partition: 2048, Disk location: 13-T1-01
hdisk95, Disk size: 1048582, Disk partition: 2048, Disk location: 13-T1-01
hdisk96, Disk size: 1048582, Disk partition: 2048, Disk location: 13-T1-01
hdisk97, Disk size: 1048582, Disk partition: 2048, Disk location: 13-T1-01
hdisk98, Disk size: 102405, Disk partition: 128, Disk location: 13-T1-01
hdisk99, Disk size: 212992, Disk partition: 256, Disk location: 13-T1-01
hdisk100, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk101, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk102, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk103, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk104, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk105, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk106, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk107, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk108, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk109, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk110, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk111, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk112, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk113, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk114, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk115, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
hdisk116, Disk size: 524295, Disk partition: 1024, Disk location: 13-T1-01
