==== This output can be found in Systems/dx979/os/errpt-d_H.txt ====
==== START errpt -d H Tue Jul  7 00:29:08 GST 2015 ====
IDENTIFIER TIMESTAMP  T C RESOURCE_NAME  DESCRIPTION
2F3E09A4   0517091415 I H fscsi0         REPAIR ACTION
2F3E09A4   0517091415 I H fscsi10        REPAIR ACTION
2F3E09A4   0517091415 I H fscsi14        REPAIR ACTION
2F3E09A4   0517091415 I H fscsi11        REPAIR ACTION
C6E26F3B   0508114615 I H hdisk426       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk436       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk425       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk435       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk424       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk434       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk427       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508114615 I H hdisk437       BACK-UP PATH STATUS CHANGE
3767AAFF   0508104515 I H hdisk426       BACK-UP PATH INOPERATIVE
516A2BC4   0508104515 P H hdisk426       CONNECTION FAILURE
3767AAFF   0508104515 I H hdisk436       BACK-UP PATH INOPERATIVE
516A2BC4   0508104515 P H hdisk436       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk425       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk435       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk424       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk434       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk427       CONNECTION FAILURE
516A2BC4   0508104515 P H hdisk437       CONNECTION FAILURE
C62E1EB7   0508104515 P H hdisk424       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk435       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk425       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk434       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk427       DISK OPERATION ERROR
C62E1EB7   0508104515 P H hdisk437       DISK OPERATION ERROR
D5676F6F   0508104515 T H fscsi14        ATTACHED SCSI TARGET DEVICE ERROR
D5676F6F   0508104515 T H fscsi11        ATTACHED SCSI TARGET DEVICE ERROR
C6E26F3B   0508055115 I H hdisk439       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055115 I H hdisk409       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055115 I H hdisk408       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055115 I H hdisk438       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055115 I H hdisk410       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055115 I H hdisk441       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055115 I H hdisk411       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508055115 I H hdisk440       BACK-UP PATH STATUS CHANGE
3767AAFF   0508045115 I H hdisk439       BACK-UP PATH INOPERATIVE
516A2BC4   0508045115 P H hdisk439       CONNECTION FAILURE
3767AAFF   0508045115 I H hdisk409       BACK-UP PATH INOPERATIVE
516A2BC4   0508045115 P H hdisk409       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk408       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk438       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk410       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk411       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk441       CONNECTION FAILURE
516A2BC4   0508045115 P H hdisk440       CONNECTION FAILURE
C62E1EB7   0508045115 P H hdisk438       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk410       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk408       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk409       DISK OPERATION ERROR
C62E1EB7   0508045115 P H hdisk440       DISK OPERATION ERROR
D5676F6F   0508045115 T H fscsi10        ATTACHED SCSI TARGET DEVICE ERROR
D5676F6F   0508045115 T H fscsi0         ATTACHED SCSI TARGET DEVICE ERROR
C6E26F3B   0508044615 I H hdisk357       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk385       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk355       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk249       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk13        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk248       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk356       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk14        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk358       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk382       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk18        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk20        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk363       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk453       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk451       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk384       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk360       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk376       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk19        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk381       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk361       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk244       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk421       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk246       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk423       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk8         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk250       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk176       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk177       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk251       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk11        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk1         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk247       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk3         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk422       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk432       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk172       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk160       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk236       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk235       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk165       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk239       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk164       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk161       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508044615 I H hdisk238       BACK-UP PATH STATUS CHANGE
