==== This output can be found in Systems/dx979/os/iostat-^A.txt ====
==== START iostat -A Tue Jul  7 00:29:24 GST 2015 ====

System configuration: lcpu=48 drives=524 ent=6.00 paths=0 vdisks=10 maxserver=1440

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
      4.7  0.0   469     0    131072             2.3   1.0   94.4      2.3   0.3    5.1

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk449         0.0       0.0       0.0         26         0
hdisk36          2.0     304.0       0.7   3312553237  12211676
hdisk39          2.0     292.0       0.7   3181619937  12194192
hdisk38          2.2     379.7       0.8   4141288814  11655396
hdisk40          2.4     563.0       1.0   6146288750  11970088
hdisk41          2.1     342.1       0.8   3730555120  11800700
hdisk43          2.1     322.4       0.8   3513527468  12633160
hdisk42          1.9     256.4       0.7   2792600569  12081032
hdisk45          2.1     317.8       0.8   3463679251  12841064
hdisk44          2.0     283.3       0.7   3086615499  12542400
hdisk46          2.2     350.5       0.8   3821129678  12752228
hdisk47          2.0     292.5       0.8   3186470691  12668728
hdisk48          2.2     376.4       0.8   4104235729  12487552
hdisk49          2.3     426.4       0.9   4651045866  13212824
hdisk50          2.4     470.9       0.9   5138151888  12730380
hdisk51          2.0     310.4       0.7   3382278479  12479512
hdisk53          1.4      21.3       1.2   133762279  99064068
hdisk52          1.3      21.1       1.2   133894016  97243996
hdisk54          1.3      21.1       1.2   134927285  96352572
hdisk55          1.3      21.3       1.2   134587131  98142684
hdisk56          1.4      21.4       1.2   135975972  98466284
hdisk57          1.3      21.3       1.2   134675724  97870536

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk58          0.2      58.6       0.1   480880406  160563452
hdisk59          0.2      58.6       0.1   480314911  161058524
hdisk60          0.2      58.7       0.1   481289464  160630944
hdisk61          0.2      58.9       0.1   483681400  160719852
hdisk62          0.2      58.9       0.1   483544991  160213688
hdisk63          0.2      58.6       0.1   481055757  160442960
hdisk64          0.0       0.4       0.1     195807   3656040
hdisk65          0.0       0.3       0.0     152715   3158452
hdisk66          0.0       0.0       0.0      38820        12
hdisk67          0.0       0.0       0.0       1029     15468
hdisk69          0.2      20.5       0.2   111286945  113018704
hdisk68          0.2      20.5       0.2   111276808  112937876
hdisk321         0.0       2.0       0.0   10986351  11280692
hdisk320         0.0       2.0       0.0   10732746  11031984
hdisk322         0.0       0.0       0.0      77154         4
hdisk324         0.0       0.0       0.0        984         0
hdisk323         0.0       0.0       0.0        986         0
hdisk326         0.0       0.0       0.0       1009         0
hdisk325         0.0       0.0       0.0       1012         0
hdisk328         0.0       0.0       0.0        911     15508
hdisk327         0.0       0.0       0.0        979         0
hdisk330         0.0       0.0       0.0        982         0
hdisk448         0.0       0.0       0.0         26         0
hdisk25          0.0       0.0       0.0        778         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk329         0.0       0.0       0.0       1012         0
hdisk24          0.2       1.2       0.1      27779  12990040
hdisk29          0.0       8.4       0.0   91839688     15052
hdisk413         0.1       2.7       0.1   23131199   6394308
hdisk409         0.7      96.9       1.6   576138486  484146457
hdisk414         0.0       1.1       0.0   11762825    460024
hdisk412         0.0       1.1       0.0   12074440    131200
hdisk28          0.0       8.4       0.0   91861262         8
hdisk410         0.7      96.9       1.6   576320371  483163067
hdisk408         0.7      97.3       1.6   578036959  485769199
hdisk4           0.2       1.2       0.1     237163  12800292
hdisk27          0.0       0.2       0.0    1280031    581212
hdisk6           0.1       0.2       0.0    1884858    146116
hdisk73          2.0     292.8       0.7   3191156462  12049744
hdisk12          0.0       0.2       0.0    1222711    573296
hdisk5           0.0       0.0       0.0        903         0
hdisk74          2.4     563.3       1.0   6149866860  12127084
hdisk411         0.7      97.2       1.6   580391571  483237636
hdisk70          2.0     303.7       0.7   3309937901  12204548
hdisk75          2.1     341.8       0.8   3726505444  11878916
hdisk72          2.2     379.2       0.8   4136234624  11649844
hdisk26          0.1       0.1       0.0     534625    149368
hdisk37          2.1     318.0       0.7   3465990994  12219048
hdisk17          0.0       8.0       0.0   87884828     15108

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk71          2.1     317.5       0.7   3460768718  12258316
hdisk16          0.0       8.1       0.0   88075713         4
hdisk77          2.1     322.2       0.8   3511256353  12794940
hdisk83          2.3     427.6       0.9   4664149255  13279172
hdisk85          2.0     310.5       0.7   3383538879  12488640
hdisk84          2.4     470.4       0.9   5132995252  12727692
hdisk82          2.2     375.7       0.8   4097457448  12553972
hdisk76          1.9     256.6       0.7   2794793070  12201020
hdisk86          1.3      21.1       1.2   133627787  97152048
hdisk79          2.1     317.6       0.8   3461491609  12763388
hdisk80          2.2     350.2       0.8   3818417806  12716380
hdisk81          2.0     292.7       0.8   3188609178  12703536
hdisk87          1.4      21.3       1.2   133925032  98945268
hdisk90          1.4      21.4       1.2   135315478  98281952
hdisk91          1.3      21.2       1.2   134042373  97630348
hdisk88          1.4      21.1       1.2   134779886  96229416
hdisk93          0.2      58.7       0.1   481488353  160222888
hdisk92          0.2      58.6       0.1   481292350  160069496
hdisk89          1.3      21.2       1.2   133602013  97943664
hdisk94          0.2      58.7       0.1   482047733  160035156
hdisk96          0.2      58.9       0.1   484660860  159797912
hdisk95          0.2      59.0       0.1   484696935  160195544
hdisk101         0.0       0.0       0.0        911     15552
hdisk98          0.0       0.4       0.1     204128   3675068

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk97          0.2      58.7       0.1   481662036  160416132
hdisk103         0.2      20.4       0.2   110716690  112809864
hdisk331         0.0       2.0       0.0   10774929  11067776
