==== This output can be found in Systems/dx979/os/lsdev-^C.txt ====
==== START lsdev -C Tue Jul  7 00:29:34 GST 2015 ====
L2cache0       Available             L2 Cache
R1_arch1lv     Defined               Logical volume
R1_arch2lv     Defined               Logical volume
R1_ctrl1lv     Defined               Logical volume
R1_ctrl2lv     Defined               Logical volume
R1_ctrl3lv     Defined               Logical volume
R1_data1lv     Defined               Logical volume
R1_flashlv     Defined               Logical volume
R1_indx1lv     Defined               Logical volume
R1_redo1lv     Defined               Logical volume
R1_redo2lv     Defined               Logical volume
R1_templv      Defined               Logical volume
R5_baselv      Defined               Logical volume
R5_explv       Defined               Logical volume
R5_gglv        Defined               Logical volume
R5_stagelv     Defined               Logical volume
R5_syslv       Defined               Logical volume
R5_undolv      Defined               Logical volume
R6_bkplv       Defined               Logical volume
arch1vg        Defined               Volume group
bctlv          Available             Logical volume
bctvg          Available             Volume group
bkp1vg         Defined               Volume group
caalv_private1 Defined               Logical volume
caalv_private2 Defined               Logical volume
caalv_private3 Defined               Logical volume
caavg_private  Defined               Volume group
cluster0       Available             Cluster Node
ctrl1vg        Defined               Volume group
data1vg        Defined               Volume group
en0            Available             Standard Ethernet Network Interface
en1            Available             Standard Ethernet Network Interface
en2            Defined               Standard Ethernet Network Interface
en3            Available             Standard Ethernet Network Interface
ent0           Available             Virtual I/O Ethernet Adapter (l-lan)
ent1           Available             Virtual I/O Ethernet Adapter (l-lan)
ent2           Available             Virtual I/O Ethernet Adapter (l-lan)
ent3           Available             Virtual I/O Ethernet Adapter (l-lan)
et0            Defined               IEEE 802.3 Ethernet Network Interface
et1            Defined               IEEE 802.3 Ethernet Network Interface
et2            Defined               IEEE 802.3 Ethernet Network Interface
et3            Defined               IEEE 802.3 Ethernet Network Interface
exp1vg         Defined               Volume group
fcs0           Available 28-T1       Virtual Fibre Channel Client Adapter
fcs8           Available 21-T1       Virtual Fibre Channel Client Adapter
fcs9           Available 22-T1       Virtual Fibre Channel Client Adapter
fcs10          Available 23-T1       Virtual Fibre Channel Client Adapter
fcs11          Available 24-T1       Virtual Fibre Channel Client Adapter
fcs12          Available 25-T1       Virtual Fibre Channel Client Adapter
fcs13          Available 26-T1       Virtual Fibre Channel Client Adapter
fcs14          Available 27-T1       Virtual Fibre Channel Client Adapter
flash1vg       Defined               Volume group
fscsi0         Available 28-T1-01    FC SCSI I/O Controller Protocol Device
fscsi8         Available 21-T1-01    FC SCSI I/O Controller Protocol Device
fscsi9         Available 22-T1-01    FC SCSI I/O Controller Protocol Device
fscsi10        Available 23-T1-01    FC SCSI I/O Controller Protocol Device
fscsi11        Available 24-T1-01    FC SCSI I/O Controller Protocol Device
fscsi12        Available 25-T1-01    FC SCSI I/O Controller Protocol Device
fscsi13        Available 26-T1-01    FC SCSI I/O Controller Protocol Device
fscsi14        Available 27-T1-01    FC SCSI I/O Controller Protocol Device
gg1vg          Defined               Volume group
hd1            Defined               Logical volume
hd2            Defined               Logical volume
hd3            Defined               Logical volume
hd4            Defined               Logical volume
hd5            Defined               Logical volume
hd6            Defined               Logical volume
hd8            Defined               Logical volume
hd10opt        Defined               Logical volume
hd11admin      Defined               Logical volume
hd9var         Defined               Logical volume
hdisk0         Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk1         Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk2         Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk3         Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk4         Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk5         Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk6         Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk7         Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk8         Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk9         Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk10        Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk11        Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk12        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk13        Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk14        Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk15        Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk16        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk17        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk18        Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk19        Available 24-T1-01    EMC Symmetrix FCP VRAID
hdisk20        Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk21        Available 27-T1-01    EMC Symmetrix FCP VRAID
hdisk22        Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk23        Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk24        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk25        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk26        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk27        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk28        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk29        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk30        Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk31        Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk32        Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk33        Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk34        Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk35        Available 28-T1-01    EMC Symmetrix FCP VRAID
hdisk36        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk37        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk38        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk39        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk40        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk41        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk42        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk43        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk44        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk45        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk46        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk47        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk48        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk49        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk50        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk51        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk52        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk53        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk54        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk55        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk56        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk57        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk58        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk59        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk60        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk61        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk62        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk63        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk64        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk65        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk66        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk67        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk68        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk69        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk70        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk71        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk72        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk73        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk74        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk75        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk76        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk77        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk78        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk79        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk80        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk81        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk82        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk83        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk84        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk85        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk86        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk87        Available 23-T1-01    EMC Symmetrix FCP VRAID
hdisk88        Available 23-T1-01    EMC Symmetrix FCP VRAID
