==== This output can be found in Systems/dx979/perf/mpstat-d.txt ====
==== START mpstat -d Tue Jul  7 00:32:42 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0 6762813400 2195011512      1      1    421 73707528 59400966  95.7   0.2   0.0   2.1   0.0   2.0 10412689 1513071084  81.8  18.2   0.0     0
  1 81061347 35978468      0      0      0  73714  13142  82.2  17.2   0.0   0.4   0.0   0.1 2324085 620873253  91.0   9.0   0.0     0
  2 6002197 4561328      0      0      0    156    123  19.6  78.5   0.0   2.0   0.0   0.0 685208 584261476  92.1   7.9   0.0     0
  3 5964829 4627228      0      0      0    158    131  20.7  77.3   0.0   2.0   0.0   0.0 654320 577831833  92.1   7.9   0.0     0
  4 1188113753 248531601      1      1      0 31307040 5089663  85.4   0.2   0.0  11.3   0.0   3.0 12548609 394997076  83.8  16.2   0.0     0
  5 32285165 6965465      0      0      0  66829  11857  82.0  16.8   0.0   0.9   0.0   0.2 3878629 158225338  95.1   4.9   0.0     0
  6 1371489 501654      0      0      0    177     65  54.4  36.4   0.0   9.2   0.0   0.0 2299799 138019407  94.6   5.4   0.0     0
  7 1327510 498143      0      0      0    166    109  54.1  36.9   0.0   9.0   0.0   0.0 2265906 135813462  94.8   5.2   0.0     0
  8 586858869 86373062      0      0      0 17645779 2615308  81.8   0.2   0.0  14.6   0.0   3.4 12974684 278648250  81.3  18.7   0.0     0
  9 19220835 2448109      0      0      0  62153  11332  81.2  16.9   0.0   1.5   0.0   0.4 5487539 87387808  92.6   7.4   0.0     0
 10 1218281 356077      0      0      0    218     83  59.9  29.5   0.0  10.6   0.0   0.0 2633972 74632841  94.4   5.6   0.0     0
 11 1183669 355986      0      0      0    168     94  59.7  29.9   0.0  10.4   0.0   0.0 2600728 73291364  94.5   5.5   0.0     0
 12 3163437883 742314640      1      2      0 51316790 95247812  93.5   0.4   0.0   1.5   0.0   4.6 8286153 1228004686  77.6  22.4   0.0     0
 13 126453960 38041555      0      0      0  12481  18538  85.5  14.3   0.0   0.2   0.0   0.0 3342491 497612924  91.3   8.7   0.0     0
 14 5033029 2379845      0      0      0     60   2940  59.6  38.6   0.0   1.7   0.0   0.1 959068 428791097  87.7  12.3   0.0     0
 15 4988363 2363416      0      0      0     89   3047  60.0  38.2   0.0   1.7   0.0   0.1 923156 422874027  87.7  12.3   0.0     0
 16 374072344 48632366      0      0      0 12339574 1843953  79.6   0.2   0.0  16.3   0.0   3.8 12884823 194425498  80.0  20.0   0.0     0
 17 14977230 1648761      0      0      0  58415  10569  80.6  17.0   0.0   1.9   0.0   0.5 4207743 57839082  91.4   8.6   0.0     0
 18 1170884 337754      0      0      0    172     93  60.1  29.7   0.0  10.2   0.0   0.0 2670595 48153277  94.5   5.5   0.0     0
 19 1180689 339034      0      0      0    152     57  60.4  29.1   0.0  10.5   0.0   0.0 2639496 47234565  94.5   5.5   0.0     0
 20 562049778 71367202      0      0      0 9145200 27267351  85.4   0.4   0.0   7.8   0.0   6.5 10554148 374687354  85.6  14.4   0.0     0
 21 43546096 5774697      0      0      0  11838  18400  88.3  11.2   0.0   0.5   0.0   0.1 4868844 131603180  95.2   4.8   0.0     0
 22 2266225 550803      0      0      0     49   2727  75.5  20.8   0.0   3.6   0.0   0.1 2518392 102840968  85.6  14.4   0.0     0
 23 2262065 550418      0      0      0     57   2837  75.8  20.5   0.0   3.6   0.0   0.1 2476531 100782660  85.7  14.3   0.0     0
 24 182484144 23688824      0      0      0 7065499 941549  74.9   0.4   0.0  20.3   0.0   4.5 11400079 85619814  76.8  23.2   0.0     0
 25 12546417 1327140      0      0      0  59912  11062  80.2  16.9   0.0   2.3   0.0   0.6 4304619 31631159  90.5   9.5   0.0     0
 26 1178942 335371      0      0      0    150    146  60.4  29.4   0.0  10.2   0.0   0.0 2808217 23972189  94.3   5.7   0.0     0
 27 1163187 335322      0      0      0    157     88  60.1  29.3   0.0  10.5   0.0   0.0 2781505 23415258  94.3   5.7   0.0     0
 28 343014502 31935868      0      0      0 4247217 19305094  85.1   0.3   0.0   7.7   0.0   6.9 10553742 279853357  86.4  13.6   0.0     0
 29 31867489 3286664      0      0      0  10274  17593  89.3  10.0   0.0   0.6   0.0   0.1 5010668 86988924  95.2   4.8   0.0     0
 30 2104556 460404      0      0      0     46   2780  76.8  19.3   0.0   3.7   0.0   0.1 2695047 65108652  84.9  15.1   0.0     0
 31 2037537 452356      0      0      0     38   2736  76.6  19.4   0.0   3.9   0.0   0.1 2651934 63710764  84.5  15.5   0.0     0
 32 113158859 14786183      0      0      0 4768138 636996  72.3   0.5   0.0  22.3   0.0   5.0 10495344 50417467  74.4  25.6   0.0     0
 33 10772511 1145861      0      0      0  57619  10642  79.9  16.8   0.0   2.6   0.0   0.6 4260582 21225480  90.1   9.9   0.0     0
 34 1152505 334285      0      0      0    152     63  60.1  30.0   0.0   9.9   0.0   0.0 2852689 14930175  94.3   5.7   0.0     0
 35 1161466 336968      0      0      0    172     31  60.0  29.4   0.0  10.6   0.0   0.0 2823412 14557975  94.3   5.7   0.0     0
 36 1332573561 152694537      0      0      0 15380559 72097496  92.3   1.2   0.0   0.0   0.0   6.5 4047812 1082328268  79.9  20.1   0.0     0
 37 201949520 23250290      0      0      0    548 139407  89.2  10.8   0.0   0.0   0.0   0.1 3640937 460550135  88.6  11.4   0.0     0
 38 30995014 2992487      0      0      0      0 126815  90.4   9.2   0.0   0.0   0.0   0.4 1631556 359258567  94.6   5.4   0.0     0
 39 30324460 2753879      0      0      0      1 126820  90.6   9.0   0.0   0.0   0.0   0.4 1526133 353786071  94.4   5.6   0.0     0
 40 190601321 17655461      0      0      0 2385426 12639121  83.4   0.3   0.0   8.3   0.0   8.0 8982590 148323775  85.3  14.7   0.0     0
 41 24734418 2276129      0      0      0   9195  17100  89.8   9.3   0.0   0.7   0.0   0.1 4970967 52326180  95.2   4.8   0.0     0
 42 1961806 431711      0      0      0     56   2931  76.6  19.3   0.0   3.9   0.0   0.2 2752203 35410183  84.2  15.8   0.0     0
 43 1918635 429973      0      0      0     88   2795  76.4  19.3   0.0   4.1   0.0   0.2 2720740 34553528  84.0  16.0   0.0     0
 44 79633997 10612185      0      0      0 3484076 464746  71.0   0.6   0.0  23.1   0.0   5.2 7450291 677661772  73.5  26.5   0.0     0
 45 9479622 1045637      0      0      0  55336   9943  79.5  17.0   0.0   2.8   0.0   0.7 4069133 15623952  89.8  10.2   0.0     0
 46 1148513 333938      0      0      0    242     67  60.3  29.9   0.0   9.7   0.0   0.0 2792360 10425203  94.4   5.6   0.0     0
 47 1178007 338431      0      0      0    225     76  60.5  29.2   0.0  10.3   0.0   0.0 2766182 10169057  94.4   5.6   0.0     0
ALL 15598000879 3793749028      3      4    421 233274089 298117294  91.5   1.0   0.0   4.1   0.0   3.4 225086350 12273750415  81.5  18.5   0.0     0
==== EXITED with rc 0 ====
==== END mpstat -d Tue Jul  7 00:32:42 GST 2015 ====
