==== This output can be found in Systems/dx979/perf/mpstat-d_5_2.txt ====
==== START mpstat -d 5 2 Tue Jul  7 00:32:42 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0   1071    395      1      2      0     34     11  96.3   0.0   0.0   3.1   0.0   0.6      0    148  95.8   4.2   0.0     0
  1      0      0      0      0      0      0      0     -     -     -     -     -     -      0    184     -     -     -     0
  2      0      0      0      0      0      0      0     -     -     -     -     -     -      0    246     -     -     -     0
  3      0      0      0      0      0      0      0     -     -     -     -     -     -      0    182     -     -     -     0
  4   1074    389      1      3      0     44     17  96.1   0.0   0.0   3.0   0.0   0.9      0    184  95.5   4.5   0.0     0
  5      0      0      0      0      0      0      0     -     -     -     -     -     -      0    184     -     -     -     0
  6      0      0      0      0      0      0      0     -     -     -     -     -     -      0    183     -     -     -     0
  7      0      0      0      0      0      0      0     -     -     -     -     -     -      0    182     -     -     -     0
  8      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
  9      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 10      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 11      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 12    797     58      0      0      0      0    136  97.9   0.0   0.0   0.0   0.0   2.1      0    771  89.7  10.3   0.0     0
 13      0      0      0      0      0      0      0     -     -     -     -     -     -      0    182     -     -     -     0
 14      0      0      0      0      0      0      0     -     -     -     -     -     -      0    181     -     -     -     0
 15      0      0      0      0      0      0      0     -     -     -     -     -     -      0    179     -     -     -     0
 16      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 17      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 18      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 19      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 20      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
 21      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 22      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 23      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 24      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 25      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 26      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 27      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 28      0      0      0      0      0      0      0     -     -     -     -     -     -      1      0     -     -     -     0
