==== This output can be found in Systems/dx979/perf/mpstat-i.txt ====
==== START mpstat -i Tue Jul  7 00:32:52 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu   mpcs   mpcr    dev   soft    dec     ph
  0 75709889 334044 612323336 127629647 1523720506 77889332
  1 436341 1719573 565606930 2474308 55684988 5362151
  2  20006 1728388 557992740 2210734 25840303 2164127
  3  19377 1728401 552642973 2054986 24541149 2011713
  4 3274608 1659364 170375976 2618453 186398114 33021059
  5   2552 1728408 134864583 1275070 21462752 3585898
  6   2648 1728403 132102009 1169589 7796806 917618
  7   2546 1728403 130004689 1102819 7680677 870899
  8 208318 1724378 101346713 1388762 105185326 21240368
  9   1197 1728414 72594319 874174 14682659 2559562
 10   1147 1728403 70784121 794935 6300804 630731
 11   1142 1728403 69474062 742257 6276945 598969
 12 549550 1718353 474979484 22433665 613827732 53090183
 13  42191 1727831 415844317 2108713 74492239 8551164
 14  12459 1728408 409479842 1998117 19191046 1987600
 15  12330 1728404 404329714 1880068 18206650 1870757
 16  64196 1727266 66214558 924088 66327727 15423392
 17    631 1728403 46586270 636484 8902542 1996142
 18    612 1728403 45404745 594036 5285841 506357
 19    599 1728403 44483988 543912 5268108 481230
 20   2899 1728613 124228669 1594678 101816236 20215423
 21   1870 1728405 99329653 1051975 19702381 5029707
 22   1815 1728403 96894742 989717 7699684 926475
 23   1750 1728403 94942759 932935 7535772 867247
 24  68062 1727023 28972195 579541 21770820 10240306
 25    277 1728404 23192616 458132 6651535 1618023
 26    215 1728403 22504130 422824 4168436 390753
 27    232 1728403 21961903 391057 4158652 373749
 28   2023 1728504 89983187 1056685 76236341 13906161
 29   1007 1728404 62072297 758843 13151234 3932949
 30    980 1728403 60460520 730115 6664427 710222
 31   1022 1728403 59154736 684787 6554917 665949
 32    219 1728457 17248015 422369 12359550 7482978
 33    131 1728403 14345059 364882 5698643 1383564
 34    137 1728403 13881732 327549 3831753 336417
 35    106 1728403 13517185 309660 3817696 320187
 36 744780 1714032 399964999 13301891 351328954 30571290
 37  10935 1728842 324520094 2450575 92747405 15410049
 38  10472 1728535 317054557 1867435 31511410 4590563
 39  10562 1728461 312126197 1818531 29776579 4115557
 40    641 1728461 39778673 712276 34942553 9425822
 41    498 1728403 33333277 558571 9250275 3141581
 42    449 1728403 32358927 523453 5146680 558739
 43    483 1728403 31578586 493461 5077282 527518
 44  63936 1727556 612921792 3094189 47086256 7508194
 45 169292 1724806 9892978 284388 5130036 1227989
 46     93 1728403 9557367 259918 3673293 298921
 47     84 1728403 9295631 241860 3658344 282557
ALL 81457309 81456198 8052507845 212137114 3718220058 380818142
==== EXITED with rc 0 ====
==== END mpstat -i Tue Jul  7 00:32:52 GST 2015 ====
