==== This output can be found in Systems/dx979/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Tue Jul  7 00:32:32 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 4265    0    0  517  911  312    1  201  99 500317 68 32  0  0 0.55  0.0  221
  1    0    0    0  161    0    0    0    0   -    0  0  2  0 98 0.10  0.0  161
  2    0    0    0  174    0    0    0    0   -    0  0  2  0 98 0.10  0.0  173
  3    0    0    0  160    0    0    0    0   -    0  0  2  0 98 0.10  0.0  160
  4 3437    1    0  306  925  336    1  196  99 345559 69 30  0  0 0.54  0.0  174
  5    0    0    0  161    0    0    0    0   -    0  0  2  0 98 0.10  0.0  161
  6    0    0    0  160    0    0    0    0   -    0  0  2  0 98 0.10  0.0  160
  7    0    0    0  160    0    0    0    0   -    0  0  2  0 98 0.10  0.0  160
  8  422    0    0   86  101    5    0   28  99 43444 71 28  0  0 0.08  0.0  132
  9    0    0    0   24    0    0    0    0   -    0  0  2  0 98 0.02  0.0   23
 10    0    0    0   22    0    0    0    0   -    0  0  2  0 98 0.02  0.0   23
 11    0    0    0   22    0    0    0    0   -    0  0  2  0 98 0.02  0.0   23
 12 4587    1    0  496  783   79    0  102  97 12196 59 38  0  3 0.15  0.0  707
 13    0    0    0  160    0    0    0    0   -    0  0  8  0 92 0.03  0.0  160
 14    0    0    0  158    0    0    0    0   -    0  0  7  0 93 0.03  0.0  158
 15    0    0    0  156    0    0    0    0   -    0  0  7  0 93 0.03  0.0  156
 16   84    0    0   17    0    0    0    4  82 5522 58 41  0  1 0.02  0.0   11
 17    0    0    0    9    0    0    0    0   -    0  0  3  0 97 0.00  0.0    9
 18    0    0    0    9    0    0    0    0   -    0  0  3  0 97 0.00  0.0    9
 19    0    0    0    9    0    0    0    0   -    0  0  3  0 97 0.00  0.0    9
 20  105    0    0   16    6    0    0    2  94   81 34 54  1 12 0.00  0.0   17
 21    0    0    0    9    0    0    0    0   -    0  0 21  0 79 0.00  0.0    9
 22    0    0    0    9    0    0    0    0   -    0  0 27  0 73 0.00  0.0    9
 23    0    0    0    9    0    0    0    0   -    0  0 16  0 84 0.00  0.0    9
 24   14    0    0   17    8    0    1    3 100   89 81 19  0  0 0.02  0.0   14
 25    0    0    0    9    0    0    0    0   -    0  0  4  0 96 0.00  0.0    9
 26    0    0    0    9    0    0    0    0   -    0  0  3  0 97 0.00  0.0    9
 27    0    0    0    9    0    0    0    0   -    0  0  3  0 97 0.00  0.0    9
 28   90    0    0   13   12    0    0    3  98  109 48 43  0  9 0.00  0.0   24
 29    0    0    0    9    0    0    0    0   -    0  0 15  0 85 0.00  0.0    9
 30    0    0    0    9    0    0    0    0   -    0  0 14  0 86 0.00  0.0    9
 31    0    0    0    8    0    0    0    0   -    0  0 15  0 85 0.00  0.0    8
 32    0    0    0    0    0    0    0    0   -    0  0  6  0 94 0.00  0.0    0
 33    0    0    0    0    0    0    0    0   -    0  0  7  0 93 0.00  0.0    0
 34    0    0    0    0    0    0    0    0   -    0  0 13  0 87 0.00  0.0    0
 35    0    0    0    0    0    0    0    0   -    0  0 27  0 73 0.00  0.0    0
 36 1233    0    0  168   28    2    0   12  93 1393 50 44  0  6 0.03  0.0  176
 37    0    0    0   57    0    0    0    0 100    9  0 14  0 86 0.01  0.0   57
 38    0    0    0   48    0    0    0    0   -    0  0 11  0 89 0.01  0.0   48
 39    0    0    0   48    0    0    0    0   -    0  0 12  0 88 0.01  0.0   48
 40    0    0    0    1    0    0    0    0   -    0  0 52  0 48 0.00  0.0    1
 41    0    0    0    0    0    0    0    0   -    0  0  6  0 94 0.00  0.0    0
 42    0    0    0    0    0    0    0    0   -    0  0  7  0 93 0.00  0.0    0
 43    0    0    0    0    0    0    0    0   -    0  0  9  0 91 0.00  0.0    0
 44    0    0    0  169    0    0    0    0   -    0  0 85  0 15 0.00  0.0  169
 45    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 46    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
 47    0    0    0    0    0    0    0    0   -    0  0  0  0 100 0.00  0.0    0
ALL 14237    2    0 3584 2774  734    3  551   0 908719 43 21  0 36 2.21 36.8 3424
--------------------------------------------------------------------------------

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 3813    0    0  525 1314  648    2  172 100 398314 67 33  0  0 0.52  0.0  225
  1   21    0    0  176    0    0    0    2 100 8648  3  4  0 93 0.10  0.0  175
  2    0    0    0  174    0    0    0    1 100    0  0  2  0 98 0.10  0.0  173
  3    0    0    0  172    0    0    0    2 100    0  0  2  0 98 0.10  0.0  172
  4 3369    1    0  327 1095  388    2  186  99 348116 72 28  0  0 0.54  0.0  210
  5    0    0    0  175    0    0    0    1 100    0  0  2  0 98 0.10  0.0  175
  6    0    0    0  174    0    0    0    1 100    0  0  2  0 98 0.10  0.0  175
  7    0    0    0  174    0    0    0    1 100    0  0  2  0 98 0.10  0.0  174
  8  164    0    0   83   65    2    0    8  99 6739 44 51  2  3 0.01  0.0  136
  9    0    0    0    9    0    0    0    1 100    0  0  5  0 95 0.00  0.0    9
 10    0    0    0    7    0    0    0    1 100    0  0  4  0 96 0.00  0.0    8
 11    0    0    0    8    0    0    0    1 100    0  0  4  0 96 0.00  0.0    8
 12 2725    1    0  464  609   48    1   93  97 3994 67 29  0  3 0.11  0.0  646
 13    0    0    0  134    0    0    0    1 100    0  0  8  0 92 0.03  0.0  135
 14    0    0    0  133    0    0    0    1 100    0  0  7  0 93 0.03  0.0  133
