==== This output can be found in Systems/dx979/perf/sar-^P_ALL_5_3.txt ====
==== START sar -P ALL 5 3 Tue Jul  7 00:32:56 GST 2015 ====

AIX DX979 1 7 00F9ADA14C00    07/07/15

System configuration: lcpu=48 ent=6.00 mode=Uncapped 

00:32:56 cpu    %usr    %sys    %wio   %idle   physc   %entc
00:33:01  0       67      33       0       0    0.55     9.2
          1        0       2       0      98    0.10     1.7
          2        0       2       0      98    0.10     1.7
          3        0       2       0      98    0.10     1.7
          4       73      27       0       0    0.58     9.6
          5        0       2       0      98    0.11     1.8
          6        0       2       0      98    0.11     1.8
          7        0       2       0      98    0.11     1.8
          8       72      28       0       0    0.24     4.1
          9        0       2       0      98    0.05     0.8
          10        0       2       0      98    0.05     0.8
          11        0       2       0      98    0.05     0.8
          12       57      38       0       5    0.10     1.7
          13        0      11       0      89    0.03     0.4
          14        0      10       0      90    0.02     0.4
          15        0      10       0      90    0.03     0.4
          16        0      68       0      32    0.00     0.0
          17        0      31       0      69    0.00     0.0
          18        0      28       0      72    0.00     0.0
          19        0      25       0      75    0.00     0.0
          20        0      78       0      22    0.00     0.0
          21        0      32       0      68    0.00     0.0
          22        0      29       0      71    0.00     0.0
          23        0      25       0      75    0.00     0.0
          24        0      88       0      12    0.00     0.0
          25        0      51       0      49    0.00     0.0
          26        0      44       0      56    0.00     0.0
          27        0      37       0      63    0.00     0.0
          28        0      75       0      25    0.00     0.0
          29        0      32       0      68    0.00     0.0
          30        0      29       0      71    0.00     0.0
          31        0      25       0      75    0.00     0.0
          32        0      67       0      33    0.00     0.0
          33        0      58       0      42    0.00     0.0
          34        0      47       0      53    0.00     0.0
          35        0      43       0      57    0.00     0.0
          36       27      60       0      12    0.02     0.3
          37        0      16       0      84    0.01     0.1
          38        0      15       0      85    0.01     0.1
          39        0      14       0      86    0.01     0.1
          40        0      73       0      27    0.00     0.0
          41        0      51       0      49    0.00     0.0
          42        0      45       0      55    0.00     0.0
          43        0      39       0      61    0.00     0.0
          44        0      84       0      16    0.00     0.1
          45        0       1       0      99    0.00     0.0
          46        0       0       0     100    0.00     0.0
          47        0       0       0     100    0.00     0.0
          U        -       -       0      61    3.63    60.4
          -       17       8       0      75    2.37    39.6
00:33:06  0       71      29       0       0    0.60    10.0
          1        0       3       0      97    0.11     1.9
          2        0       2       0      98    0.11     1.9
          3        0       3       0      97    0.11     1.9
          4       66      34       0       0    0.60    10.0
          5        0       2       0      98    0.11     1.9
          6        0       2       0      98    0.11     1.9
          7        0       2       0      98    0.11     1.8
          8        0      23       0      77    0.00     0.0
          9        0      16       0      84    0.00     0.0
          10        0       3       0      97    0.00     0.0
          11        0       4       0      96    0.00     0.0
          12       65      31       0       3    0.15     2.5
          13        0      10       0      90    0.03     0.6
          14        0       9       0      91    0.03     0.6
          15        0       9       0      91    0.03     0.6
          16        0      25       0      75    0.00     0.0
          17        0       3       0      97    0.00     0.0
          18        0       4       0      96    0.00     0.0
          19        0       4       0      96    0.00     0.0
          20        0      45       0      55    0.00     0.0
          21        0       4       0      96    0.00     0.0
          22        0       4       0      96    0.00     0.0
          23        0       6       0      94    0.00     0.0
          24        0       9       0      91    0.00     0.0
          25        0      10       0      90    0.00     0.0
          26        0      12       0      88    0.00     0.0
          27        0      28       0      72    0.00     0.0
          28        0      39       0      61    0.00     0.0
          29        0       3       0      97    0.00     0.0
          30        0      54       0      46    0.00     0.0
          31        0       4       0      96    0.00     0.0
          32        0       9       0      91    0.00     0.0
          33        0      10       0      90    0.00     0.0
          34        0      18       0      82    0.00     0.0
          35        0      35       0      65    0.00     0.0
          36        0      72       0      28    0.00     0.0
          37        0       4       0      96    0.00     0.0
          38        0       1       0      99    0.00     0.0
          39        0       1       0      99    0.00     0.0
          40        0       8       0      92    0.00     0.0
          41        0      11       0      89    0.00     0.0
          42        0      14       0      86    0.00     0.0
          43        0      33       0      67    0.00     0.0
          44        0      84       0      16    0.00     0.1
          45        0       0       0     100    0.00     0.0
          46        0       0       0     100    0.00     0.0
          47        0       0       0     100    0.00     0.0
          U        -       -       0      65    3.87    64.5
          -       15       7       0      77    2.13    35.5
00:33:11  0       69      31       0       0    0.58     9.7
          1        0       3       0      97    0.11     1.8
          2        0       2       0      98    0.11     1.8
          3        0       2       0      98    0.11     1.8
          4       70      30       0       0    0.58     9.7
