==== This output can be found in Systems/dx980/os/ctctrl-q-c_all.txt ====
==== START ctctrl -q -c all Mon Jul  6 23:12:46 GST 2015 ====
---------------------------------------+-------+-------+-------+---------------
                                       | Have  |Mem Trc|Sys Trc| Buffer size
     Component name                    | alias | /level| /level| /Allocated
---------------------------------------+-------+-------+-------+---------------
acf                                    |  NO   |  ON/3 |  ON/3 |       2048/YES
     .nx                               |  NO   |  ON/3 |  ON/3 |       2048/YES
     .p11                              |  NO   |  ON/3 |  ON/3 |       2048/YES
aio                                    |  NO   | OFF/3 |  ON/3 |          0/ NO
cluster
     .ahafs                            |  NO   |  ON/3 |  ON/3 |    1048576/YES
     comm
          .disk                        |  NO   |  ON/3 |  ON/3 |    2097152/YES
          .net                         |  NO   |  ON/3 |  ON/3 |    2097152/YES
          .san                         |  NO   |  ON/3 |  ON/3 |    2097152/YES
     .config                           |  NO   |  ON/3 |  ON/3 |      65536/YES
     .link                             |  NO   |  ON/3 |  ON/3 |    2097152/YES
     .lock                             |  NO   |  ON/3 |  ON/3 |      65536/YES
dpcom                                  |  NO   |  ON/3 |  ON/3 |       6400/YES
efscsidd
     .fscsi10                          |  NO   |  ON/3 |  ON/3 |      64000/YES
          .500009740834D508            |  NO   | OFF/3 | OFF/3 |      32000/ NO
               .0                      |  NO   |  ON/3 |  ON/3 |       3200/YES
               .1000000000000          |  NO   |  ON/3 |  ON/3 |       3200/YES
               .10000000000000         |  NO   |  ON/3 |  ON/3 |       3200/YES
               .11000000000000         |  NO   |  ON/3 |  ON/3 |       3200/YES
               .12000000000000         |  NO   |  ON/3 |  ON/3 |       3200/YES
               .13000000000000         |  NO   |  ON/3 |  ON/3 |       3200/YES
               .14000000000000         |  NO   |  ON/3 |  ON/3 |       3200/YES
               .15000000000000         |  NO   |  ON/3 |  ON/3 |       3200/YES
               .16000000000000         |  NO   |  ON/3 |  ON/3 |       3200/YES
               .17000000000000         |  NO   |  ON/3 |  ON/3 |       3200/YES
               .18000000000000         |  NO   |  ON/3 |  ON/3 |       3200/YES
               .19000000000000         |  NO   |  ON/3 |  ON/3 |       3200/YES
               .1A000000000000         |  NO   |  ON/3 |  ON/3 |       3200/YES
               .1B000000000000         |  NO   |  ON/3 |  ON/3 |       3200/YES
               .1C000000000000         |  NO   |  ON/3 |  ON/3 |       3200/YES
               .1D000000000000         |  NO   |  ON/3 |  ON/3 |       3200/YES
