==== This output can be found in Systems/dx980/os/iostat-^A.txt ====
==== START iostat -A Mon Jul  6 23:13:03 GST 2015 ====

System configuration: lcpu=48 drives=524 ent=6.00 paths=0 vdisks=10 maxserver=1440

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
      0.0  0.0   790     0    131072             0.0   0.1   99.8      0.0   0.0    0.3

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk449         0.0       0.0       0.0         26         0
hdisk36          0.0       1.8       0.0   13452399      2512
hdisk37          0.0       1.3       0.0    9412833      6480
hdisk38          0.0       2.9       0.0   21038425      3632
hdisk39          0.0       1.5       0.0   11256951      3480
hdisk40          0.0       1.1       0.0    7836305      2744
hdisk41          0.0       1.3       0.0    9911093      1192
hdisk42          0.0       1.2       0.0    8775981      1360
hdisk43          0.0       1.4       0.0   10597865      2532
hdisk44          0.0       1.7       0.0   12815005      3504
hdisk45          0.0       1.4       0.0   10498593       512
hdisk46          0.0       1.7       0.0   12528517      1976
hdisk47          0.0       1.8       0.0   13543385      2488
hdisk48          0.0       2.2       0.0   16033089      1248
hdisk49          0.0       1.3       0.0    9613849       508
hdisk50          0.0       0.2       0.0    1151186     29780
hdisk51          0.0       0.0       0.0      55333     30564
hdisk52          0.0       0.0       0.0      54657     28984
hdisk53          0.0       0.0       0.0      52397     29448
hdisk54          0.0       0.0       0.0      57277     31128
hdisk55          0.0       0.0       0.0      56209     31896
hdisk56          0.0       0.0       0.0     277744     70576

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk57          0.0       0.0       0.0       1813     56340
hdisk28          0.0       0.6       0.1       7730   4717396
hdisk24          0.0       0.1       0.0     329052    115698
hdisk30          0.0       0.1       0.0     360932    146888
hdisk58          0.0       0.0       0.0       1837    124964
hdisk26          0.0       0.0       0.0     118521    108060
hdisk25          0.0       0.0       0.0     116521    123405
hdisk29          0.0       0.0       0.0        801         0
hdisk59          0.0       0.0       0.0       1801     97284
hdisk450         0.0       0.0       0.0         26         0
hdisk60          0.0       0.0       0.0       1801     58368
hdisk27          0.0       0.0       0.0     123678    113726
hdisk61          0.0       0.0       0.0       1813     34824
hdisk32          0.0       0.0       0.0       8614         8
hdisk63          0.0       0.0       0.0       1805        24
hdisk66          0.0       0.0       0.0     146142     29832
hdisk62          0.0       0.0       0.0     143368        12
hdisk31          0.0       0.0       0.0      34394       584
hdisk65          0.0       0.0       0.0       1817        12
hdisk64          0.0       0.0       0.0     144483         8
hdisk67          0.0       0.0       0.0       2029     34520
hdisk33          0.0       0.0       0.0        837        20
hdisk68          0.0       0.0       0.0     144223        20
hdisk69          0.0       0.0       0.0       1861         4

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk70          0.0       0.1       0.0     374522         8
hdisk72          0.0       0.0       0.0       1801         0
hdisk73          0.0       0.0       0.0       1801         0
hdisk74          0.0       0.0       0.0       1801         0
hdisk75          0.0       0.0       0.0       1801         0
hdisk71          0.0       0.0       0.0       1801         0
hdisk77          0.0       0.0       0.0       1313         0
hdisk76          0.0       0.0       0.0       1809        40
hdisk78          0.0       0.0       0.0       1801         0
hdisk79          0.0       0.0       0.0     178582       120
hdisk80          0.0       0.0       0.0       8309      5436
hdisk81          0.0       0.0       0.0       1857       356
hdisk5           0.0       0.0       0.0       1289         0
hdisk35          0.0       1.4       0.0   10196997      3984
hdisk6           0.0       0.1       0.0     387994    147294
hdisk4           0.0       0.6       0.1       4347   4684976
hdisk34          0.0       2.0       0.0   14646432      2252
hdisk17          0.0       0.0       0.0       1817        12
hdisk12          0.0       0.0       0.0     140118       772
hdisk16          0.0       0.0       0.0     145265         8
hdisk82          0.0       1.4       0.0   10037003      2188
hdisk87          0.0       1.5       0.0   11252722      3136
hdisk85          0.0       1.3       0.0    9206665      6112
hdisk88          0.0       1.0       0.0    7699667      2160

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk84          0.0       1.8       0.0   13524947      2792
hdisk89          0.0       1.4       0.0   10007529       856
hdisk86          0.0       2.9       0.0   21465631      3536
hdisk83          0.0       1.4       0.0   10448117      3400
hdisk90          0.0       1.2       0.0    8736553      1512
hdisk91          0.0       1.4       0.0   10518561      2140
hdisk95          0.0       1.8       0.0   13606205      2472
hdisk93          0.0       1.4       0.0   10243929       504
hdisk92          0.0       1.7       0.0   12856405      3432
hdisk94          0.0       1.7       0.0   12379681      2736
hdisk101         0.0       0.0       0.0      47949     29544
hdisk102         0.0       0.0       0.0      53925     29976
hdisk99          0.0       0.0       0.0      50409     30112
hdisk104         0.0       0.0       0.0      15249     87200
hdisk98          0.0       0.0       0.0      64819     29676
hdisk97          0.0       1.3       0.0    9825785       512
hdisk106         0.0       0.0       0.0        869    107556
hdisk96          0.0       2.2       0.0   15952541      1460
hdisk105         0.0       0.0       0.0        837     59416
hdisk108         0.0       0.0       0.0        825     62464
hdisk111         0.0       0.0       0.0        841        16
hdisk107         0.0       0.0       0.0        825     86076
hdisk100         0.0       0.0       0.0      52321     27544
hdisk103         0.0       0.0       0.0      52221     33472

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk112         0.0       0.0       0.0       8425         8
hdisk109         0.0       0.0       0.0        841     31764
hdisk110         0.0       0.0       0.0       9322         4
hdisk113         0.0       0.0       0.0        833        20
hdisk118         0.0       0.0       0.0      19626         8
hdisk120         0.0       0.0       0.0        825         0
hdisk114         0.0       0.0       0.0       8607     29276
hdisk119         0.0       0.0       0.0        825         0
hdisk116         0.0       0.0       0.0       9396        16
hdisk117         0.0       0.0       0.0        877         4
hdisk123         0.0       0.0       0.0        825         0
hdisk124         0.0       0.0       0.0        833        20
hdisk121         0.0       0.0       0.0        825         0
hdisk127         0.0       0.0       0.0      10980       140
hdisk125         0.0       0.0       0.0        895         0
hdisk128         0.0       0.0       0.0       6465      5568
hdisk115         0.0       0.0       0.0       1057     34204
hdisk129         0.0       0.0       0.0       1523       340
hdisk451         0.0       0.0       0.0         26         0
hdisk122         0.0       0.0       0.0        825         0
hdisk130         0.0       0.6       0.1       3703   4697296
hdisk126         0.0       0.0       0.0        825         0
hdisk132         0.0       0.1       0.0     367429    147599
hdisk131         0.0       0.0       0.0        898         0

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk133         0.0       0.0       0.0      54813       552
hdisk136         0.0       1.4       0.0   10067329      2656
hdisk135         0.0       0.0       0.0       1036        12
hdisk134         0.0       0.0       0.0      35421         4
hdisk137         0.0       1.4       0.0   10522357      3808
hdisk138         0.0       1.9       0.0   13651755      2956
hdisk140         0.0       2.9       0.0   21386082      2336
hdisk141         0.0       1.5       0.0   11350259      4172
hdisk145         0.0       1.4       0.0   10575701      3592
hdisk147         0.0       1.4       0.0   10338561       448
hdisk452         0.0       0.0       0.0         26         0
hdisk143         0.0       1.3       0.0    9892117       880
hdisk153         0.0       0.0       0.0      50149     30416
hdisk139         0.0       1.3       0.0    9310481      4768
hdisk149         0.0       1.9       0.0   13716661      3040
hdisk148         0.0       1.7       0.0   12635397      2336
hdisk142         0.0       1.1       0.0    7754391      2776
hdisk150         0.0       2.1       0.0   15793073      1500
hdisk152         0.0       0.0       0.0     104027     32008
hdisk144         0.0       1.2       0.0    8603929       992
hdisk146         0.0       1.7       0.0   12820805      3504
hdisk162         0.0       0.0       0.0        977     74752
hdisk159         0.0       0.0       0.0        989     79896
hdisk163         0.0       0.0       0.0        989     34832

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk151         0.0       1.3       0.0    9730137       640
hdisk164         0.0       0.0       0.0      27837         4
hdisk156         0.0       0.0       0.0      51809     31544
hdisk155         0.0       0.0       0.0      47409     29688
hdisk160         0.0       0.0       0.0       1034    120860
hdisk154         0.0       0.0       0.0      48365     29896
hdisk157         0.0       0.0       0.0      50465     32016
hdisk161         0.0       0.0       0.0        985    110596
hdisk158         0.0       0.0       0.0      52837     57376
hdisk166         0.0       0.0       0.0      27787         4
