==== This output can be found in Systems/dx980/perf/mpstat-i.txt ====
==== START mpstat -i Mon Jul  6 23:16:00 GST 2015 ====

System configuration: lcpu=48 ent=6.0 mode=Uncapped 

cpu   mpcs   mpcr    dev   soft    dec     ph
  0  79386 176641 9583839 133094721 540033144 11823894
  1  26034   1755 8930426  37040 21059836  66479
  2  26001   1755 8788146  36394 21029401  63387
  3  26005   1755 8671491  34748 21024039  60739
  4   1346   1757 160497   8732 4994038 242839
  5    849   1755  99899    277 4764380  19583
  6    819   1755  98168    176 1323024  11693
  7    805   1755  97402    182 1322244  10325
  8    593   1755  67357   3632 4857506 133343
  9    424   1755  33565     95 1317665   9097
 10    414   1755  33259     60 1313373   7643
 11    438   1755  33046     59 1313117   9219
 12    101   1755   7391    764 4756660  54830
 13     95   1755   6120    124 4745640  14163
 14     91   1755   5206     16 1303018  10402
 15     85   1755   5103     20 1302699   8616
 16  32357   1698 9606010 5271034 73013084 1324465
 17   9826   1755 983104   4044 5681737  31369
 18   9696   1755 962492   2491 2539345  16850
 19   9680   1755 942046   2323 2536620  17114
 20    107   1755   4187    336 4749004 125386
 21     89   1755   2879     90 1306703  10359
 22     83   1755   2994     12 1301619   7907
 23     85   1755   2818      7 1301900   9177
 24   1114   1754 175763   5092 4800233 140866
 25    803   1755 122059    266 4597190  16507
 26    773   1755 119933    228 1325650  12112
 27    773   1755 118919    221 1326289  11064
 28     55   1755   3892    193 4758276 124114
 29     48   1755   3458    144 4761130  18570
 30     50   1755   2507     10 1305564  11645
 31     47   1755   2376     11 1304634   8951
 32    461   1755  47865   1915 4638660  71181
 33    394   1755  32793     70 4572353  15821
 34    388   1755  32566     48 4565779  15316
 35    347   1755  31134     41 1312682  13935
 36     49   1755   3516    249 4753056 114280
 37     54   1755   3592    122 4748746  22874
 38     63   1755   3654     16 4743873  22276
 39     50   1755   2334     23 1302258  15218
 40     51   1755   5958    133 4567564  77437
 41     55   1755   5208     28 4561569  17191
 42     56   1755   4266     13 1302101  12305
 43     55   1755   4194     17 1302886   9405
 44  29646   1755 9609931  34701 37330255 190502
 45     50   1755   3011     85 4745052  20439
 46     53   1755   2099     10 1301542   9277
 47     53   1755   2005      3 1301838   7879
ALL 260897 259070 59470478 138541016 840118976 15068044
==== EXITED with rc 0 ====
==== END mpstat -i Mon Jul  6 23:16:00 GST 2015 ====
