==== This output can be found in Systems/dx980/perf/sar-^P_ALL_5_3.txt ====
==== START sar -P ALL 5 3 Mon Jul  6 23:16:03 GST 2015 ====

AIX DX980 1 7 00F92EEC4C00    07/06/15

System configuration: lcpu=48 ent=6.00 mode=Uncapped 

23:16:03 cpu    %usr    %sys    %wio   %idle   physc   %entc
23:16:09  0       56      44       0       0    0.21     3.5
          1        0       0       0     100    0.04     0.7
          2        0       0       0     100    0.04     0.7
          3        0       0       0     100    0.04     0.7
          4        0      60       0      40    0.00     0.0
          5        0      42       0      58    0.00     0.0
          6        0      30       0      70    0.00     0.0
          7        0      28       0      72    0.00     0.0
          8        0      59       0      41    0.00     0.0
          9        0      26       0      74    0.00     0.0
          10        0      22       0      78    0.00     0.0
          11        0      23       0      77    0.00     0.0
          12        0      42       0      58    0.00     0.0
          13        0      39       0      61    0.00     0.0
          14        0      34       0      66    0.00     0.0
          15        0      31       0      69    0.00     0.0
          16       63      37       0       0    0.38     6.3
          17        0       0       0     100    0.07     1.1
          18        0       0       0     100    0.07     1.1
          19        0       0       0     100    0.07     1.1
          20        0      55       0      45    0.00     0.0
          21        0      33       0      67    0.00     0.0
          22        0      30       0      70    0.00     0.0
          23        0      26       0      74    0.00     0.0
          24       67      33       0       0    0.22     3.7
          25        0       0       0     100    0.04     0.7
          26        0       0       0     100    0.06     0.9
          27        0       0       0     100    0.06     0.9
          28        0      46       0      54    0.00     0.0
          29        0      44       0      56    0.00     0.0
          30        0      34       0      66    0.00     0.0
          31        0      31       0      69    0.00     0.0
          32        0      56       0      44    0.00     0.0
          33        0      37       0      63    0.00     0.0
          34        0      35       0      65    0.00     0.0
          35        0      28       0      72    0.00     0.0
          36        0      41       0      59    0.00     0.0
          37        0      39       0      61    0.00     0.0
          38        0      45       0      55    0.00     0.0
          39        0      27       0      73    0.00     0.0
          40        0      46       0      54    0.00     0.0
          41        0      45       0      55    0.00     0.0
          42        0      32       0      68    0.00     0.0
          43        0      27       0      73    0.00     0.0
          44        0      52       0      48    0.00     0.0
          45        0       9       0      91    0.00     0.0
          46        0       3       0      97    0.00     0.0
          47        0       3       0      97    0.00     0.0
          U        -       -       0      80    4.71    78.5
          -        8       5       0      87    1.29    21.5
23:16:14  0       57      43       0       0    0.28     4.6
          1        0       0       0     100    0.05     0.9
          2        0       0       0     100    0.05     0.9
          3        0       0       0     100    0.05     0.9
          4        0      18       0      82    0.00     0.0
          5        0      40       0      60    0.00     0.0
          6        0       2       0      98    0.00     0.0
          7        0       2       0      98    0.00     0.0
          8        0      42       0      58    0.00     0.0
          9        0       3       0      97    0.00     0.0
          10        0       4       0      96    0.00     0.0
          11        0       5       0      95    0.00     0.0
          12        0      34       0      66    0.00     0.0
          13        0      29       0      71    0.00     0.0
          14        0       7       0      93    0.00     0.0
          15        0       9       0      91    0.00     0.0
          16       61      39       0       0    0.39     6.5
          17        0       0       0     100    0.07     1.2
          18        0       0       0     100    0.07     1.2
          19        0       0       0     100    0.07     1.2
          20        0      56       0      44    0.00     0.0
          21        0       4       0      96    0.00     0.0
          22        0       4       0      96    0.00     0.0
          23        0       5       0      95    0.00     0.0
          24        0      27       0      73    0.00     0.0
          25        0       7       0      93    0.00     0.0
          26        0       1       0      99    0.00     0.0
          27        0       1       0      99    0.00     0.0
          28        0      37       0      63    0.00     0.0
          29        0      41       0      59    0.00     0.0
          30        0       7       0      93    0.00     0.0
          31        0       9       0      91    0.00     0.0
          32        0      41       0      59    0.00     0.0
          33        0      32       0      68    0.00     0.0
          34        0      26       0      74    0.00     0.0
          35        0       8       0      92    0.00     0.0
          36        0      26       0      74    0.00     0.0
          37        0      23       0      77    0.00     0.0
          38        0      28       0      72    0.00     0.0
          39        0      13       0      87    0.00     0.0
          40        0      38       0      62    0.00     0.0
          41        0      35       0      65    0.00     0.0
          42        0       9       0      91    0.00     0.0
          43        0      11       0      89    0.00     0.0
          44        0      58       0      42    0.00     0.0
          45        0       2       0      98    0.00     0.0
          46        0       1       0      99    0.00     0.0
          47        0       1       0      99    0.00     0.0
          U        -       -       0      83    4.96    82.7
          -        7       5       0      89    1.04    17.3
23:16:19  0       56      44       0       0    0.25     4.2
          1        0       0       0     100    0.05     0.8
          2        0       0       0     100    0.05     0.8
          3        0       0       0     100    0.05     0.8
          4        0      36       0      64    0.00     0.0
          5        0      32       0      68    0.00     0.0
          6        0      17       0      83    0.00     0.0
          7        0      16       0      84    0.00     0.0
          8        0      46       0      54    0.00     0.0
          9        0      27       0      73    0.00     0.0
          10        0      24       0      76    0.00     0.0
          11        0      23       0      77    0.00     0.0
          12        0      43       0      57    0.00     0.0
          13        0      41       0      59    0.00     0.0
          14        0      31       0      69    0.00     0.0
          15        0      24       0      76    0.00     0.0
          16       63      37       0       0    0.42     7.0
          17        0       0       0     100    0.08     1.3
          18        0       0       0     100    0.08     1.3
          19        0       0       0     100    0.08     1.3
          20        0      52       0      48    0.00     0.0
          21        0      18       0      82    0.00     0.0
          22        0      17       0      83    0.00     0.0
          23        0      17       0      83    0.00     0.0
          24        0      37       0      63    0.00     0.0
          25        0      31       0      69    0.00     0.0
          26        0      17       0      83    0.00     0.0
          27        0      16       0      84    0.00     0.0
          28        0      46       0      54    0.00     0.0
          29        0      45       0      55    0.00     0.0
          30        0      34       0      66    0.00     0.0
          31        0      28       0      72    0.00     0.0
          32        0      42       0      58    0.00     0.0
          33        0      42       0      58    0.00     0.0
          34        0      36       0      64    0.00     0.0
          35        0      25       0      75    0.00     0.0
          36        0      41       0      59    0.00     0.0
          37        0      34       0      66    0.00     0.0
          38        0      33       0      67    0.00     0.0
          39        0      26       0      74    0.00     0.0
          40        0      51       0      49    0.00     0.0
          41        0      44       0      56    0.00     0.0
          42        0      33       0      67    0.00     0.0
          43        0      28       0      72    0.00     0.0
          44        0      55       0      45    0.00     0.0
          45        0       6       0      94    0.00     0.0
          46        0       2       0      98    0.00     0.0
          47        0       2       0      98    0.00     0.0
          U        -       -       0      86    4.96    82.7
          -        6       4       0      91    1.04    17.3

Average   0       56      44       0       0    0.25     4.1
          1        0       0       0     100    0.05     0.8
          2        0       0       0     100    0.05     0.8
          3        0       0       0     100    0.05     0.8
          4        0      39       0      61    0.00     0.0
          5        0      38       0      62    0.00     0.0
          6        0      16       0      84    0.00     0.0
          7        0      15       0      85    0.00     0.0
          8        0      53       0      47    0.00     0.0
          9        0      21       0      79    0.00     0.0
          10        0      19       0      81    0.00     0.0
          11        0      20       0      80    0.00     0.0
          12        0      41       0      59    0.00     0.0
          13        0      38       0      62    0.00     0.0
          14        0      28       0      72    0.00     0.0
          15        0      25       0      75    0.00     0.0
          16       62      38       0       0    0.40     6.6
          17        0       0       0     100    0.07     1.2
          18        0       0       0     100    0.07     1.2
          19        0       0       0     100    0.07     1.2
          20        0      54       0      46    0.00     0.0
          21        0      19       0      81    0.00     0.0
          22        0      18       0      82    0.00     0.0
          23        0      17       0      83    0.00     0.0
          24       67      33       0       0    0.08     1.3
          25        0       0       0     100    0.01     0.2
          26        0       0       0     100    0.02     0.3
          27        0       0       0     100    0.02     0.3
          28        0      45       0      55    0.00     0.0
          29        0      44       0      56    0.00     0.0
          30        0      29       0      71    0.00     0.0
          31        0      27       0      73    0.00     0.0
          32        0      48       0      52    0.00     0.0
          33        0      38       0      62    0.00     0.0
          34        0      33       0      67    0.00     0.0
          35        0      22       0      78    0.00     0.0
          36        0      38       0      62    0.00     0.0
          37        0      34       0      66    0.00     0.0
          38        0      37       0      63    0.00     0.0
          39        0      25       0      75    0.00     0.0
          40        0      47       0      53    0.00     0.0
          41        0      43       0      57    0.00     0.0
          42        0      28       0      72    0.00     0.0
          43        0      25       0      75    0.00     0.0
          44        0      55       0      45    0.00     0.0
          45        0       6       0      94    0.00     0.0
          46        0       2       0      98    0.00     0.0
          47        0       2       0      98    0.00     0.0
          U        -       -       0      83    4.88    81.4
          -        7       4       0      89    1.12    18.6
==== EXITED with rc 0 ====
==== END sar -P ALL 5 3 Mon Jul  6 23:16:19 GST 2015 ====
