==== This output can be found in Systems/dx986/os/iostat-^A.txt ====
==== START iostat -A Tue Jul  7 00:45:13 GST 2015 ====

System configuration: lcpu=32 drives=710 ent=3.60 paths=0 vdisks=10 maxserver=960

aio: avgc avfc maxgc maxfc maxreqs avg-cpu: % user % sys % idle % iowait physc % entc
     16.4  0.0   177     0    131072            11.9   4.7   80.2      3.2   0.9   25.3

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk647         0.1      54.0       0.1   393903860   4283036
hdisk640         0.0       0.0       0.0          8         0
hdisk652         0.1      53.4       0.1   389175335   4431856
hdisk649         0.1      52.5       0.1   382979499   4327976
hdisk643         0.1      51.8       0.1   377461626   4240436
hdisk654         0.1      54.0       0.1   393407903   4303776
hdisk655         0.1      53.9       0.1   393021728   4243896
hdisk645         0.1      53.6       0.1   390483168   4351088
hdisk657         0.1      55.4       0.1   403982929   4195796
hdisk1           0.2      18.3       2.4   49591429  85069040
hdisk675         0.0       0.0       0.0          8         0
hdisk660         2.0     105.3       7.1   457250117  318617696
hdisk656         0.1      52.7       0.1   384080350   4331240
hdisk661         2.0     106.0       7.2   454574755  326589872
hdisk662         2.0     107.1       7.3   454631609  334703136
hdisk665         2.0     106.4       7.3   456233467  328063924
hdisk663         2.0     105.9       7.2   453280669  327056740
hdisk653         0.1      53.0       0.1   386494999   4406688
hdisk659         2.0     105.9       7.2   458674369  321750040
hdisk664         2.0     105.9       7.2   453337827  327507004
hdisk658         0.1      54.0       0.1   393619278   4278928
hdisk668         0.1      42.1       0.1   234685931  75751284

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk650         0.1      53.3       0.1   388188729   4495248
hdisk666         2.0     107.3       7.3   461021788  329736328
hdisk642         0.1      52.7       0.1   384547067   4255392
hdisk669         0.1      42.1       0.1   234069589  76240176
hdisk667         0.1      42.2       0.1   235215637  76134812
hdisk671         0.1      41.7       0.1   230947249  76643392
hdisk670         0.1      41.5       0.1   229856450  76276456
hdisk672         0.1      42.1       0.1   233577497  76400780
hdisk644         0.1      51.7       0.1   376839738   4202584
hdisk673         0.1      42.4       0.1   236347664  76168812
hdisk7           0.0       0.0       0.0          0         0
hdisk674         0.1      42.5       0.1   236546210  76445840
hdisk641         0.1      52.4       0.1   381745266   4314796
hdisk646         0.1      53.9       0.1   393073888   4502388
hdisk648         0.1      52.8       0.1   384994806   4388556
hdisk780         0.6     185.6       1.7   688764670  679182632
hdisk651         0.1      52.2       0.1   380674000   4317372
hdisk781         0.6     185.6       1.7   688648222  679352916
hdisk782         0.0      20.7       0.1   99010393  53496724
hdisk783         0.0      20.6       0.1   98372230  53625072
hdisk784         0.0       0.0       0.0      25740      8156
hdisk786         0.0       2.4       0.0   17662747    240616
hdisk788         0.0       1.8       0.0   13188344    233608
hdisk677         0.1      57.1       0.1   416386034   4586396

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk789         0.1      62.1       0.3   152532044  305567730
hdisk676         0.1      56.7       0.1   413112097   4679676
hdisk681         0.1      58.4       0.1   426000343   4838360
hdisk785         0.0       0.0       0.0          4      6792
hdisk679         0.1      56.0       0.1   407991157   4589292
hdisk682         0.1      58.5       0.1   426608053   4603396
hdisk787         0.0       5.4       0.2   32448374   7556984
hdisk790         0.1      62.4       0.3   152902065  306918896
hdisk683         0.1      57.1       0.1   416410644   4758624
hdisk678         0.1      56.1       0.1   408849797   4575920
hdisk680         0.1      58.0       0.1   422522007   4724896
hdisk686         0.1      56.7       0.1   412971912   4646184
hdisk685         0.1      57.9       0.1   421730533   4864228
hdisk689         0.1      58.5       0.1   426803595   4683280
hdisk692         0.1      60.1       0.1   438712671   4516656
hdisk691         0.1      57.0       0.1   415763801   4671616
hdisk684         0.1      57.0       0.1   415669198   4664852
hdisk688         0.1      57.5       0.1   418927611   4733096
hdisk690         0.1      58.4       0.1   425544191   4613880
hdisk687         0.1      57.8       0.1   421435289   4793160
hdisk695         2.0     115.0       7.8   501498995  346344840
hdisk698         2.0     115.4       7.8   496027802  354873632
hdisk700         2.0     116.2       7.9   500722090  356022980
hdisk702         0.1      44.2       0.1   245387799  80163004

Disks:        % tm_act     Kbps      tps    Kb_read   Kb_wrtn
hdisk704         0.1      44.0       0.1   244952972  79416008
hdisk705         0.1      43.1       0.1   238986347  79089428
hdisk707         0.1      43.9       0.1   243596312  79894564
