==== This output can be found in Systems/dx986/os/lscfg.txt ====
==== START lscfg Tue Jul  7 00:45:13 GST 2015 ====
INSTALLED RESOURCE LIST

The following resources are installed on the machine.
+/- = Added or deleted from Resource List.
*   = Diagnostic support not available.
	
  Model Architecture: chrp
  Model Implementation: Multiple Processor, PCI bus
	
+ sys0                                                                              System Object
+ sysplanar0                                                                        System Planar
* vio0                                                                              Virtual I/O Bus
* vscsi9           U9179.MHD.212EECV-V33-C110-T1                                    Virtual SCSI Client Adapter
* vscsi8           U9179.MHD.212EECV-V33-C109-T1                                    Virtual SCSI Client Adapter
* vscsi7           U9179.MHD.212EECV-V33-C108-T1                                    Virtual SCSI Client Adapter
* vscsi6           U9179.MHD.212EECV-V33-C107-T1                                    Virtual SCSI Client Adapter
* vscsi5           U9179.MHD.212EECV-V33-C106-T1                                    Virtual SCSI Client Adapter
* vscsi4           U9179.MHD.212EECV-V33-C105-T1                                    Virtual SCSI Client Adapter
* vscsi3           U9179.MHD.212EECV-V33-C104-T1                                    Virtual SCSI Client Adapter
* vscsi2           U9179.MHD.212EECV-V33-C103-T1                                    Virtual SCSI Client Adapter
* vscsi1           U9179.MHD.212EECV-V33-C102-T1                                    Virtual SCSI Client Adapter
* vscsi0           U9179.MHD.212EECV-V33-C101-T1                                    Virtual SCSI Client Adapter
* ent3             U9179.MHD.212EECV-V33-C7-T1                                      Virtual I/O Ethernet Adapter (l-lan)
* ent2             U9179.MHD.212EECV-V33-C6-T1                                      Virtual I/O Ethernet Adapter (l-lan)
* ent1             U9179.MHD.212EECV-V33-C5-T1                                      Virtual I/O Ethernet Adapter (l-lan)
* ent0             U9179.MHD.212EECV-V33-C4-T1                                      Virtual I/O Ethernet Adapter (l-lan)
* vsa0             U9179.MHD.212EECV-V33-C0                                         LPAR Virtual Serial Adapter
* vty0             U9179.MHD.212EECV-V33-C0-L0                                      Asynchronous Terminal
+ fcs0             U9179.MHD.212EECV-V33-C301-T1                                    Virtual Fibre Channel Client Adapter
+ fscsi0           U9179.MHD.212EECV-V33-C301-T1                                    FC SCSI I/O Controller Protocol Device
* hdisk1           U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L0               EMC Symmetrix FCP VRAID
* hdisk7           U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L0               EMC Symmetrix FCP VRAID
* hdiskpower0      U9179.MHD.212EECV-V33-C301-T1-L3                                 PowerPath Device
* hdisk8           U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L1000000000000   EMC Symmetrix FCP VRAID
* hdisk9           U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L1000000000000   EMC Symmetrix FCP VRAID
* hdisk16          U9179.MHD.212EECV-V33-C301-T1-W50000974082D35E4-L2A000000000000  EMC Symmetrix FCP VRAID
* hdisk17          U9179.MHD.212EECV-V33-C301-T1-W50000974082D35DC-L2A000000000000  EMC Symmetrix FCP VRAID
* hdisk59          U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L2D000000000000  EMC Symmetrix FCP VRAID
* hdisk60          U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L2E000000000000  EMC Symmetrix FCP VRAID
* hdisk61          U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L2F000000000000  EMC Symmetrix FCP VRAID
* hdisk62          U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L30000000000000  EMC Symmetrix FCP VRAID
* hdisk63          U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L31000000000000  EMC Symmetrix FCP VRAID
* hdisk64          U9179.MHD.212EECV-V33-C301-T1-W500009740834D54C-L32000000000000  EMC Symmetrix FCP VRAID
* hdisk108         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L2D000000000000  EMC Symmetrix FCP VRAID
* hdisk109         U9179.MHD.212EECV-V33-C301-T1-W500009740834D574-L2E000000000000  EMC Symmetrix FCP VRAID
