==== This output can be found in Systems/dx986/perf/mpstat-a.txt ====
==== START mpstat -a Tue Jul  7 00:49:14 GST 2015 ====

System configuration: lcpu=32 ent=3.6 mode=Uncapped 

cpu    min    maj   mpcs   mpcr    dev   soft    dec     ph     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   sysc    us    sy    wa    id    pc   %ec   ilcs   vlcs S3hrd S4hrd S5hrd
cpu    min    maj   mpcs   mpcr    dev   soft    dec     ph     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   sysc    us    sy    wa    id    pc   %ec   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0 2275401788 39381106 105491526 1903408 1431715741 196143753 1602663410 309797650 10651398916 2490820134      1     11     66 107774486 74781564  95.6   0.3   0.0   2.4   0.0   1.7 24787818659  66.7  31.5   1.4   0.4  0.21   0.0      0 4093823191  79.6  20.4   0.0     0
  1 54019709 2662349 1068020 4828841 1195043024 3289326 175678733 31544361 301315706 127783767      0      0      0 146008  38875  87.1  12.7   0.0   0.2   0.0   0.1 580025181  15.9   8.7   4.1  71.3  0.05   0.0 10559837 1368785967  93.7   6.3   0.0     0
  2 1609145 305564 944671 4832546 1176952088 2906893 60921929 10541933 14300353 7088957      0      0      0   4492  35411  68.6  30.6   0.0   0.5   0.0   0.3 35317182   3.3   5.2   0.3  91.2  0.04   0.0 4412272 1237868053  93.8   6.2   0.0     0
  3 1610105 343461 146933 4858264 1163621963 2774285 59354173 9611074 14533841 6971127      0      0      0   4736  34788  69.6  29.6   0.0   0.5   0.0   0.3 33683991   2.7   5.1   0.4  91.8  0.04   0.0 3877042 1224640331  94.1   5.9   0.0     0
  4 341958765 21839812 19015781 4249910 409447529 1538815 264147462 125676832 2428571984 512105247      0      0      0 44792140 4724678  87.6   0.4   0.0   9.9   0.0   2.0 4522334143  66.6  31.6   1.3   0.5  0.06   0.0 28482993 1024558663  90.3   9.7   0.0     0
  5 12746593 1777239 170016 4856331 299355240 936079 74238165 22195255 108093572 24394891      0      0      0  79688   7059  83.3  16.3   0.0   0.4   0.0   0.1 170958964  32.6   8.9   6.2  52.2  0.02   0.0 13236765 374312402  96.7   3.3   0.0     0
  6 668611 267901  34372 4860746 294313241 849069 25470003 5785625 5614694 1644804      0      0      0   2713   5136  78.6  19.8   0.0   1.5   0.0   0.1 12037366   7.7   4.6   0.5  87.2  0.01   0.0 6051363 316654801  98.6   1.4   0.0     0
  7 632269 288486   8053 4861583 290227071 794778 25084319 5117305 5963073 1580207      0      0      0   2729   4979  80.0  18.4   0.0   1.4   0.0   0.1 11816471   6.2   4.5   0.6  88.7  0.01   0.0 5542394 313345613  98.7   1.3   0.0     0
  8 1262626297 40153238 1508468 4823458 1430945782 147034720 942811566 192792988 5226071679 1211358379      1      1      4 25951132 183506052  94.6   0.5   0.0   1.0   0.0   4.0 13185524787  69.2  27.8   2.2   0.8  0.13   0.0      0 3481292945  78.1  21.9   0.0     0
  9 55819871 2634616  44909 4862460 912737422 2563441 169194642 30485207 220504820 101057990      0      0      0   2252  46751  87.0  13.0   0.0   0.0   0.0   0.0 697112396  26.9   9.2   4.1  59.8  0.04   0.0 12050577 1061584224  89.5  10.5   0.0     0
 10 967791 182801  36059 4861605 896969430 2293368 48583731 8369180 9290469 5408464      0      0      0   1396  45699  61.1  37.9   0.0   0.5   0.0   0.5 24561406   4.0   6.5   0.5  89.0  0.03   0.0 3347688 944959986  88.5  11.5   0.0     0
 11 861239 190879  35389 4861605 885875605 2147582 46950884 7470231 9066330 5075202      0      0      0   1492  45899  60.7  38.3   0.0   0.5   0.0   0.5 22462698   3.0   6.5   0.5  90.1  0.03   0.0 2878907 933499955  88.3  11.7   0.0     0
 12 132761855 6524724 9100552 4568829 183903852 642810 132858403 63384848 820348568 123504697      0      0      0 15528069 1330396  85.4   0.3   0.0  12.2   0.0   2.1 1964348647  77.9  19.9   1.5   0.8  0.03   0.0 29369809 535068170  90.2   9.8   0.0     0
 13 3562791 527026 904414 4832567 123673301 321707 37088902 15124499 40273815 7379452      0      0      0  70793   2884  85.1  13.7   0.0   1.0   0.0   0.2 70431212  45.3   5.4   3.4  45.9  0.01   0.0 13891814 156680219  94.4   5.6   0.0     0
 14 580199 264610   3747 4861584 121437478 289293 19783808 4652441 5458319 1519127      0      0      0   1195   1929  81.5  17.3   0.0   1.2   0.0   0.1 10097863  14.7   3.8   0.9  80.6  0.01   0.0 7290913 135726148  99.0   1.0   0.0     0
 15 509954 282879  13075 4861284 119617273 268106 19476689 4219909 5647994 1435078      0      0      0   1077   1816  82.3  16.5   0.0   1.2   0.0   0.0 9907475  12.6   3.8   1.1  82.5  0.01   0.0 6924342 134472711  99.1   0.9   0.0     0
 16 211266897 12368827  32459 4862520 278736473 1110874 157695539 62542947 791679231 92140067      0      0      0 4300689 31648851  89.5   0.2   0.0   5.7   0.0   4.6 2531215413  75.1  20.6   2.8   1.5  0.04   0.0 23159458 789297492  96.9   3.1   0.0     0
 17 4319242 570073   7094 4861622 207725515 502431 46834968 16217279 34670556 10300224      0      0      0   1762   8701  88.0  11.7   0.0   0.3   0.0   0.0 89964272  46.9   5.5   2.6  45.0  0.01   0.0 13501892 245180956  96.1   3.9   0.0     0
 18 296529 129774   6794 4861594 203974445 450556 23257102 4454387 4886494 2140705      0      0      0   1399   7992  80.1  18.7   0.0   1.0   0.0   0.2 11023626  11.7   5.1   1.0  82.1  0.01   0.0 6167471 222198951  84.2  15.8   0.0     0
 19 338826 137847   6615 4861593 200944311 417137 22558340 3707357 4783130 1853852      0      0      0   1453   8041  79.9  18.9   0.0   1.0   0.0   0.2 9343435   8.8   5.1   1.2  84.9  0.01   0.0 5676845 219629980  84.0  16.0   0.0     0
 20 38247668 2878441 2677021 4775419 55643034 219591 58805488 38092677 290503935 52952860      0      0      0 6970984  93126  79.9   0.5   0.0  16.9   0.0   2.7 462171987  82.6  15.0   1.6   0.8  0.02   0.0 28749197 134849554  87.6  12.4   0.0     0
 21 2379337 390107 1493569 4813488 45417497 140980 27440877 13941257 31801884 6066900      0      0      0  59210    396  85.5  13.2   0.0   1.1   0.0   0.2 47868807  61.3   4.6   3.5  30.6  0.01   0.0 14422903 65354840  93.9   6.1   0.0     0
 22 427690 250757  10979 4861281 44606157 127998 15253788 4344700 5043489 1484184      0      0      0     62     13  81.2  18.0   0.0   0.8   0.0   0.0 7870465  25.5   3.0   1.4  70.1  0.00   0.0 8006463 52877484  99.3   0.7   0.0     0
 23 548207 266049   1437 4861589 43919611 118625 14881116 3577375 5385215 1387653      0      0      0     61     12  82.4  16.8   0.0   0.8   0.0   0.0 8320833  20.3   3.0   1.9  74.8  0.00   0.0 7381981 53267745  99.4   0.6   0.0     0
 24 82841506 4135331   8248 4862259 110442538 423115 78186920 32914438 299162721 24207333      0      0      0 225637 14870027  89.7   0.2   0.0   4.9   0.0   5.2 1012967747  79.2  14.8   3.7   2.3  0.02   0.0 22449051 342716103  99.3   0.7   0.0     0
 25 1961198 203778   2976 4861596 88978164 206805 29974909 13769911 21543428 6895157      0      0      0    543   3034  91.1   8.6   0.0   0.3   0.0   0.0 49055469  62.6   3.6   2.1  31.8  0.01   0.0 13949483 107104286  96.2   3.8   0.0     0
 26 286351 124134   2912 4861591 87347062 184290 17905817 3756363 4740081 2054481      0      0      0    386   2812  81.7  17.5   0.0   0.7   0.0   0.1 7907727  20.3   4.1   1.8  73.8  0.01   0.0 6915787 98846467  84.0  16.0   0.0     0
 27 278634 148958   2916 4861600 85926610 171510 17325423 3014920 4616778 1758192      0      0      0    465   2823  81.5  17.7   0.0   0.8   0.0   0.1 7658088  15.1   4.2   2.2  78.5  0.00   0.0 6482130 98029210  83.7  16.3   0.0     0
 28 17944060 1192083 6298108 4660207 1433328351 3861444 122149687 34456826 135626322 25853035      0      0      0 3607417  21209  78.5   1.0   0.0  17.3   0.0   3.2 215702235  66.1  27.8   1.4   4.7  0.02   0.0 17794301 1558656322  86.1  13.9   0.0     0
 29 2111593 378571 671749 4839993 27417306  80772 24179655 13142181 28755208 5736588      0      0      0  70104    336  85.7  12.7   0.0   1.3   0.0   0.2 42149278  50.7   3.3   2.7  43.4  0.01   0.0 15192284 43019113  93.4   6.6   0.0     0
 30 460508 246810 1428425 4815538 26981949  72121 14541201 4421264 5267045 1607129      0      0      0     19     15  81.6  17.6   0.0   0.7   0.0   0.0 8394170  20.6   1.6   1.1  76.6  0.01   0.0 8622074 33549204  99.3   0.7   0.0     0
 31 494810 271299    974 4861588 26630123  68419 14248044 3871065 5679986 1512740      0      0      0     10     15  83.0  16.3   0.0   0.7   0.0   0.0 8631142  17.2   1.7   1.4  79.8  0.01   0.0 8127701 34177433  99.4   0.6   0.0     0
