==== This output can be found in Systems/dx986/perf/sar-^P_ALL_5_3.txt ====
==== START sar -P ALL 5 3 Tue Jul  7 00:49:29 GST 2015 ====

AIX DX986 1 7 00F92EEC4C00    07/07/15

System configuration: lcpu=32 ent=3.60 mode=Uncapped 

00:49:29 cpu    %usr    %sys    %wio   %idle   physc   %entc
00:49:34  0       62      36       1       0    0.36    10.1
          1        0       3       0      97    0.07     2.0
          2        0       2       0      98    0.07     2.0
          3        0       2       0      98    0.07     2.0
          4       63      36       1       0    0.09     2.6
          5        0       3       0      97    0.07     2.0
          6        0       3       0      97    0.07     1.9
          7        0       3       0      97    0.07     1.9
          8       63      36       0       0    0.40    11.2
          9        3       4       0      92    0.08     2.2
          10        0       2       0      98    0.08     2.1
          11        0       2       0      98    0.08     2.1
          12        0      40       0      60    0.00     0.0
          13        0       0       0     100    0.00     0.0
          14        0       0       0     100    0.00     0.0
          15        0       0       0     100    0.00     0.0
          16       65      34       0       0    0.26     7.2
          17        0       2       0      98    0.07     2.0
          18        0       2       0      98    0.07     2.0
          19        0       2       0      98    0.07     2.0
          20        0      42       0      58    0.00     0.0
          21        0       5       0      95    0.00     0.0
          22        0       5       0      95    0.00     0.0
          23        0       5       0      95    0.00     0.0
          24       70      30       0       0    0.08     2.2
          25        0       1       0      99    0.03     0.8
          26        0       1       0      99    0.03     0.8
          27        0       1       0      99    0.03     0.8
          28        0      81       0      19    0.00     0.1
          29        0       0       0     100    0.00     0.1
          30        0       0       0     100    0.00     0.1
          31        0       0       0     100    0.00     0.1
          U        -       -       2      46    1.44    39.9
          -       21      12       2      65    2.16    60.1
00:49:39  0       62      36       1       0    0.38    10.6
          1        0       4       1      96    0.08     2.1
          2        0       3       0      97    0.08     2.1
          3        2       4       0      94    0.08     2.2
          4       86      13       1       1    0.03     0.9
          5        0       2       0      98    0.00     0.1
          6        0       2       0      98    0.00     0.1
          7        0       2       0      98    0.00     0.1
          8       62      38       0       0    0.53    14.8
          9        0       3       0      97    0.10     2.8
          10        0       3       0      97    0.10     2.7
          11        0       3       0      97    0.10     2.7
          12       51      44       2       3    0.01     0.3
          13        0       9       0      91    0.00     0.1
          14        0       8       0      92    0.00     0.1
          15        0       7       0      93    0.00     0.1
          16       55      39       0       6    0.01     0.4
          17        0       4       0      96    0.00     0.1
          18        0       4       0      96    0.00     0.1
          19        0       3       0      97    0.00     0.1
          20        0      47       0      53    0.00     0.0
          21        0      31       0      69    0.00     0.0
          22        0      29       0      71    0.00     0.0
          23        0      25       0      75    0.00     0.0
          24       47      46       0       7    0.01     0.2
          25        0      10       0      90    0.00     0.0
          26        0      10       0      90    0.00     0.0
          27        0       9       0      91    0.00     0.0
          28        0      81       0      19    0.00     0.1
          29        0       0       0     100    0.00     0.1
          30        0       0       0     100    0.00     0.1
          31        0       0       0     100    0.00     0.1
          U        -       -       1      74    2.05    56.9
          -       10       6       1      83    1.55    43.1
