==== This output can be found in Systems/dx987/network/netstat-m.txt ====
==== START netstat -m Tue Jul  7 00:01:08 GST 2015 ====

Kernel malloc statistics:

******* CPU 0 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                  392  13143380      0        11     376   63568       0
128                 210   2838866      0        97    2926   47676       0
256                 141   6091386      0       662   10451   95352       0
512                 437 112886405      0      1776   13779  198650       0
1024                378   6590611      0       176     330   47676       0
2048                 44   4143366      0      2071    4098  119190       0
4096                 10    330210      0        24       9    7946       0
8192                 14     75688      0        24       2    1986       0
16384                 3     10900      0       189     989     993     128
32768                 3      1853      0        35     145     496       0
65536                 0       578      0        71     129     496       0
131072                0        32      0         0      18      32       0


******* CPU 1 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                    1      3464      0         2     127   63568       0
128                   0      1553      0         0      64   47676       0
256                   0       329      0         1      16   95352       0
512                  34  13572088      0         4      46  198650       0
1024                  0       918      0        13      52   47676       0
2048                  1      2635      0        14      43  119190       0
4096                  0        71      0         1       2    7946       0
8192                  0        85      0         1       6    1986       0
16384                 0         1      0         1       8     993       0
32768                 0         1      0         1       4     496       0
131072                0         0      0         0      16      32       0


******* CPU 2 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                    0      1983      0         0      64   63568       0
128                   1      1358      0         0      31   47676       0
256                   0        63      0         0      16   95352       0
512                  52  13310164      0         0      60  198650       0
1024                  0        16      0         3      12   47676       0
2048                  0      1969      0         0       6  119190       0
4096                  0         1      0         0       9    7946       0
131072                0         0      0         0      16      32       0


******* CPU 3 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                    1      1943      0         0      63   63568       0
128                   0      1300      0         0      32   47676       0
256                   0        51      0         0      16   95352       0
512                  48  13071733      0         0      64  198650       0
1024                  0        17      0         3      12   47676       0
2048                  1      1937      0         0       7  119190       0
4096                  0         3      0         0       8    7946       0
131072                0         0      0         0      16      32       0


******* CPU 4 *******
By size           inuse     calls failed   delayed    free   hiwat   freed
64                   90    779403      0         6     358   63568       0
128                  58    485889      0        83    2630   47676       0
256                  47    199964      0       658   10481   95352       0
512                  90   4149248      0      1721   13806  198650       0
1024                 73    567909      0        90     331   47676       0
2048                 29    150671      0      2063    4097  119190       0
4096                  5     24054      0        10       5    7946       0
8192                  9      2164      0        15       1    1986       0
16384                10      3455      0       172     994     993      96
32768                 3       525      0        36     142     496       0
