==== This output can be found in Systems/dx987/os/errpt.txt ====
==== START errpt Mon Jul  6 23:48:29 GST 2015 ====
IDENTIFIER TIMESTAMP  T C RESOURCE_NAME  DESCRIPTION
D5676F6F   0508035115 T H fscsi2         ATTACHED SCSI TARGET DEVICE ERROR
C6E26F3B   0508034315 I H hdisk160       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk260       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk585       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk605       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk586       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk606       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk587       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk607       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk588       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk608       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk589       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk609       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk166       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk266       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk2         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk4         BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk118       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk218       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk119       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk219       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk120       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk220       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk121       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk221       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk10        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk12        BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk122       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk222       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk123       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk223       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk124       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk224       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk125       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk225       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk126       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk226       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk127       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk227       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk128       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk228       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk129       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk229       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk130       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk230       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk131       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk231       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk132       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk232       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk133       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk233       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk134       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk234       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk135       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk235       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk136       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk236       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk138       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk238       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk139       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk239       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk140       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk240       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk141       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk241       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk142       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk242       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk143       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk243       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk144       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk244       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk145       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk245       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk146       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk246       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk147       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk247       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk148       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk248       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk149       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk249       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk150       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk250       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk151       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk251       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk152       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk252       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk153       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk253       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk154       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk254       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk155       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk255       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk156       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk256       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk157       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk257       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk158       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk258       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk161       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk261       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk162       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk262       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk163       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk263       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk164       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk264       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk165       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk265       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk452       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk488       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk453       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk489       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk454       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk490       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk455       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk491       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk456       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk492       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk457       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk493       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk458       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk494       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk459       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk495       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk460       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk496       BACK-UP PATH STATUS CHANGE
C6E26F3B   0508034315 I H hdisk137       BACK-UP PATH STATUS CHANGE
