==== This output can be found in Systems/dx987/perf/mpstat-d.txt ====
==== START mpstat -d Mon Jul  6 23:51:46 GST 2015 ====

System configuration: lcpu=32 ent=3.6 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd
cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0 852732787 15202220      1      1      3 123352 4930542  99.5   0.0   0.0   0.0   0.0   0.5  93170 1157694783  19.3  80.7   0.0     0
  1 555888 529585      0      0      0      0      1   3.3  96.6   0.0   0.0   0.0   0.0 116917 66404737  95.7   4.3   0.0     0
  2 526522 519803      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0 117308 66083787  98.8   1.2   0.0     0
  3 526165 519817      0      0      0      0      0   0.1  99.8   0.0   0.0   0.0   0.0 117403 65867926  98.9   1.1   0.0     0
  4 22706185 3671725      1      1      0  70526 4183709  81.5   0.0   0.0   0.1   0.0  18.4 5428929 30529522  40.2  59.8   0.0     0
  5 526026 523048      0      0      0      1      0   1.1  98.8   0.0   0.0   0.0   0.0 1592165 1687608   1.0  99.0   0.0     0
  6 520235 519769      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0 1592408 1664883   0.1  99.9   0.0     0
  7 520637 519778      0      0      0      0      0   0.2  99.8   0.0   0.0   0.0   0.0 1592528 1647434   0.1  99.9   0.0     0
  8 5549236 2414899      0      0      0    536 691199  84.3   0.0   0.0   0.1   0.0  15.6  19686 98555411  51.7  48.3   0.0     0
  9 543843 534868      0      0      0      0      0   4.3  95.7   0.0   0.0   0.0   0.0 5753293 388950   3.5  96.5   0.0     0
 10 520715 520344      0      0      0      0      0   0.3  99.7   0.0   0.0   0.0   0.0 1568672 358365   0.1  99.9   0.0     0
 11 521989 521608      0      0      0      0      0   0.5  99.5   0.0   0.0   0.0   0.0 1568658 357194   0.1  99.9   0.0     0
 12 651676 539012      0      0      0   2012   5572  22.0   0.0   0.0   1.6   0.0  76.4 5766986 289593  95.7   4.3   0.0     0
 13 525496 524111      0      0      0      0      0   1.2  98.7   0.0   0.0   0.0   0.0 1568398  49357 100.0   0.0   0.0     0
 14 523030 522790      0      0      0      0      0   0.7  99.3   0.0   0.0   0.0   0.0 1568163  46394 100.0   0.0   0.0     0
 15 521625 521385      0      0      0      0      0   0.5  99.5   0.0   0.0   0.0   0.0 1568148  46645 100.0   0.0   0.0     0
 16 661008 555758      0      0      0   2224  15638  21.3   0.0   0.0   1.1   0.0  77.7 5769404 268438  24.6  75.4   0.0     0
 17 523273 522557      0      0      0      0      0   0.8  99.2   0.0   0.0   0.0   0.0 1568509  47179   0.7  99.3   0.0     0
 18 520494 520253      0      0      0      0      0   0.2  99.7   0.0   0.0   0.0   0.0 1568447  46306   0.1  99.9   0.0     0
 19 520239 519999      0      0      0      0      0   0.2  99.8   0.0   0.0   0.0   0.0 1568419  46127   0.1  99.9   0.0     0
 20 649344 537170      0      0      0     81  12163  20.9   0.0   0.0   0.3   0.0  78.8 5766640 272607  24.3  75.7   0.0     0
 21 520726 520319      0      0      0      0      0   0.3  99.7   0.0   0.0   0.0   0.0 1568594  45675   0.3  99.7   0.0     0
 22 519809 519568      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0 1568479  44759   0.1  99.9   0.0     0
 23 519757 519517      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0 1568456  44684   0.1  99.9   0.0     0
 24 606895 527109      0      0      0   1499   2716  15.7   0.0   0.0   1.2   0.0  83.1   6510 173194103  98.1   1.9   0.0     0
 25 520522 519765      0      0      0      0      0   0.3  99.7   0.0   0.0   0.0   0.0 1568612  37117 100.0   0.0   0.0     0
 26 519733 519493      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0 1568470  35384 100.0   0.0   0.0     0
 27 519720 519480      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0 1568445  35457 100.0   0.0   0.0     0
 28 579169 533655      0      0      0   1089   7374  10.2   0.0   0.0   0.6   0.0  89.1 5767845 126097  13.3  86.7   0.0     0
 29 520326 519873      0      0      0      0      0   0.2  99.8   0.0   0.0   0.0   0.0 1568984  30476   0.2  99.8   0.0     0
 30 519684 519444      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0 1568902  30134   0.1  99.9   0.0     0
 31 519668 519428      0      0      0      0      0   0.1  99.9   0.0   0.0   0.0   0.0 1568897  30208   0.1  99.9   0.0     0
ALL 896712422 36498150      2      2      3 201320 9848914  97.3   1.3   0.0   0.0   0.0   1.3 66166445 1666007340  20.5  79.5   0.0     0
==== EXITED with rc 0 ====
==== END mpstat -d Mon Jul  6 23:51:46 GST 2015 ====
