==== This output can be found in Systems/dx987/perf/sar-^P_ALL_5_3.txt ====
==== START sar -P ALL 5 3 Mon Jul  6 23:52:01 GST 2015 ====

AIX DX987 1 7 00F9ADA14C00    07/06/15

System configuration: lcpu=32 ent=3.60 mode=Uncapped 

23:52:01 cpu    %usr    %sys    %wio   %idle   physc   %entc
23:52:06  0       64      36       0       0    0.56    15.6
          1        0       0       0     100    0.10     2.8
          2        0       0       0     100    0.10     2.8
          3        0       0       0     100    0.10     2.8
          4       54      44       0       1    0.07     2.0
          5        0       0       0     100    0.02     0.4
          6        0       0       0     100    0.01     0.4
          7        0       0       0     100    0.01     0.4
          8       40      58       0       1    0.03     0.9
          9        0       1       0      99    0.01     0.2
          10        0       1       0      99    0.01     0.2
          11        0       0       0     100    0.01     0.2
          12       65      34       0       0    0.23     6.3
          13        0       0       0     100    0.05     1.5
          14        0       0       0     100    0.05     1.5
          15        0       0       0     100    0.05     1.5
          16        0      69       0      31    0.00     0.0
          17        0      26       0      74    0.00     0.0
          18        0      21       0      79    0.00     0.0
          19        0      16       0      84    0.00     0.0
          20        0      57       0      43    0.00     0.0
          21        0      19       0      81    0.00     0.0
          22        0      16       0      84    0.00     0.0
          23        0      24       0      76    0.00     0.0
          24        0      48       0      52    0.00     0.0
          25        0       1       0      99    0.00     0.1
          26        0       1       0      99    0.00     0.0
          27        0       1       0      99    0.00     0.0
          28        0      59       0      41    0.00     0.0
          29        0      24       0      76    0.00     0.0
          30        0      27       0      73    0.00     0.0
          31        0      23       0      77    0.00     0.0
          U        -       -       0      64    2.17    60.4
          -       14       9       0      77    1.43    39.6
23:52:11  0       61      39       0       0    0.53    14.9
          1        0       0       0     100    0.10     2.7
          2        0       0       0     100    0.10     2.7
          3        0       0       0     100    0.10     2.7
          4       52      47       0       1    0.08     2.3
          5        0       0       0     100    0.02     0.5
          6        0       0       0     100    0.02     0.5
          7        0       0       0     100    0.02     0.5
          8       39      60       0       2    0.05     1.4
          9        0       1       0      99    0.01     0.3
          10        0       0       0     100    0.01     0.3
          11        0       0       0     100    0.01     0.3
          12        0      73       0      27    0.00     0.0
          13        0       3       0      97    0.00     0.0
          14        0       4       0      96    0.00     0.0
          15        0       5       0      95    0.00     0.0
          16        0      75       0      25    0.00     0.0
          17        0       5       0      95    0.00     0.0
          18        0       5       0      95    0.00     0.0
          19        0       6       0      94    0.00     0.0
          20        0      64       0      36    0.00     0.0
          21        0       4       0      96    0.00     0.0
          22        0       5       0      95    0.00     0.0
          23        0       5       0      95    0.00     0.0
          24        0      60       0      40    0.00     0.0
          25        0       0       0     100    0.00     0.0
          26        0       0       0     100    0.00     0.0
          27        0       0       0     100    0.00     0.0
          28        0      51       0      49    0.00     0.0
          29        0       6       0      94    0.00     0.0
          30        0       7       0      93    0.00     0.0
          31        0       7       0      93    0.00     0.0
          U        -       -       0      72    2.55    70.8
          -       11       8       0      82    1.05    29.2
23:52:16  0       61      38       0       0    0.55    15.2
          1        0       0       0     100    0.10     2.8
          2        0       0       0     100    0.10     2.8
          3        0       0       0     100    0.10     2.8
          4       50      49       0       1    0.08     2.2
          5        0       0       0     100    0.01     0.4
          6        0       0       0     100    0.01     0.4
          7        0       0       0     100    0.01     0.4
          8       39      59       0       2    0.04     1.0
          9        0       1       0      99    0.01     0.2
          10        0       0       0     100    0.01     0.2
          11        0       0       0     100    0.01     0.2
          12        0      68       0      32    0.00     0.0
          13        0      21       0      79    0.00     0.0
          14        0      20       0      80    0.00     0.0
          15        0      18       0      82    0.00     0.0
          16        0      66       0      34    0.00     0.0
          17        0      25       0      75    0.00     0.0
          18        0      22       0      78    0.00     0.0
          19        0      21       0      79    0.00     0.0
          20        0      57       0      43    0.00     0.0
          21        0      29       0      71    0.00     0.0
          22        0      26       0      74    0.00     0.0
          23        0      24       0      76    0.00     0.0
          24        0      59       0      41    0.00     0.0
          25        0       2       0      98    0.00     0.0
          26        0       2       0      98    0.00     0.0
          27        0       2       0      98    0.00     0.0
          28        0      49       0      51    0.00     0.0
          29        0      27       0      73    0.00     0.0
          30        0      25       0      75    0.00     0.0
          31        0      23       0      77    0.00     0.0
          U        -       -       0      76    2.57    71.5
          -        9       6       0      85    1.03    28.5

Average   0       62      38       0       0    0.55    15.2
          1        0       0       0     100    0.10     2.8
          2        0       0       0     100    0.10     2.8
          3        0       0       0     100    0.10     2.8
          4       52      47       0       1    0.08     2.2
          5        0       0       0     100    0.02     0.4
          6        0       0       0     100    0.02     0.4
          7        0       0       0     100    0.02     0.4
