==== This output can be found in Systems/dx988/os/ctctrl-q-c_all.txt ====
==== START ctctrl -q -c all Thu Aug  6 11:13:41 GST 2015 ====
---------------------------------------+-------+-------+-------+---------------
                                       | Have  |Mem Trc|Sys Trc| Buffer size
     Component name                    | alias | /level| /level| /Allocated
---------------------------------------+-------+-------+-------+---------------
acf                                    |  NO   |  ON/3 |  ON/3 |       2048/YES
     .nx                               |  NO   |  ON/3 |  ON/3 |       2048/YES
     .p11                              |  NO   |  ON/3 |  ON/3 |       2048/YES
aio                                    |  NO   | OFF/3 |  ON/3 |          0/ NO
aixdiskpcmke                           |  NO   |  ON/7 |  ON/3 |       6400/YES
     .pprc                             |  NO   |  ON/7 |  ON/3 |       6400/YES
cluster
     .ahafs                            |  NO   |  ON/3 |  ON/3 |    1048576/YES
     comm
          .disk                        |  NO   |  ON/3 |  ON/3 |    2097152/YES
          .net                         |  NO   |  ON/3 |  ON/3 |    2097152/YES
          .san                         |  NO   |  ON/3 |  ON/3 |    2097152/YES
     .config                           |  NO   |  ON/3 |  ON/3 |      65536/YES
     .link                             |  NO   |  ON/3 |  ON/3 |    2097152/YES
     .lock                             |  NO   |  ON/3 |  ON/3 |      65536/YES
dpcom                                  |  NO   |  ON/3 |  ON/3 |       6400/YES
efscsidd
     .fscsi0                           |  NO   |  ON/3 |  ON/3 |      64000/YES
          .bufx                        |  NO   |  ON/0 |  ON/0 |      64000/YES
     .fscsi1                           |  NO   |  ON/3 |  ON/3 |      64000/YES
          .bufx                        |  NO   |  ON/0 |  ON/0 |      64000/YES
     .fscsi2                           |  NO   |  ON/3 |  ON/3 |      64000/YES
          .50060E8007E43A72            |  NO   | OFF/3 | OFF/3 |      32000/ NO
               .0                      |  NO   |  ON/3 |  ON/3 |       3200/YES
               .1000000000000          |  NO   |  ON/3 |  ON/3 |       3200/YES
          .50060E8007E43A7A            |  NO   | OFF/3 | OFF/3 |      32000/ NO
               .0                      |  NO   |  ON/3 |  ON/3 |       3200/YES
               .1000000000000          |  NO   |  ON/3 |  ON/3 |       3200/YES
          .bufx                        |  NO   |  ON/0 |  ON/0 |      64000/YES
     .fscsi3                           |  NO   |  ON/3 |  ON/3 |      64000/YES
          .50060E8007E43A62            |  NO   | OFF/3 | OFF/3 |      32000/ NO
               .0                      |  NO   |  ON/3 |  ON/3 |       3200/YES
               .1000000000000          |  NO   |  ON/3 |  ON/3 |       3200/YES
