==== This output can be found in Systems/dx988/perf/lparstat-em.txt ====
==== START lparstat -em  Thu Aug  6 11:16:35 GST 2015 ====

System configuration: lcpu=24 mem=98304MB mpsz=0.00GB iome=98304.00MB iomp=40 ent=4.00 

physb   hpi  hpit  pmem  iomin   iomu   iomf  iohwm iomaf %entc  vcsw 
----- ----- ----- ----- ------ ------ ------ ------ ----- ----- ----- 
 0.00     0     0 96.00 1546.5   -     -     -       0   0.0 864698 

              iompn: iomin  iodes   iomu  iores  iohwm  iomaf
         ent2.txpool  2.12  16.00   2.00   2.12   2.00      0
      ent2.rxpool__4 32.00  32.00  28.00  32.00  28.00      0
      ent2.rxpool__3 32.00  32.00  16.00  32.00  16.00      0
      ent2.rxpool__2 20.00  20.00  16.00  20.00  16.00      0
      ent2.rxpool__1  4.50   4.50   4.00   4.50   4.00      0
      ent2.rxpool__0  6.38   6.38   6.00   6.38   6.00      0
        ent2.phypmem  0.18   0.18   0.16   0.18   0.16      0
         ent1.txpool  2.12  16.00   2.00   2.12   2.00      0
      ent1.rxpool__4 32.00  32.00  28.00  32.00  28.00      0
      ent1.rxpool__3 32.00  32.00  16.00  32.00  16.00      0
      ent1.rxpool__2 20.00  20.00  16.00  20.00  16.00      0
      ent1.rxpool__1  4.50   4.50   4.00   4.50   4.00      0
      ent1.rxpool__0  6.38   6.38   6.00   6.38   6.00      0
        ent1.phypmem  0.18   0.18   0.16   0.18   0.16      0
         ent0.txpool  2.12  16.00   2.00   2.12   2.00      0
      ent0.rxpool__4 32.00  32.00  28.00  32.00  28.00      0
      ent0.rxpool__3 32.00  32.00  16.00  32.00  16.00      0
      ent0.rxpool__2 20.00  20.00  16.00  20.00  16.00      0
      ent0.rxpool__1  4.50   4.50   4.00   4.50   4.00      0
      ent0.rxpool__0  6.38   6.38   6.00   6.38   6.00      0
        ent0.phypmem  0.18   0.18   0.16   0.18   0.16      0
              vscsi9 16.50  16.50   0.13  16.50   0.13      0
              vscsi8 16.50  16.50   0.13  16.50   0.13      0
              vscsi7 16.50  16.50   0.13  16.50   0.13      0
              vscsi6 16.50  16.50   0.13  16.50   0.13      0
              vscsi5 16.50  16.50   0.13  16.50   0.13      0
              vscsi4 16.50  16.50   0.13  16.50   0.13      0
              vscsi3 16.50  16.50   0.13  16.50   0.13      0
              vscsi2 16.50  16.50   0.13  16.50   0.13      0
              vscsi1 16.50  16.50   0.13  16.50   0.13      0
              vscsi0 16.50  16.50   0.13  16.50   0.13      0
                fcs7 136.25  136.25   0.31  136.25   0.33      0
                fcs6 136.25  136.25   0.31  136.25   0.33      0
                fcs5 136.25  136.25   0.22  136.25   0.22      0
                fcs4 136.25  136.25   0.22  136.25   0.22      0
                fcs3 136.25  136.25   0.31  136.25   1.42      0
                fcs1 136.25  136.25   0.22  136.25   0.22      0
                fcs2 136.25  136.25   0.31  136.25   0.33      0
                fcs0 136.25  136.25   0.22  136.25   0.22      0
                sys0  0.00   0.00   0.00   0.00   0.00      0

==== EXITED with rc 0 ====
==== END lparstat -em  Thu Aug  6 11:16:35 GST 2015 ====
