==== This output can be found in Systems/dx988/perf/mpstat_5_2.txt ====
==== START mpstat 5 2 Thu Aug  6 11:16:35 GST 2015 ====

System configuration: lcpu=24 ent=4.0 mode=Uncapped 

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 7287  593    0  487 1118  410    2   63 100 785285 61 39  0  0 0.55  0.0  403
  1    1    0    0  133    0    0    0    1 100  728  7  3  0 90 0.11  0.0  132
  2    0    0    0   78    0    0    0    0   -    0  0  1  0 99 0.10  0.0   78
  3    0    0    0   79    0    0    0    0   -    0  0  1  0 99 0.10  0.0   78
  4 3815    0    0  213   70   11    1   41  90 2975 40 56  0  4 0.05  0.0  222
  5    0    0    0   63    0    0    0    0   -    0  0  8  0 92 0.01  0.0   64
  6    0    0    0   63    0    0    0    0   -    0  0  8  0 92 0.01  0.0   64
  7    0    0    0   63    0    0    0    0   -    0  0  8  0 92 0.01  0.0   63
  8 1016  114    0   91  125   16    0   41 100 128695 65 35  0  0 0.33  0.0  159
  9    0    0    0   23    0    0    0    0   -    0  0  1  0 99 0.08  0.0   24
 10    0    0    0   23    0    0    0    0   -    0  0  1  0 99 0.08  0.0   24
 11    0    0    0   23    0    0    0    0   -    0  0  1  0 99 0.08  0.0   24
 12  138    0    0   11    1    0    0    0 100  102 37 54  0  8 0.00  0.0   12
 13    0    0    0    4    0    0    0    0   -    0  0  7  0 93 0.00  0.0    3
 14    0    0    0    4    0    0    0    0   -    0  0  8  0 92 0.00  0.0    3
 15    0    0    0    4    0    0    0    0   -    0  0 10  0 90 0.00  0.0    3
 16  276   10    0  177    3    1    0    2 100 63465 65 34  0  1 0.04  0.0  173
 17    0    0    0    4    0    0    0    0   -    0  0  1  0 99 0.01  0.0    3
 18    0    0    0    4    0    0    0    0   -    0  0  0  0 100 0.01  0.0    3
 19    0    0    0    4    0    0    0    0   -    0  0  0  0 100 0.01  0.0    3
 20 2088    0    0  151   40    4    0   36  84 1619 39 56  0  5 0.03  0.0  156
 21    0    0    0   53    0    0    0    0   -    0  0 10  0 90 0.01  0.0   52
 22    0    0    0   52    0    0    0    0   -    0  0  9  0 91 0.01  0.0   52
 23    0    0    0   53    0    0    0    0   -    0  0 10  0 90 0.01  0.0   52
ALL 14621  717    0 1860 1357  442    3  184   0 982869 38 26  0 36 1.65 41.3 1850
--------------------------------------------------------------------------------

cpu  min  maj  mpc  int   cs  ics   rq  mig lpa sysc us sy wa id   pc  %ec  lcs
  0 7922  532    0  479 1061  486    4   15 100 883269 63 37  0  0 0.62  0.0  204
  1    0    0    0   78    0    0    0    1 100    0  0  1  0 99 0.11  0.0   79
  2    0    0    0   78    0    0    0    1 100    0  0  1  0 99 0.11  0.0   78
  3    0    0    0   79    0    0    0    1 100    0  0  1  0 99 0.11  0.0   79
  4 4328    5    0  223  128   46    1   38  95 3751 39 58  0  3 0.06  0.0  233
  5    0    0    0   63    0    0    0    1 100    0  0  8  0 92 0.01  0.0   62
  6    0    0    0   62    0    0    0    2 100    0  0  7  0 93 0.01  0.0   62
  7    0    0    0   62    0    0    0    1 100    0  0  7  0 93 0.01  0.0   62
  8    0    0    0    0    0    0    0    1   0    0  0 63  0 37 0.00  0.0    0
  9    0    0    0    0    0    0    0    1 100    0  0  2  0 98 0.00  0.0    0
 10    0    0    0    0    0    0    0    1 100    0  0  3  0 97 0.00  0.0    0
 11    0    0    0    0    0    0    0    1 100    0  0  3  0 97 0.00  0.0    0
 12    0    0    0    1    0    0    0    1   0    0  0 55  0 45 0.00  0.0    1
 13    0    0    0    0    0    0    0    1 100    0  0 41  0 59 0.00  0.0    0
 14    0    0    0    0    0    0    0    1 100    0  0 35  0 65 0.00  0.0    0
 15    0    0    0    0    0    0    0    1 100    0  0 33  0 67 0.00  0.0    0
 16    0    0    0  106    0    0    0    1   0    0  0 80  0 20 0.00  0.0  107
 17    0    0    0    0    0    0    0    1 100    0  0  0  0 100 0.00  0.0    0
 18    0    0    0    0    0    0    0    1 100    0  0  0  0 100 0.00  0.0    0
 19    0    0    0    0    0    0    0    1 100    0  0  0  0 100 0.00  0.0    0
 20 1262    0    0  174   26    3    0   37  75 1041 36 60  0  4 0.02  0.0  173
 21    0    0    0   17    0    0    0    1 100    0  0  4  0 96 0.00  0.0   17
 22    0    0    0   18    0    0    0    1 100    0  0  3  0 97 0.00  0.0   18
 23    0    0    0   17    0    0    0    1 100    0  0  4  0 96 0.00  0.0   17
ALL 13512  537    0 1457 1215  535    5  112 100 888061 38 26  0 36 1.08 27.1 1192
==== EXITED with rc 0 ====
==== END mpstat 5 2 Thu Aug  6 11:16:45 GST 2015 ====
