==== This output can be found in Systems/dx988/perf/sar-^P_ALL_5_3.txt ====
==== START sar -P ALL 5 3 Thu Aug  6 11:16:58 GST 2015 ====

AIX DX988 1 7 00F92EEC4C00    08/06/15

System configuration: lcpu=24 ent=4.00 mode=Uncapped 

11:16:58 cpu    %usr    %sys    %wio   %idle   physc   %entc
11:17:03  0       64      36       0       0    0.59    14.7
          1        0       0       0     100    0.11     2.7
          2        0       0       0     100    0.11     2.7
          3        0       0       0     100    0.11     2.7
          4       40      58       0       2    0.05     1.3
          5        0       0       0     100    0.01     0.3
          6        0       0       0     100    0.01     0.3
          7        0       0       0     100    0.01     0.3
          8        0      37       0      63    0.00     0.0
          9        0      30       0      70    0.00     0.0
          10        0      29       0      71    0.00     0.0
          11        0      29       0      71    0.00     0.0
          12        0      44       0      56    0.00     0.0
          13        0      44       0      56    0.00     0.0
          14        0      42       0      58    0.00     0.0
          15        0      44       0      56    0.00     0.0
          16        0      59       0      41    0.00     0.0
          17        0       0       0     100    0.00     0.0
          18        0       0       0     100    0.00     0.0
          19        0       0       0     100    0.00     0.0
          20       41      57       0       2    0.02     0.5
          21        0       0       0     100    0.00     0.1
          22        0       0       0     100    0.00     0.1
          23        0       0       0     100    0.00     0.1
          U        -       -       0      76    2.97    74.2
          -        9       6       0      85    1.03    25.8
11:17:08  0       62      38       0       0    0.59    14.7
          1        0       1       0      99    0.11     2.7
          2        0       0       0     100    0.11     2.7
          3        0       0       0     100    0.11     2.7
          4       38      59       0       3    0.05     1.3
          5        0       6       0      94    0.01     0.3
          6        0       5       0      95    0.01     0.3
          7        0       5       0      95    0.01     0.3
          8        0      78       0      22    0.00     0.0
          9        0      50       0      50    0.00     0.0
          10        0      47       0      53    0.00     0.0
          11        0      37       0      63    0.00     0.0
          12        0      78       0      22    0.00     0.0
          13        0      52       0      48    0.00     0.0
          14        0      45       0      55    0.00     0.0
          15        0      38       0      62    0.00     0.0
          16        0      81       0      19    0.00     0.0
          17        0       4       0      96    0.00     0.0
          18        0       4       0      96    0.00     0.0
          19        0       4       0      96    0.00     0.0
          20       37      60       0       3    0.02     0.5
          21        0       0       0     100    0.01     0.2
          22        0       0       0     100    0.01     0.2
          23        0       0       0     100    0.01     0.2
          U        -       -       0      76    2.96    74.0
          -        9       6       0      84    1.04    26.0
11:17:13  0       63      37       0       0    0.58    14.4
          1        0       0       0     100    0.10     2.6
          2        0       0       0     100    0.10     2.6
          3        0       0       0     100    0.10     2.6
          4       39      59       0       1    0.08     2.1
          5        0       1       0      99    0.02     0.4
          6        0       0       0     100    0.02     0.4
          7        0       0       0     100    0.02     0.4
          8        0      15       0      85    0.00     0.0
          9        0      13       0      87    0.00     0.0
          10        0      18       0      82    0.00     0.0
          11        0      30       0      70    0.00     0.0
          12        0      20       0      80    0.00     0.0
          13        0      22       0      78    0.00     0.0
          14        0      28       0      72    0.00     0.0
          15        0      36       0      64    0.00     0.0
          16        0      60       0      40    0.00     0.0
          17        0       0       0     100    0.00     0.0
          18        0       0       0     100    0.00     0.0
          19        0       0       0     100    0.00     0.0
          20        0      51       0      49    0.00     0.0
          21        0       0       0     100    0.00     0.0
          22        0       0       0     100    0.00     0.0
          23        0       0       0     100    0.00     0.0
          U        -       -       0      84    2.97    74.2
          -        6       4       0      90    1.03    25.8

Average   0       63      37       0       0    0.58    14.6
          1        0       0       0     100    0.11     2.7
          2        0       0       0     100    0.11     2.7
          3        0       0       0     100    0.11     2.7
          4       39      59       0       2    0.06     1.6
          5        0       2       0      98    0.01     0.3
          6        0       2       0      98    0.01     0.3
          7        0       2       0      98    0.01     0.3
          8        0      50       0      50    0.00     0.0
          9        0      34       0      66    0.00     0.0
          10        0      37       0      63    0.00     0.0
          11        0      35       0      65    0.00     0.0
          12        0      49       0      51    0.00     0.0
          13        0      38       0      62    0.00     0.0
          14        0      38       0      62    0.00     0.0
          15        0      39       0      61    0.00     0.0
          16        0      75       0      25    0.00     0.0
          17        0       1       0      99    0.00     0.0
          18        0       1       0      99    0.00     0.0
          19        0       1       0      99    0.00     0.0
          20       39      58       0       3    0.01     0.4
          21        0       0       0     100    0.00     0.1
          22        0       0       0     100    0.00     0.1
          23        0       0       0     100    0.00     0.1
          U        -       -       0      79    2.97    74.2
          -        8       5       0      87    1.03    25.8
==== EXITED with rc 0 ====
==== END sar -P ALL 5 3 Thu Aug  6 11:17:13 GST 2015 ====
