==== This output can be found in Systems/dx989/perf/mpstat-d_5_2.txt ====
==== START mpstat -d 5 2 Thu Aug  6 11:24:59 GST 2015 ====

System configuration: lcpu=24 ent=4.0 mode=Uncapped 

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0    108     23      1      2      0      0      0  96.9   0.0   0.0   3.1   0.0   0.0      1    241 100.0   0.0   0.0     0
  1      0      0      0      0      0      0      0     -     -     -     -     -     -      0     14     -     -     -     0
  2      0      0      0      0      0      0      0     -     -     -     -     -     -      0     14     -     -     -     0
  3      0      0      0      0      0      0      0     -     -     -     -     -     -      0     14     -     -     -     0
  4    122     23      0      0      0      0      0  96.4   0.0   0.0   3.6   0.0   0.0      2    155 100.0   0.0   0.0     0
  5      0      0      0      0      0      0      0     -     -     -     -     -     -      0     14     -     -     -     0
  6      0      0      0      0      0      0      0     -     -     -     -     -     -      0     14     -     -     -     0
  7      0      0      0      0      0      0      0     -     -     -     -     -     -      0     14     -     -     -     0
  8      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
  9      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 10      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 11      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 12      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 13      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 14      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 15      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 16      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 17      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 18      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 19      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 20      0      0      0      0      0      0      0     -     -     -     -     -     -      0     21     -     -     -     0
 21      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 22      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
 23      0      0      0      0      0      0      0     -     -     -     -     -     -      0      0     -     -     -     0
ALL    230     46      1      2      0      0      0  96.6   0.0   0.0   3.4   0.0   0.0      3    501 100.0   0.0   0.0     0
------------------------------------------------------------------------------------------------------------

cpu     cs    ics  bound     rq   push S3pull  S3grd  S0rd  S1rd  S2rd  S3rd  S4rd  S5rd   ilcs   vlcs S3hrd S4hrd S5hrd  %nsp
  0    123     30      1      2      0      0      0  97.0   0.0   0.0   3.0   0.0   0.0      1    192 100.0   0.0   0.0     0
  1      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     21 100.0   0.0   0.0     0
  2      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     20 100.0   0.0   0.0     0
  3      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     20 100.0   0.0   0.0     0
  4    124     15      0      0      0      0      0  93.4   0.0   0.0   6.6   0.0   0.0      0    183 100.0   0.0   0.0     0
  5      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     21 100.0   0.0   0.0     0
  6      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     21 100.0   0.0   0.0     0
  7      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0     21 100.0   0.0   0.0     0
  8      0      0      0      0      0      0      0   0.0   0.0   0.0 100.0   0.0   0.0      0      0 100.0   0.0   0.0     0
  9      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 10      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 11      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 12      0      0      0      0      0      0      0   0.0   0.0   0.0 100.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 13      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 14      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 15      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 16      0      0      0      0      0      0      0   0.0   0.0   0.0 100.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 17      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 18      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 19      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 20      0      0      0      0      0      0      0   0.0   0.0   0.0 100.0   0.0   0.0      0     28 100.0   0.0   0.0     0
 21      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 22      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
 23      0      0      0      0      0      0      0   0.0 100.0   0.0   0.0   0.0   0.0      0      0 100.0   0.0   0.0     0
ALL    247     45      1      2      0      0      0  93.9   1.1   0.0   5.0   0.0   0.0      1    527 100.0   0.0   0.0     0
==== EXITED with rc 0 ====
==== END mpstat -d 5 2 Thu Aug  6 11:25:09 GST 2015 ====
