==== This output can be found in Systems/dx989/perf/mpstat-i.txt ====
==== START mpstat -i Thu Aug  6 11:25:09 GST 2015 ====

System configuration: lcpu=24 ent=4.0 mode=Uncapped 

cpu   mpcs   mpcr    dev   soft    dec     ph
  0   3933      3  25626 109749 335782  23484
  1      2    172  25533    106  21925    280
  2      0    172  25400    110  18925    135
  3      0    172  25266    117  19367    114
  4     23    171  24540    528  80251  20277
  5      0    172  15665     23   4632    131
  6      0    172  15623     17   3523     85
  7      0    172  15588     17   3523     76
  8      0    172   4938    141  10052   4792
  9      0    172   4447      4   2517     65
 10      0    172   4429     10   1923     27
 11      0    172   4425     13   1928     18
 12      0    172   1405     27   4519   1578
 13      0    172   1320      5   1484     14
 14      0    172   1319      1   1474      6
 15      0    172   1318      2   1473      9
 16      0    172     81      3   1918    175
 17      0    172     74      1   1349      3
 18      0    172     74      1   1349      6
 19      0    172     74      1   1350      3
 20      0    172  25719    120  33447    326
 21      0    172      4      1   1310      3
 22      0    172      1      1   1312      3
 23      0    172      2      1   1315      2
ALL   3958   3958 222871 110999 556648  51612
==== EXITED with rc 0 ====
==== END mpstat -i Thu Aug  6 11:25:09 GST 2015 ====
