==== This output can be found in Systems/dx989/perf/sar-^P_ALL_5_3.txt ====
==== START sar -P ALL 5 3 Thu Aug  6 11:25:11 GST 2015 ====

AIX DX989 1 7 00F9ADA14C00    08/06/15

System configuration: lcpu=24 ent=4.00 mode=Uncapped 

11:25:11 cpu    %usr    %sys    %wio   %idle   physc   %entc
11:25:16  0       57      42       0       0    0.18     4.6
          1        0       0       0     100    0.03     0.8
          2        0       0       0     100    0.03     0.8
          3        0       0       0     100    0.03     0.8
          4       64      36       0       0    0.41    10.2
          5        0       0       0     100    0.07     1.9
          6        0       0       0     100    0.07     1.9
          7        0       0       0     100    0.07     1.9
          8       66      34       0       0    0.27     6.8
          9        0       0       0     100    0.01     0.4
          10        0       0       0     100    0.01     0.4
          11        0       0       0     100    0.01     0.4
          12        0      41       0      59    0.00     0.0
          13        0      14       0      86    0.00     0.0
          14        0      14       0      86    0.00     0.0
          15        0      11       0      89    0.00     0.0
          16        0      29       0      71    0.00     0.0
          17        0      30       0      70    0.00     0.0
          18        0      28       0      72    0.00     0.0
          19        0      57       0      43    0.00     0.0
          20        0      55       0      45    0.00     0.0
          21        0       0       0     100    0.00     0.0
          22        0       0       0     100    0.00     0.0
          23        0       0       0     100    0.00     0.0
          U        -       -       0      74    2.77    69.2
          -       10       6       0      84    1.23    30.8
11:25:21  0       61      38       0       0    0.34     8.5
          1        0       0       0     100    0.06     1.6
          2        0       0       0     100    0.06     1.6
          3        0       0       0     100    0.06     1.6
          4       61      39       0       0    0.32     8.0
          5        0       0       0     100    0.06     1.5
          6        0       0       0     100    0.06     1.5
          7        0       0       0     100    0.06     1.5
          8        0      70       0      30    0.00     0.0
          9        0      29       0      71    0.00     0.0
          10        0      24       0      76    0.00     0.0
          11        0      22       0      78    0.00     0.0
          12        0      82       0      18    0.00     0.0
          13        0       6       0      94    0.00     0.0
          14        0       6       0      94    0.00     0.0
          15        0       5       0      95    0.00     0.0
          16        0      66       0      34    0.00     0.0
          17        0      44       0      56    0.00     0.0
          18        0      40       0      60    0.00     0.0
          19        0      33       0      67    0.00     0.0
          20        0      59       0      41    0.00     0.0
          21        0       2       0      98    0.00     0.0
          22        0       1       0      99    0.00     0.0
          23        0       1       0      99    0.00     0.0
          U        -       -       0      80    2.97    74.4
          -        8       5       0      87    1.03    25.6
11:25:26  0       65      35       0       0    0.55    13.7
          1        0       0       0     100    0.10     2.5
          2        0       0       0     100    0.10     2.5
          3        0       0       0     100    0.10     2.5
          4       45      55       0       1    0.11     2.9
          5        0       0       0     100    0.02     0.5
          6        0       0       0     100    0.02     0.5
          7        0       0       0     100    0.02     0.5
          8        0      23       0      77    0.00     0.0
          9        0      25       0      75    0.00     0.0
          10        0      32       0      68    0.00     0.0
          11        0      45       0      55    0.00     0.0
          12        0      19       0      81    0.00     0.0
          13        0      21       0      79    0.00     0.0
          14        0      28       0      72    0.00     0.0
          15        0      42       0      58    0.00     0.0
          16        0      17       0      83    0.00     0.0
          17        0      18       0      82    0.00     0.0
          18        0      25       0      75    0.00     0.0
          19        0      35       0      65    0.00     0.0
          20        0      58       0      42    0.00     0.0
          21        0       1       0      99    0.00     0.0
          22        0       1       0      99    0.00     0.0
          23        0       1       0      99    0.00     0.0
          U        -       -       0      74    2.97    74.3
          -       10       6       0      83    1.03    25.7

Average   0       62      37       0       0    0.36     8.9
          1        0       0       0     100    0.07     1.6
          2        0       0       0     100    0.07     1.6
          3        0       0       0     100    0.07     1.6
          4       60      39       0       0    0.28     7.0
          5        0       0       0     100    0.05     1.3
          6        0       0       0     100    0.05     1.3
          7        0       0       0     100    0.05     1.3
          8       66      34       0       0    0.03     0.8
          9        0       0       0     100    0.01     0.1
          10        0       0       0     100    0.01     0.1
          11        0       0       0     100    0.01     0.1
          12        0      49       0      51    0.00     0.0
          13        0       9       0      91    0.00     0.0
          14        0       9       0      91    0.00     0.0
          15        0       8       0      92    0.00     0.0
          16        0      38       0      62    0.00     0.0
          17        0      32       0      68    0.00     0.0
          18        0      32       0      68    0.00     0.0
          19        0      38       0      62    0.00     0.0
          20        0      58       0      42    0.00     0.0
          21        0       1       0      99    0.00     0.0
          22        0       1       0      99    0.00     0.0
          23        0       1       0      99    0.00     0.0
          U        -       -       0      76    2.96    74.1
          -        9       6       0      85    1.04    25.9
==== EXITED with rc 0 ====
==== END sar -P ALL 5 3 Thu Aug  6 11:25:26 GST 2015 ====
